method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
dpp_subspace,3,28,4,28,0.6785714285714286,0.4642857142857143,0.0011495151278561957,0.042087760521545205,-0.0015528278691428021,0.8235294117647058,0.75,0.6488095238095237,3.0,0.7857142857142857,0,False
facility_subspace,3,28,4,28,0.17857142857142858,0.38095238095238093,0.003465429295299061,0.11727442474244307,0.0032115101814270013,0.8235294117647058,0.17857142857142858,0.42857142857142855,3.0,0.7857142857142857,0,False
full_merged_rank,3,28,4,28,0.7142857142857143,0.5357142857142857,0.001104821071526263,0.03755495675918767,-0.001164460607937399,0.8235294117647058,0.7857142857142857,0.6607142857142857,3.0,0.7857142857142857,0,False
kcenter_subspace,3,28,4,28,0.4642857142857143,0.32142857142857145,0.0020313983130269314,0.08372591605210945,0.00262486934661865,0.8235294117647058,0.4642857142857143,0.3273809523809524,3.0,0.7857142857142857,0,False
pool_vendi_subspace,3,28,4,28,0.4642857142857143,0.32142857142857145,0.0020313983130269314,0.08372591605210945,0.00262486934661865,0.8235294117647058,0.4642857142857143,0.3273809523809524,3.0,0.7857142857142857,0,False
random,3,2800,4,28,0.18321428571428572,0.18047619047619046,0.006849519181159728,0.23148101364519094,0.005641413018107413,0.823529411764706,0.21142857142857144,0.23982142857142857,2.9192857142857145,0.7914795918367348,0,False
rank_only,3,28,4,28,0.6785714285714286,0.5476190476190476,0.0016132260902168214,0.06040078449263376,0.00012446599347250485,0.8235294117647058,0.6785714285714286,0.5535714285714286,2.25,0.8392857142857143,0,False
dpp_subspace,5,28,4,28,0.75,0.5595238095238095,0.00079903690244394,0.026551825525773627,-0.0008746134383337803,0.7058823529411764,0.8928571428571429,0.8571428571428571,5.0,0.6428571428571429,0,False
facility_subspace,5,28,4,28,0.32142857142857145,0.4642857142857143,0.0025995651353241567,0.08398013186133324,0.002107864192553928,0.7058823529411764,0.32142857142857145,0.5119047619047619,5.0,0.6428571428571429,0,False
full_merged_rank,5,28,4,28,0.8214285714285714,0.7976190476190476,0.0008448227801560658,0.030799262154942265,-0.0006886567388262084,0.7058823529411764,0.8214285714285714,0.7976190476190476,4.0,0.7142857142857143,1,False
kcenter_subspace,5,28,4,28,0.5714285714285714,0.41666666666666663,0.001614864884014966,0.0582781092921597,0.0019491570336478156,0.7058823529411764,0.5714285714285714,0.42261904761904756,5.0,0.6428571428571429,0,False
pool_vendi_subspace,5,28,4,28,0.5714285714285714,0.41666666666666663,0.001614864884014966,0.0582781092921597,0.0019491570336478156,0.7058823529411764,0.5714285714285714,0.42261904761904756,5.0,0.6428571428571429,0,False
random,5,2800,4,28,0.31035714285714283,0.30226190476190473,0.004455359736313699,0.15110043367617723,0.0035677704513072954,0.7058823529411764,0.3457142857142857,0.37827380952380946,4.7317857142857145,0.662015306122449,0,False
rank_only,5,28,4,28,0.8214285714285714,0.7976190476190476,0.0008448227801560658,0.030799262154942265,-0.0006886567388262084,0.7058823529411764,0.8214285714285714,0.7976190476190476,4.0,0.7142857142857143,1,False
dpp_subspace,8,28,4,28,0.8571428571428571,0.8571428571428571,0.0006124175069721746,0.021451249981214206,-0.0003754956381661583,0.5294117647058824,0.8928571428571429,0.8928571428571429,6.5,0.5357142857142857,2,False
facility_subspace,8,28,4,28,0.35714285714285715,0.5238095238095238,0.00245051724181134,0.08140688906770778,0.0016026254211153296,0.5294117647058824,0.35714285714285715,0.5714285714285714,8.0,0.42857142857142855,0,False
full_merged_rank,8,28,4,28,0.8928571428571429,0.869047619047619,0.0005247529944419785,0.01790862499774507,-0.0004096388816833512,0.5294117647058824,0.8928571428571429,0.880952380952381,6.25,0.5535714285714286,2,False
kcenter_subspace,8,28,4,28,0.6071428571428571,0.5595238095238095,0.0006965730802567595,0.03182239520376322,0.001205816013472422,0.5294117647058824,0.6428571428571429,0.5833333333333333,8.0,0.42857142857142855,0,False
pool_vendi_subspace,8,28,4,28,0.7857142857142857,0.5595238095238095,0.0003864753256189814,0.014845653267720178,0.00016953306538718523,0.5294117647058824,0.7857142857142857,0.5714285714285714,8.0,0.42857142857142855,0,False
random,8,2800,4,28,0.46,0.4660714285714286,0.0028412802908081855,0.09494487921739107,0.0020412631567035397,0.5294117647058824,0.5028571428571429,0.5604166666666666,7.258928571428571,0.48150510204081637,0,False
rank_only,8,28,4,28,0.8928571428571429,0.8571428571428571,0.0006076488741734046,0.020464719252539915,-0.00013062102454049405,0.5294117647058824,0.8928571428571429,0.8571428571428571,5.25,0.625,2,False
