encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
dinov2_b14,beans,rank_only,-1,3,17,0.8235294117647058,0,0.0,0,0.0,organcmnist,organcmnist,1,organmnist_views,organmnist_views,cifar100,cifar100_shared_images,tiny_imagenet|cifar100_coarse|cifar100,cifar100_shared_images|tiny_imagenet,14,2,0.8571428571428572,0.9165699721612445,0.9147646853225911,0.0018052868386533305,0.22580633806332556,0.928125,0.921875,0.006249999999999978,5,3,17
dinov2_b14,beans,facility_subspace,-1,3,17,0.8235294117647058,1,0.6666666666666666,1,0.6666666666666666,organcmnist,organcmnist,1,organmnist_views,organmnist_views,organcmnist,organmnist_views,organcmnist|cifar100|cifar10,cifar10|cifar100_shared_images|organmnist_views,14,3,0.7857142857142857,0.9165699721612445,0.9165699721612445,0.0,0.0,0.928125,0.928125,0.0,5,3,17
dinov2_b14,beans,kcenter_subspace,-1,3,17,0.8235294117647058,0,0.0,0,0.0,organcmnist,organcmnist,1,organmnist_views,organmnist_views,tiny_imagenet,tiny_imagenet,tiny_imagenet|rendered_sst2|bloodmnist,bloodmnist|rendered_sst2|tiny_imagenet,14,3,0.7857142857142857,0.9165699721612445,0.9131528213706652,0.0034171507905792486,0.42741922785328146,0.928125,0.9234375,0.004687499999999956,5,3,17
dinov2_b14,beans,dpp_subspace,-1,3,17,0.8235294117647058,0,0.3333333333333333,0,0.3333333333333333,organcmnist,organcmnist,1,organmnist_views,organmnist_views,cifar10,cifar10,tiny_imagenet|cifar100_coarse|cifar10,cifar10|cifar100_shared_images|tiny_imagenet,14,3,0.7857142857142857,0.9165699721612445,0.9161831214495585,0.00038685071168598206,0.048387514223592824,0.928125,0.9375,-0.009375000000000022,5,3,17
dinov2_b14,beans,pool_vendi_subspace,-1,3,17,0.8235294117647058,0,0.0,0,0.0,organcmnist,organcmnist,1,organmnist_views,organmnist_views,tiny_imagenet,tiny_imagenet,tiny_imagenet|rendered_sst2|bloodmnist,bloodmnist|rendered_sst2|tiny_imagenet,14,3,0.7857142857142857,0.9165699721612445,0.9131528213706652,0.0034171507905792486,0.42741922785328146,0.928125,0.9234375,0.004687499999999956,5,3,17
dinov2_b14,beans,full_merged_rank,-1,3,17,0.8235294117647058,0,0.3333333333333333,0,0.3333333333333333,organcmnist,organcmnist,1,organmnist_views,organmnist_views,stl10,stl10,tiny_imagenet|cifar100|stl10,cifar100_shared_images|stl10|tiny_imagenet,14,3,0.7857142857142857,0.9165699721612445,0.9160541718348929,0.0005158003263515676,0.06451660776090201,0.928125,0.928125,0.0,5,3,17
dinov2_b14,beans,random,0,3,17,0.8235294117647058,0,0.0,0,0.0,organcmnist,organcmnist,1,organmnist_views,organmnist_views,octmnist,octmnist,cifar100_coarse|octmnist|retinamnist,cifar100_shared_images|octmnist|retinamnist,14,3,0.7857142857142857,0.9165699721612445,0.9122501768849112,0.004319795276333305,0.5403225302743087,0.928125,0.9296875,-0.0015625000000000222,5,3,17
dinov2_b14,beans,random,1,3,17,0.8235294117647058,0,0.3333333333333333,0,0.3333333333333333,organcmnist,organcmnist,1,organmnist_views,organmnist_views,cifar10,cifar10,bloodmnist|cifar10|cifar100,bloodmnist|cifar10|cifar100_shared_images,14,3,0.7857142857142857,0.9165699721612445,0.9161831214495585,0.00038685071168598206,0.048387514223592824,0.928125,0.9375,-0.009375000000000022,5,3,17
dinov2_b14,beans,random,2,3,17,0.8235294117647058,0,0.0,0,0.0,organcmnist,organcmnist,1,organmnist_views,organmnist_views,tiny_imagenet,tiny_imagenet,pathmnist|pneumoniamnist|tiny_imagenet,pathmnist|pneumoniamnist|tiny_imagenet,14,3,0.7857142857142857,0.9165699721612445,0.9131528213706652,0.0034171507905792486,0.42741922785328146,0.928125,0.9234375,0.004687499999999956,5,3,17
dinov2_b14,beans,random,3,3,17,0.8235294117647058,0,0.0,1,0.3333333333333333,organcmnist,organcmnist,1,organmnist_views,organmnist_views,organamnist,organmnist_views,dermamnist|organamnist|pneumoniamnist,dermamnist|organmnist_views|pneumoniamnist,14,3,0.7857142857142857,0.9165699721612445,0.9145067839680913,0.0020631881931532092,0.25806479095529405,0.928125,0.928125,0.0,5,3,17
dinov2_b14,beans,random,4,3,17,0.8235294117647058,0,0.0,0,0.0,organcmnist,organcmnist,1,organmnist_views,organmnist_views,octmnist,octmnist,bloodmnist|octmnist|pneumoniamnist,bloodmnist|octmnist|pneumoniamnist,14,3,0.7857142857142857,0.9165699721612445,0.9122501768849112,0.004319795276333305,0.5403225302743087,0.928125,0.9296875,-0.0015625000000000222,5,3,17
dinov2_b14,beans,random,5,3,17,0.8235294117647058,0,0.0,0,0.0,organcmnist,organcmnist,1,organmnist_views,organmnist_views,cifar100,cifar100_shared_images,cifar100|cifar100_coarse|rendered_sst2,cifar100_shared_images|rendered_sst2,14,2,0.8571428571428572,0.9165699721612445,0.9147646853225911,0.0018052868386533305,0.22580633806332556,0.928125,0.921875,0.006249999999999978,5,3,17
dinov2_b14,beans,random,6,3,17,0.8235294117647058,1,0.3333333333333333,1,0.3333333333333333,organcmnist,organcmnist,1,organmnist_views,organmnist_views,organcmnist,organmnist_views,organcmnist|pathmnist|retinamnist,organmnist_views|pathmnist|retinamnist,14,3,0.7857142857142857,0.9165699721612445,0.9165699721612445,0.0,0.0,0.928125,0.928125,0.0,5,3,17
dinov2_b14,beans,random,7,3,17,0.8235294117647058,1,0.3333333333333333,1,0.3333333333333333,organcmnist,organcmnist,1,organmnist_views,organmnist_views,organcmnist,organmnist_views,cifar100|dermamnist|organcmnist,cifar100_shared_images|dermamnist|organmnist_views,14,3,0.7857142857142857,0.9165699721612445,0.9165699721612445,0.0,0.0,0.928125,0.928125,0.0,5,3,17
dinov2_b14,beans,random,8,3,17,0.8235294117647058,0,0.0,1,0.3333333333333333,organcmnist,organcmnist,1,organmnist_views,organmnist_views,organsmnist,organmnist_views,breastmnist|cifar100|organsmnist,breastmnist|cifar100_shared_images|organmnist_views,14,3,0.7857142857142857,0.9165699721612445,0.9153449504164863,0.0012250217447581369,0.15322643931649452,0.928125,0.9296875,-0.0015625000000000222,5,3,17
dinov2_b14,beans,random,9,3,17,0.8235294117647058,0,0.0,1,0.3333333333333333,organcmnist,organcmnist,1,organmnist_views,organmnist_views,organamnist,organmnist_views,bloodmnist|organamnist|retinamnist,bloodmnist|organmnist_views|retinamnist,14,3,0.7857142857142857,0.9165699721612445,0.9145067839680913,0.0020631881931532092,0.25806479095529405,0.928125,0.928125,0.0,5,3,17
