excluded_encoder,method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
clip_b32,dpp_subspace,3,21,3,21,0.6666666666666666,0.42857142857142855,0.0010971738565513287,0.04265997255152086,-0.0026294833137875525,0.8235294117647058,0.7619047619047619,0.6666666666666666,3.0,0.7857142857142857,0,False
clip_b32,facility_subspace,3,21,3,21,0.19047619047619047,0.31746031746031744,0.003793818222919753,0.12185901106545151,0.002408276285443986,0.8235294117647058,0.19047619047619047,0.373015873015873,3.0,0.7857142857142857,0,False
clip_b32,full_merged_rank,3,21,3,21,0.7142857142857143,0.5238095238095238,0.0010375817814447519,0.03661623420171081,-0.0021116602988470153,0.8235294117647058,0.8095238095238095,0.6825396825396824,3.0,0.7857142857142857,0,False
clip_b32,kcenter_subspace,3,21,3,21,0.6190476190476191,0.3333333333333333,0.0006694511269421824,0.04284217373289293,0.0005150380588713067,0.8235294117647058,0.6190476190476191,0.3412698412698412,3.0,0.7857142857142857,0,False
clip_b32,pool_vendi_subspace,3,21,3,21,0.6190476190476191,0.3333333333333333,0.0006694511269421824,0.04284217373289293,0.0005150380588713067,0.8235294117647058,0.6190476190476191,0.3412698412698412,3.0,0.7857142857142857,0,False
clip_b32,rank_only,3,21,3,21,0.6666666666666666,0.5396825396825397,0.0017154551396988298,0.0670773378463056,-0.0003930914969671435,0.8235294117647058,0.6666666666666666,0.5396825396825397,2.0,0.8571428571428571,0,False
clip_b32,dpp_subspace,5,21,3,21,0.7142857142857143,0.5238095238095238,0.0008724164160082518,0.03171656424952474,-0.001129959310804092,0.7058823529411764,0.8571428571428571,0.8095238095238095,5.0,0.6428571428571428,0,False
clip_b32,facility_subspace,5,21,3,21,0.3333333333333333,0.4126984126984127,0.002881879536293145,0.08723779224967104,0.0015319863955179872,0.7058823529411764,0.3333333333333333,0.4682539682539682,5.0,0.6428571428571428,0,False
clip_b32,full_merged_rank,5,21,3,21,0.8095238095238095,0.746031746031746,0.0008838835135348237,0.03129451118089038,-0.0015134470803397095,0.7058823529411764,0.8095238095238095,0.746031746031746,4.0,0.7142857142857143,1,False
clip_b32,kcenter_subspace,5,21,3,21,0.7619047619047619,0.4603174603174603,0.00011407322159289508,0.008911764719626588,-0.0003859116917564729,0.7058823529411764,0.7619047619047619,0.4682539682539682,5.0,0.6428571428571428,0,False
clip_b32,pool_vendi_subspace,5,21,3,21,0.7619047619047619,0.4603174603174603,0.00011407322159289508,0.008911764719626588,-0.0003859116917564729,0.7058823529411764,0.7619047619047619,0.4682539682539682,5.0,0.6428571428571428,0,False
clip_b32,rank_only,5,21,3,21,0.8095238095238095,0.746031746031746,0.0008838835135348237,0.03129451118089038,-0.0015134470803397095,0.7058823529411764,0.8095238095238095,0.746031746031746,4.0,0.7142857142857143,1,False
clip_b32,dpp_subspace,8,21,3,21,0.8095238095238095,0.8095238095238095,0.0008165566759628994,0.028601666641618943,-0.0005006608508882111,0.5294117647058824,0.8571428571428571,0.8571428571428571,6.333333333333333,0.5476190476190477,1,False
clip_b32,facility_subspace,8,21,3,21,0.38095238095238093,0.492063492063492,0.002683149011609389,0.08380680185817044,0.0008583347002665223,0.5294117647058824,0.38095238095238093,0.5476190476190477,8.0,0.42857142857142855,0,False
clip_b32,full_merged_rank,8,21,3,21,0.8571428571428571,0.8253968253968254,0.0006996706592559713,0.02387816666366009,-0.0005461851755778016,0.5294117647058824,0.8571428571428571,0.8412698412698413,6.0,0.5714285714285714,1,False
clip_b32,kcenter_subspace,8,21,3,21,0.7619047619047619,0.5396825396825397,0.00010200993619668446,0.007922971680545038,-0.0002659826051621194,0.5294117647058824,0.8095238095238095,0.5634920634920635,8.0,0.42857142857142855,0,False
clip_b32,pool_vendi_subspace,8,21,3,21,0.8095238095238095,0.5555555555555556,7.978745356837646e-05,0.0063371628797541605,-0.0003330020677475697,0.5294117647058824,0.8095238095238095,0.5634920634920635,8.0,0.42857142857142855,0,False
clip_b32,rank_only,8,21,3,21,0.8571428571428571,0.8095238095238095,0.0008101984988978728,0.027286292336719885,-0.00017416136605399206,0.5294117647058824,0.8571428571428571,0.8095238095238095,5.0,0.6428571428571428,1,False
