encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
resnet50,beans,rank_only,-1,3,17,0.8235294117647058,0,0.0,0,0.0,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,cifar100,cifar100_shared_images,tiny_imagenet|cifar100_coarse|cifar100,cifar100_shared_images|tiny_imagenet,14,2,0.8571428571428572,0.875822061038955,0.8536428209199667,0.022179240118988308,0.6838968164345215,0.8609375,0.884375,-0.0234375,5,3,17
resnet50,beans,facility_subspace,-1,3,17,0.8235294117647058,1,0.3333333333333333,1,0.6666666666666666,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,cifar100|organcmnist|rendered_sst2,cifar100_shared_images|organmnist_views|rendered_sst2,14,3,0.7857142857142857,0.875822061038955,0.875822061038955,0.0,0.0,0.8609375,0.8609375,0.0,5,3,17
resnet50,beans,kcenter_subspace,-1,3,17,0.8235294117647058,1,0.3333333333333333,1,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,tiny_imagenet|rendered_sst2|retinamnist,rendered_sst2|retinamnist|tiny_imagenet,14,3,0.7857142857142857,0.875822061038955,0.875822061038955,0.0,0.0,0.8609375,0.8609375,0.0,5,3,17
resnet50,beans,dpp_subspace,-1,3,17,0.8235294117647058,0,0.0,0,0.0,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,stl10,stl10,tiny_imagenet|stl10|cifar100_coarse,cifar100_shared_images|stl10|tiny_imagenet,14,3,0.7857142857142857,0.875822061038955,0.8560283816452567,0.01979367939369825,0.6103380571314766,0.8609375,0.8984375,-0.03749999999999998,5,3,17
resnet50,beans,pool_vendi_subspace,-1,3,17,0.8235294117647058,1,0.3333333333333333,1,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,tiny_imagenet|rendered_sst2|retinamnist,rendered_sst2|retinamnist|tiny_imagenet,14,3,0.7857142857142857,0.875822061038955,0.875822061038955,0.0,0.0,0.8609375,0.8609375,0.0,5,3,17
resnet50,beans,full_merged_rank,-1,3,17,0.8235294117647058,0,0.0,0,0.0,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,stl10,stl10,tiny_imagenet|stl10|cifar100_coarse,cifar100_shared_images|stl10|tiny_imagenet,14,3,0.7857142857142857,0.875822061038955,0.8560283816452567,0.01979367939369825,0.6103380571314766,0.8609375,0.8984375,-0.03749999999999998,5,3,17
resnet50,beans,random,0,3,17,0.8235294117647058,0,0.3333333333333333,0,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,breastmnist,breastmnist,breastmnist|cifar10|cifar100_coarse,breastmnist|cifar10|cifar100_shared_images,14,3,0.7857142857142857,0.875822061038955,0.8620889889740468,0.013733072064908147,0.42345924453091466,0.8609375,0.875,-0.014062499999999978,5,3,17
resnet50,beans,random,1,3,17,0.8235294117647058,0,0.0,0,0.0,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,octmnist,octmnist,octmnist|pathmnist|retinamnist,octmnist|pathmnist|retinamnist,14,3,0.7857142857142857,0.875822061038955,0.8553191624673083,0.020502898571646666,0.6322068288004383,0.8609375,0.878125,-0.017187500000000022,5,3,17
resnet50,beans,random,2,3,17,0.8235294117647058,0,0.3333333333333333,0,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,organsmnist,organmnist_views,cifar100|organsmnist|retinamnist,cifar100_shared_images|organmnist_views|retinamnist,14,3,0.7857142857142857,0.875822061038955,0.8597679043415669,0.016054156697388078,0.49502988366517026,0.8609375,0.8671875,-0.006249999999999978,5,3,17
resnet50,beans,random,3,3,17,0.8235294117647058,0,0.3333333333333333,0,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,breastmnist,breastmnist,breastmnist|tiny_imagenet|tissuemnist,breastmnist|tiny_imagenet|tissuemnist,14,3,0.7857142857142857,0.875822061038955,0.8620889889740468,0.013733072064908147,0.42345924453091466,0.8609375,0.875,-0.014062499999999978,5,3,17
