encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
clip_b32,beans,rank_only,-1,3,16,0.8125,1,0.6666666666666666,1,0.6666666666666666,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2|fashion_mnist|svhn,fashion_mnist|rendered_sst2|svhn,13,3,0.7692307692307692,0.8840748092384203,0.8840748092384203,0.0,0.0,0.8890625,0.8890625,0.0,5,3,16
clip_b32,beans,facility_subspace,-1,3,16,0.8125,1,0.3333333333333333,1,0.6666666666666666,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,organcmnist|usps|rendered_sst2,handwritten_digits|organmnist_views|rendered_sst2,13,3,0.7692307692307692,0.8840748092384203,0.8840748092384203,0.0,0.0,0.8890625,0.8890625,0.0,5,3,16
clip_b32,beans,kcenter_subspace,-1,3,16,0.8125,1,0.6666666666666666,1,0.6666666666666666,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2|retinamnist|fashion_mnist,fashion_mnist|rendered_sst2|retinamnist,13,3,0.7692307692307692,0.8840748092384203,0.8840748092384203,0.0,0.0,0.8890625,0.8890625,0.0,5,3,16
clip_b32,beans,dpp_subspace,-1,3,16,0.8125,1,0.6666666666666666,1,0.6666666666666666,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2|fashion_mnist|svhn,fashion_mnist|rendered_sst2|svhn,13,3,0.7692307692307692,0.8840748092384203,0.8840748092384203,0.0,0.0,0.8890625,0.8890625,0.0,5,3,16
clip_b32,beans,pool_vendi_subspace,-1,3,16,0.8125,1,0.6666666666666666,1,0.6666666666666666,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2|retinamnist|mnist,handwritten_digits|rendered_sst2|retinamnist,13,3,0.7692307692307692,0.8840748092384203,0.8840748092384203,0.0,0.0,0.8890625,0.8890625,0.0,5,3,16
clip_b32,beans,full_merged_rank,-1,3,16,0.8125,1,0.6666666666666666,1,0.6666666666666666,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2|fashion_mnist|svhn,fashion_mnist|rendered_sst2|svhn,13,3,0.7692307692307692,0.8840748092384203,0.8840748092384203,0.0,0.0,0.8890625,0.8890625,0.0,5,3,16
clip_b32,beans,random,0,3,16,0.8125,1,0.3333333333333333,1,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,octmnist|organamnist|rendered_sst2,octmnist|organmnist_views|rendered_sst2,13,3,0.7692307692307692,0.8840748092384203,0.8840748092384203,0.0,0.0,0.8890625,0.8890625,0.0,5,3,16
clip_b32,beans,random,1,3,16,0.8125,1,0.6666666666666666,1,0.6666666666666666,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,mnist|organsmnist|rendered_sst2,handwritten_digits|organmnist_views|rendered_sst2,13,3,0.7692307692307692,0.8840748092384203,0.8840748092384203,0.0,0.0,0.8890625,0.8890625,0.0,5,3,16
clip_b32,beans,random,2,3,16,0.8125,0,0.3333333333333333,0,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,fashion_mnist,fashion_mnist,fashion_mnist|octmnist|pneumoniamnist,fashion_mnist|octmnist|pneumoniamnist,13,3,0.7692307692307692,0.8840748092384203,0.88310769142296,0.0009671178154603277,0.04901957767989594,0.8890625,0.8984375,-0.009375000000000022,5,3,16
clip_b32,beans,random,3,3,16,0.8125,1,0.3333333333333333,1,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,breastmnist|rendered_sst2|retinamnist,breastmnist|rendered_sst2|retinamnist,13,3,0.7692307692307692,0.8840748092384203,0.8840748092384203,0.0,0.0,0.8890625,0.8890625,0.0,5,3,16
clip_b32,beans,random,4,3,16,0.8125,0,0.3333333333333333,0,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,mnist,handwritten_digits,mnist|octmnist|pathmnist,handwritten_digits|octmnist|pathmnist,13,3,0.7692307692307692,0.8840748092384203,0.8823339888274784,0.0017408204109419234,0.08823566270496079,0.8890625,0.89375,-0.004687500000000067,5,3,16
clip_b32,beans,random,5,3,16,0.8125,1,0.3333333333333333,1,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,organcmnist|pathmnist|rendered_sst2,organmnist_views|pathmnist|rendered_sst2,13,3,0.7692307692307692,0.8840748092384203,0.8840748092384203,0.0,0.0,0.8890625,0.8890625,0.0,5,3,16
