encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
clip_b32,dpp_subspace,3,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,0.0007189537229992064,0.017054252200590182,-0.0003714254924229245,0.8125,3.0,0.7692307692307692,False
clip_b32,dpp_subspace,5,7,7,0.8571428571428571,0.4761904761904762,0.8571428571428571,0.6428571428571429,0.00014005615597678656,0.00332226251824549,0.00022285665784563653,0.6875,5.0,0.6153846153846155,False
clip_b32,dpp_subspace,8,7,7,1.0,0.8095238095238095,1.0,1.0,0.0,0.0,0.0,0.5,8.0,0.3846153846153846,True
clip_b32,facility_subspace,3,7,7,0.8571428571428571,0.42857142857142855,1.0,0.8571428571428571,0.0007189537229992064,0.017054252200590182,-0.0003714254924229245,0.8125,3.0,0.7692307692307692,False
clip_b32,facility_subspace,5,7,7,0.8571428571428571,0.42857142857142855,1.0,0.8571428571428571,0.0007189537229992064,0.017054252200590182,-0.0003714254924229245,0.6875,5.0,0.6153846153846155,False
clip_b32,facility_subspace,8,7,7,0.8571428571428571,0.5714285714285714,1.0,1.0,0.00014005615597678656,0.00332226251824549,0.00022285665784563653,0.5,8.0,0.3846153846153846,False
clip_b32,full_merged_rank,3,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,0.0007189537229992064,0.017054252200590182,-0.0003714254924229245,0.8125,3.0,0.7692307692307692,False
clip_b32,full_merged_rank,5,7,7,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.5476190476190476,0.0007189537229992064,0.017054252200590182,-0.0003714254924229245,0.6875,5.0,0.6153846153846155,False
clip_b32,full_merged_rank,8,7,7,1.0,0.8571428571428571,1.0,1.0,0.0,0.0,0.0,0.5,8.0,0.3846153846153846,True
clip_b32,kcenter_subspace,3,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,0.0007189537229992064,0.017054252200590182,-0.0003714254924229245,0.8125,3.0,0.7692307692307692,False
clip_b32,kcenter_subspace,5,7,7,0.8571428571428571,0.42857142857142855,1.0,0.7619047619047619,0.0007189537229992064,0.017054252200590182,-0.0003714254924229245,0.6875,5.0,0.6153846153846155,False
clip_b32,kcenter_subspace,8,7,7,0.8571428571428571,0.619047619047619,1.0,1.0,0.00014005615597678656,0.00332226251824549,0.00022285665784563653,0.5,8.0,0.3846153846153846,False
clip_b32,pool_vendi_subspace,3,7,7,1.0,0.6666666666666666,1.0,0.7142857142857143,0.0,0.0,0.0,0.8125,3.0,0.7692307692307692,True
clip_b32,pool_vendi_subspace,5,7,7,1.0,0.7142857142857143,1.0,0.7619047619047619,0.0,0.0,0.0,0.6875,5.0,0.6153846153846155,True
clip_b32,pool_vendi_subspace,8,7,7,1.0,0.8095238095238095,1.0,0.8571428571428571,0.0,0.0,0.0,0.5,8.0,0.3846153846153846,True
clip_b32,random,3,700,7,0.21571428571428572,0.19238095238095237,0.23714285714285716,0.2961904761904762,0.004702063884458928,0.22525125484258393,0.00459378079005649,0.8125,2.92,0.7753846153846153,False
clip_b32,random,5,700,7,0.30857142857142855,0.30666666666666664,0.3357142857142857,0.43309523809523803,0.003370406311062704,0.16167684816568612,0.0031862049613680054,0.6875,4.702857142857143,0.6382417582417582,False
clip_b32,random,8,700,7,0.5171428571428571,0.508095238095238,0.5542857142857143,0.6590476190476191,0.0016976819852279456,0.0877648028844995,0.001441121629306242,0.5,7.168571428571428,0.44857142857142857,False
clip_b32,rank_only,3,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,0.0007189537229992064,0.017054252200590182,-0.0003714254924229245,0.8125,3.0,0.7692307692307692,False
clip_b32,rank_only,5,7,7,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.5476190476190476,0.0007189537229992064,0.017054252200590182,-0.0003714254924229245,0.6875,4.0,0.6923076923076924,False
clip_b32,rank_only,8,7,7,1.0,0.9523809523809524,1.0,1.0,0.0,0.0,0.0,0.5,6.0,0.5384615384615384,True
