shortlist_size,cluster_level,cluster_estimand,clusters,observations,metric,estimate,ci_2_5,ci_97_5,favorable_rule,bootstrap_probability_favorable,bootstrap_replicates,bootstrap_seed
3,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.42857142857142855,0.25,0.6071428571428571,>=0.9,0.0,10000,20260907
3,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.35714285714285715,0.17857142857142858,0.5357142857142857,>=0.9,0.0,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,0.07142857142857142,-0.14285714285714285,0.21428571428571427,>0,0.7186,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,-0.0003648624533453231,-0.0007900547155167137,0.00019622212137005674,<0,0.9155,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.5,0.2857142857142857,0.6785714285714286,>=0.9,0.0,10000,20260907
3,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.35714285714285715,0.17857142857142858,0.5357142857142857,>=0.9,0.0,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.14285714285714285,0.03571428571428571,0.21428571428571427,>0,0.9985,10000,20260907
3,source_family,equal_cluster_mean,10,28,dpp_best_candidate_recall,0.33571428571428574,0.08571428571428572,0.6214285714285714,>=0.9,0.0,10000,20260907
3,source_family,equal_cluster_mean,10,28,rank_best_candidate_recall,0.18571428571428572,0.0,0.45714285714285713,>=0.9,0.0,10000,20260907
3,source_family,equal_cluster_mean,10,28,dpp_minus_rank_best_recall,0.15,-0.1,0.45,>0,0.8017,10000,20260907
3,source_family,equal_cluster_mean,10,28,dpp_minus_rank_validation_regret,-0.0003522098971590846,-0.0010367381684968683,0.00021443472460729534,<0,0.8638,10000,20260907
3,source_family,equal_cluster_mean,10,28,dpp_best_candidate_family_recall,0.38571428571428573,0.1,0.6857142857142857,>=0.9,0.0002,10000,20260907
3,source_family,equal_cluster_mean,10,28,rank_best_candidate_family_recall,0.18571428571428572,0.0,0.45714285714285713,>=0.9,0.0,10000,20260907
3,source_family,equal_cluster_mean,10,28,dpp_minus_rank_best_family_recall,0.2,0.0,0.5,>0,0.8955,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.42857142857142855,0.25,0.6071428571428571,>=0.9,0.0,10000,20260907
5,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.5,0.2857142857142857,0.6785714285714286,>=0.9,0.0,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,-0.07142857142857142,-0.21428571428571427,0.0,>0,0.0,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,-0.00026438135735060153,-0.0010670917846907926,0.0004097544404568062,<0,0.7419,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.5,0.2857142857142857,0.6785714285714286,>=0.9,0.0,10000,20260907
5,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.5,0.2857142857142857,0.6785714285714286,>=0.9,0.0,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
5,source_family,equal_cluster_mean,10,28,dpp_best_candidate_recall,0.33571428571428574,0.08571428571428572,0.6214285714285714,>=0.9,0.0,10000,20260907
5,source_family,equal_cluster_mean,10,28,rank_best_candidate_recall,0.38571428571428573,0.1,0.6857142857142857,>=0.9,0.0003,10000,20260907
5,source_family,equal_cluster_mean,10,28,dpp_minus_rank_best_recall,-0.05,-0.15,0.0,>0,0.0,10000,20260907
5,source_family,equal_cluster_mean,10,28,dpp_minus_rank_validation_regret,-5.911874998485167e-05,-0.0005257795905209139,0.0003437499589408616,<0,0.5905,10000,20260907
5,source_family,equal_cluster_mean,10,28,dpp_best_candidate_family_recall,0.38571428571428573,0.1,0.6857142857142857,>=0.9,0.0001,10000,20260907
5,source_family,equal_cluster_mean,10,28,rank_best_candidate_family_recall,0.38571428571428573,0.1,0.6857142857142857,>=0.9,0.0003,10000,20260907
5,source_family,equal_cluster_mean,10,28,dpp_minus_rank_best_family_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
8,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.5357142857142857,0.35714285714285715,0.7142857142857143,>=0.9,0.0002,10000,20260907
8,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.5357142857142857,0.39285714285714285,0.6785714285714286,>=0.9,0.0,10000,20260907
8,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,0.0,-0.17857142857142858,0.14285714285714285,>0,0.4516,10000,20260907
8,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,-0.000388106090301224,-0.0010489695497041855,0.0001605493137665583,<0,0.8999,10000,20260907
8,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.6428571428571429,0.5357142857142857,0.7857142857142857,>=0.9,0.0001,10000,20260907
8,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.5357142857142857,0.39285714285714285,0.6785714285714286,>=0.9,0.0,10000,20260907
8,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.10714285714285714,0.03571428571428571,0.21428571428571427,>0,0.9822,10000,20260907
8,source_family,equal_cluster_mean,10,28,dpp_best_candidate_recall,0.469047619047619,0.2,0.738154761904761,>=0.9,0.0011,10000,20260907
8,source_family,equal_cluster_mean,10,28,rank_best_candidate_recall,0.4023809523809524,0.11666666666666667,0.6880952380952381,>=0.9,0.0006,10000,20260907
8,source_family,equal_cluster_mean,10,28,dpp_minus_rank_best_recall,0.06666666666666667,-0.13333333333333333,0.31666666666666665,>0,0.6769,10000,20260907
8,source_family,equal_cluster_mean,10,28,dpp_minus_rank_validation_regret,-0.0004069302008947044,-0.0011147386119997058,0.00014023453843653815,<0,0.8992,10000,20260907
8,source_family,equal_cluster_mean,10,28,dpp_best_candidate_family_recall,0.5357142857142857,0.25,0.8214285714285715,>=0.9,0.0049,10000,20260907
8,source_family,equal_cluster_mean,10,28,rank_best_candidate_family_recall,0.4023809523809524,0.11666666666666667,0.6880952380952381,>=0.9,0.0,10000,20260907
8,source_family,equal_cluster_mean,10,28,dpp_minus_rank_best_family_recall,0.13333333333333333,0.0,0.3666666666666666,>0,0.8893,10000,20260907
