method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
dpp_subspace,3,28,4,28,0.42857142857142855,0.3095238095238095,0.0024030485648291883,0.1076560490118248,0.000771976368767873,0.8125,0.5,0.47023809523809523,3.0,0.7692307692307692,0,False
facility_subspace,3,28,4,28,0.42857142857142855,0.2857142857142857,0.0026018500547055246,0.10328876468051885,0.0019956995333943956,0.8125,0.5357142857142857,0.5416666666666666,3.0,0.7692307692307692,0,False
full_merged_rank,3,28,4,28,0.42857142857142855,0.2738095238095238,0.0024847033360619985,0.1056004885235443,0.0017870947718620256,0.8125,0.4642857142857143,0.3988095238095238,2.5,0.8076923076923076,0,False
kcenter_subspace,3,28,4,28,0.35714285714285715,0.19047619047619047,0.003439695608885744,0.13067599995171184,0.002703506818839473,0.8125,0.4642857142857143,0.38690476190476186,3.0,0.7692307692307692,0,False
pool_vendi_subspace,3,28,4,28,0.39285714285714285,0.2619047619047619,0.003259957178135942,0.12641243690156428,0.0027963631919452037,0.8125,0.5,0.4642857142857143,3.0,0.7692307692307692,1,False
random,3,2800,4,28,0.18928571428571428,0.19107142857142856,0.003921562266961666,0.1728354606262276,0.0019571905732154796,0.8125,0.2710714285714286,0.2969047619047619,2.912857142857143,0.7759340659340658,0,False
rank_only,3,28,4,28,0.35714285714285715,0.29761904761904756,0.0027679110181745114,0.11144773574156441,0.0006369243775095226,0.8125,0.35714285714285715,0.30357142857142855,1.5,0.8846153846153847,0,False
dpp_subspace,5,28,4,28,0.42857142857142855,0.4047619047619047,0.0019183897210961773,0.08580136593030473,0.0006840927260262601,0.6875,0.5,0.5892857142857143,4.75,0.6346153846153847,0,False
facility_subspace,5,28,4,28,0.5,0.3333333333333333,0.0023461393461732516,0.09169975233561013,0.002948532572814389,0.6875,0.6071428571428571,0.5892857142857143,5.0,0.6153846153846155,0,False
full_merged_rank,5,28,4,28,0.5357142857142857,0.42857142857142855,0.0021547599607840795,0.0896192570453582,0.0005658158234187512,0.6875,0.5357142857142857,0.5178571428571429,4.0,0.6923076923076923,0,False
kcenter_subspace,5,28,4,28,0.42857142857142855,0.2738095238095238,0.0017277501450309854,0.06691962834822131,0.000614238636834273,0.6875,0.6428571428571429,0.5833333333333333,5.0,0.6153846153846155,0,False
pool_vendi_subspace,5,28,4,28,0.5,0.369047619047619,0.0015380494416939092,0.06513022390808502,0.0019208499363490442,0.6875,0.6428571428571429,0.5833333333333333,5.0,0.6153846153846155,1,False
random,5,2800,4,28,0.31642857142857145,0.3152380952380952,0.0026041391809785504,0.11599312440759298,0.0014839694372245197,0.6875,0.41928571428571426,0.4563095238095238,4.6975,0.6386538461538461,0,False
rank_only,5,28,4,28,0.5,0.47619047619047616,0.002182771078446779,0.09007138942503647,0.0004972445113318299,0.6875,0.5,0.5059523809523809,3.25,0.75,0,False
dpp_subspace,8,28,4,28,0.5357142857142857,0.6071428571428571,0.0014662034084934922,0.063522289070494,0.0005285756928580164,0.5,0.6428571428571429,0.744047619047619,7.25,0.44230769230769235,1,False
facility_subspace,8,28,4,28,0.7142857142857143,0.5595238095238095,0.0006282283892080512,0.02991865378419889,0.0019533587353570098,0.5,0.8571428571428571,0.8273809523809524,8.0,0.3846153846153846,0,False
full_merged_rank,8,28,4,28,0.6428571428571429,0.6666666666666667,0.0013644709975622219,0.06011143137876286,0.0010748037270137242,0.5,0.6785714285714286,0.7202380952380952,6.5,0.5,1,False
kcenter_subspace,8,28,4,28,0.5714285714285714,0.4404761904761904,0.000877170265460426,0.042008688814554045,0.0008062154054641653,0.5,0.75,0.744047619047619,7.75,0.4038461538461538,0,False
pool_vendi_subspace,8,28,4,28,0.6428571428571429,0.5119047619047619,0.0009899901194247282,0.04839862637868196,0.0014073163270950254,0.5,0.7857142857142857,0.7321428571428571,8.0,0.3846153846153846,1,False
random,8,2800,4,28,0.5160714285714286,0.506547619047619,0.0014550572499333362,0.0646176463224501,0.0008153852969408003,0.5,0.6282142857142857,0.6569642857142857,7.171428571428572,0.44835164835164837,0,False
rank_only,8,28,4,28,0.5357142857142857,0.6666666666666667,0.0018543094987947162,0.07405358192632368,0.000784770505768909,0.5,0.5357142857142857,0.6904761904761905,6.0,0.5384615384615384,1,False
