encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
dinov2_b14,beans,rank_only,-1,3,16,0.8125,0,0.3333333333333333,0,0.5,usps,usps,1,handwritten_digits,handwritten_digits,organcmnist,organmnist_views,organsmnist|organcmnist|organamnist,organmnist_views,13,1,0.9230769230769231,0.9176660383116577,0.9165699721612445,0.001096066150413244,0.12056723949234044,0.934375,0.928125,0.006249999999999978,5,3,16
dinov2_b14,beans,facility_subspace,-1,3,16,0.8125,0,0.6666666666666666,1,1.0,usps,usps,1,handwritten_digits,handwritten_digits,mnist,handwritten_digits,organcmnist|mnist|rendered_sst2,handwritten_digits|organmnist_views|rendered_sst2,13,3,0.7692307692307692,0.9176660383116577,0.9166989095513858,0.0009671287602719403,0.1063841309355961,0.934375,0.909375,0.02499999999999991,5,3,16
dinov2_b14,beans,kcenter_subspace,-1,3,16,0.8125,1,0.3333333333333333,1,1.0,usps,usps,1,handwritten_digits,handwritten_digits,usps,handwritten_digits,organsmnist|rendered_sst2|usps,handwritten_digits|organmnist_views|rendered_sst2,13,3,0.7692307692307692,0.9176660383116577,0.9176660383116577,0.0,0.0,0.934375,0.934375,0.0,5,3,16
dinov2_b14,beans,dpp_subspace,-1,3,16,0.8125,0,0.0,0,0.5,usps,usps,1,handwritten_digits,handwritten_digits,organsmnist,organmnist_views,organsmnist|fashion_mnist|svhn,fashion_mnist|organmnist_views|svhn,13,3,0.7692307692307692,0.9176660383116577,0.9153449504164863,0.002321087895171381,0.2553195900032046,0.934375,0.9296875,0.004687499999999956,5,3,16
dinov2_b14,beans,pool_vendi_subspace,-1,3,16,0.8125,1,0.3333333333333333,1,1.0,usps,usps,1,handwritten_digits,handwritten_digits,usps,handwritten_digits,organsmnist|rendered_sst2|usps,handwritten_digits|organmnist_views|rendered_sst2,13,3,0.7692307692307692,0.9176660383116577,0.9176660383116577,0.0,0.0,0.934375,0.934375,0.0,5,3,16
dinov2_b14,beans,full_merged_rank,-1,3,16,0.8125,0,0.3333333333333333,0,0.5,usps,usps,1,handwritten_digits,handwritten_digits,organcmnist,organmnist_views,organsmnist|fashion_mnist|organcmnist,fashion_mnist|organmnist_views,13,2,0.8461538461538461,0.9176660383116577,0.9165699721612445,0.001096066150413244,0.12056723949234044,0.934375,0.928125,0.006249999999999978,5,3,16
dinov2_b14,beans,random,0,3,16,0.8125,0,0.0,0,0.5,usps,usps,1,handwritten_digits,handwritten_digits,organamnist,organmnist_views,fashion_mnist|organamnist|retinamnist,fashion_mnist|organmnist_views|retinamnist,13,3,0.7692307692307692,0.9176660383116577,0.9145067839680913,0.0031592543435664533,0.3475178709919868,0.934375,0.928125,0.006249999999999978,5,3,16
dinov2_b14,beans,random,1,3,16,0.8125,1,0.3333333333333333,1,0.5,usps,usps,1,handwritten_digits,handwritten_digits,usps,handwritten_digits,bloodmnist|dermamnist|usps,bloodmnist|dermamnist|handwritten_digits,13,3,0.7692307692307692,0.9176660383116577,0.9176660383116577,0.0,0.0,0.934375,0.934375,0.0,5,3,16
dinov2_b14,beans,random,2,3,16,0.8125,0,0.0,0,0.0,usps,usps,1,handwritten_digits,handwritten_digits,pathmnist,pathmnist,pathmnist|pneumoniamnist|tissuemnist,pathmnist|pneumoniamnist|tissuemnist,13,3,0.7692307692307692,0.9176660383116577,0.9130238697461202,0.004642168565537563,0.5106383852780816,0.934375,0.9171875,0.01718749999999991,5,3,16
dinov2_b14,beans,random,3,3,16,0.8125,0,0.3333333333333333,0,0.5,usps,usps,1,handwritten_digits,handwritten_digits,organcmnist,organmnist_views,octmnist|organcmnist|pneumoniamnist,octmnist|organmnist_views|pneumoniamnist,13,3,0.7692307692307692,0.9176660383116577,0.9165699721612445,0.001096066150413244,0.12056723949234044,0.934375,0.928125,0.006249999999999978,5,3,16
dinov2_b14,beans,random,4,3,16,0.8125,0,0.0,0,0.5,usps,usps,1,handwritten_digits,handwritten_digits,organamnist,organmnist_views,bloodmnist|organamnist|rendered_sst2,bloodmnist|organmnist_views|rendered_sst2,13,3,0.7692307692307692,0.9176660383116577,0.9145067839680913,0.0031592543435664533,0.3475178709919868,0.934375,0.928125,0.006249999999999978,5,3,16
dinov2_b14,beans,random,5,3,16,0.8125,0,0.3333333333333333,1,0.5,usps,usps,1,handwritten_digits,handwritten_digits,mnist,handwritten_digits,fashion_mnist|mnist|rendered_sst2,fashion_mnist|handwritten_digits|rendered_sst2,13,3,0.7692307692307692,0.9176660383116577,0.9166989095513858,0.0009671287602719403,0.1063841309355961,0.934375,0.909375,0.02499999999999991,5,3,16
