encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
resnet50,beans,rank_only,-1,3,16,0.8125,0,0.0,0,0.0,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,organsmnist,organmnist_views,organcmnist|organsmnist|organamnist,organmnist_views,13,1,0.9230769230769231,0.875822061038955,0.8597679043415669,0.016054156697388078,0.5092024627990152,0.8609375,0.8671875,-0.006249999999999978,5,3,16
resnet50,beans,facility_subspace,-1,3,16,0.8125,1,0.3333333333333333,1,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,organcmnist|svhn|rendered_sst2,organmnist_views|rendered_sst2|svhn,13,3,0.7692307692307692,0.875822061038955,0.875822061038955,0.0,0.0,0.8609375,0.8609375,0.0,5,3,16
resnet50,beans,kcenter_subspace,-1,3,16,0.8125,1,0.3333333333333333,1,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,organcmnist|rendered_sst2|retinamnist,organmnist_views|rendered_sst2|retinamnist,13,3,0.7692307692307692,0.875822061038955,0.875822061038955,0.0,0.0,0.8609375,0.8609375,0.0,5,3,16
resnet50,beans,dpp_subspace,-1,3,16,0.8125,0,0.3333333333333333,0,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,fashion_mnist,fashion_mnist,organcmnist|svhn|fashion_mnist,fashion_mnist|organmnist_views|svhn,13,3,0.7692307692307692,0.875822061038955,0.8598968593671504,0.015925201671804556,0.5051122936387675,0.8609375,0.8828125,-0.021874999999999978,5,3,16
resnet50,beans,pool_vendi_subspace,-1,3,16,0.8125,1,0.3333333333333333,1,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,rendered_sst2,rendered_sst2,organcmnist|rendered_sst2|retinamnist,organmnist_views|rendered_sst2|retinamnist,13,3,0.7692307692307692,0.875822061038955,0.875822061038955,0.0,0.0,0.8609375,0.8609375,0.0,5,3,16
resnet50,beans,full_merged_rank,-1,3,16,0.8125,0,0.0,0,0.0,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,organsmnist,organmnist_views,organcmnist|svhn|organsmnist,organmnist_views|svhn,13,2,0.8461538461538461,0.875822061038955,0.8597679043415669,0.016054156697388078,0.5092024627990152,0.8609375,0.8671875,-0.006249999999999978,5,3,16
resnet50,beans,random,0,3,16,0.8125,0,0.3333333333333333,0,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,breastmnist,breastmnist,breastmnist|dermamnist|mnist,breastmnist|dermamnist|handwritten_digits,13,3,0.7692307692307692,0.875822061038955,0.8620889889740468,0.013733072064908147,0.4355827745461892,0.8609375,0.875,-0.014062499999999978,5,3,16
resnet50,beans,random,1,3,16,0.8125,0,0.0,0,0.0,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,organamnist,organmnist_views,organamnist|pathmnist|svhn,organmnist_views|pathmnist|svhn,13,3,0.7692307692307692,0.875822061038955,0.858156041223568,0.017666019815386957,0.560327207925831,0.8609375,0.8640625,-0.0031249999999999334,5,3,16
resnet50,beans,random,2,3,16,0.8125,0,0.3333333333333333,0,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,fashion_mnist,fashion_mnist,fashion_mnist|pathmnist|retinamnist,fashion_mnist|pathmnist|retinamnist,13,3,0.7692307692307692,0.875822061038955,0.8598968593671504,0.015925201671804556,0.5051122936387675,0.8609375,0.8828125,-0.021874999999999978,5,3,16
resnet50,beans,random,3,3,16,0.8125,0,0.3333333333333333,0,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,breastmnist,breastmnist,breastmnist|tissuemnist|usps,breastmnist|handwritten_digits|tissuemnist,13,3,0.7692307692307692,0.875822061038955,0.8620889889740468,0.013733072064908147,0.4355827745461892,0.8609375,0.875,-0.014062499999999978,5,3,16
resnet50,beans,random,4,3,16,0.8125,0,0.3333333333333333,0,0.3333333333333333,rendered_sst2,rendered_sst2,1,rendered_sst2,rendered_sst2,breastmnist,breastmnist,bloodmnist|breastmnist|organcmnist,bloodmnist|breastmnist|organmnist_views,13,3,0.7692307692307692,0.875822061038955,0.8620889889740468,0.013733072064908147,0.4355827745461892,0.8609375,0.875,-0.014062499999999978,5,3,16
