encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
resnet50,dpp_subspace,3,7,7,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.35714285714285715,0.006299905362968182,0.2297361004147461,0.001288519586835592,0.8125,3.0,0.7692307692307692,False
resnet50,dpp_subspace,5,7,7,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.4047619047619047,0.005035219208557247,0.16274098295426662,0.00033296516963413466,0.6875,5.0,0.6153846153846155,False
resnet50,dpp_subspace,8,7,7,0.2857142857142857,0.5238095238095238,0.42857142857142855,0.5238095238095238,0.00432412060678476,0.14234764719703003,0.0009946295193263527,0.5,7.0,0.4615384615384616,False
resnet50,facility_subspace,3,7,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.005965256988381518,0.21902430443538495,0.0072694429329463305,0.8125,3.0,0.7692307692307692,False
resnet50,facility_subspace,5,7,7,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.2619047619047619,0.005927908831497908,0.21775163918154394,0.008623730284827094,0.6875,5.0,0.6153846153846155,False
resnet50,facility_subspace,8,7,7,0.7142857142857143,0.6666666666666666,0.8571428571428571,0.7857142857142858,0.0010392561729218558,0.03441032745616642,0.0029316101755414753,0.5,8.0,0.3846153846153846,False
resnet50,full_merged_rank,3,7,7,0.0,0.09523809523809523,0.0,0.16666666666666666,0.006858147634242505,0.24404241550808056,0.005388017211641576,0.8125,2.0,0.846153846153846,False
resnet50,full_merged_rank,5,7,7,0.14285714285714285,0.38095238095238093,0.14285714285714285,0.35714285714285715,0.006214502072651213,0.22751553402543098,0.000704474108559751,0.6875,3.0,0.7692307692307692,False
resnet50,full_merged_rank,8,7,7,0.2857142857142857,0.5238095238095238,0.42857142857142855,0.5238095238095238,0.004300481747011253,0.15614619194959015,0.0022376826831272795,0.5,6.0,0.5384615384615384,False
resnet50,kcenter_subspace,3,7,7,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.16666666666666666,0.007638989178854242,0.2504981880180209,0.008574490036283213,0.8125,3.0,0.7692307692307692,False
resnet50,kcenter_subspace,5,7,7,0.2857142857142857,0.19047619047619047,0.42857142857142855,0.3333333333333333,0.0026091489090842974,0.06704319079283223,0.0020076274871826077,0.6875,5.0,0.6153846153846155,False
resnet50,kcenter_subspace,8,7,7,0.5714285714285714,0.4285714285714285,0.5714285714285714,0.5,0.0012523821678615623,0.03850597646416187,0.0013989278248378114,0.5,7.0,0.4615384615384616,False
resnet50,pool_vendi_subspace,3,7,7,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.16666666666666666,0.007638989178854242,0.2504981880180209,0.008574490036283213,0.8125,3.0,0.7692307692307692,False
resnet50,pool_vendi_subspace,5,7,7,0.2857142857142857,0.23809523809523808,0.42857142857142855,0.3333333333333333,0.0027127534846501816,0.08359448900147062,0.006967628002166738,0.6875,5.0,0.6153846153846155,False
resnet50,pool_vendi_subspace,8,7,7,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.6904761904761905,0.0018102716520854237,0.06310158985270933,0.0038692082677568612,0.5,8.0,0.3846153846153846,False
resnet50,random,3,700,7,0.19285714285714287,0.19904761904761903,0.24142857142857144,0.25166666666666665,0.005675254570979603,0.18591898703529403,0.0021527722903660323,0.8125,2.9,0.7769230769230768,False
resnet50,random,5,700,7,0.3028571428571429,0.32285714285714284,0.37142857142857144,0.40047619047619043,0.003947972884965579,0.13117627184920488,0.0012041293127196138,0.6875,4.744285714285715,0.6350549450549451,False
resnet50,random,8,700,7,0.47,0.48619047619047623,0.5428571428571428,0.5633333333333334,0.0026329001072748887,0.08615978459001826,0.0009156003764697457,0.5,7.155714285714286,0.4495604395604396,False
resnet50,rank_only,3,7,7,0.0,0.14285714285714285,0.0,0.11904761904761904,0.007051305257669972,0.246967124034598,0.002858322007315498,0.8125,1.0,0.9230769230769232,False
resnet50,rank_only,5,7,7,0.14285714285714285,0.38095238095238093,0.14285714285714285,0.35714285714285715,0.006214502072651213,0.22751553402543098,0.000704474108559751,0.6875,3.0,0.7692307692307692,False
resnet50,rank_only,8,7,7,0.14285714285714285,0.4285714285714285,0.14285714285714285,0.4047619047619047,0.005715455972670543,0.18661015098635544,0.0002917732511247907,0.5,6.0,0.5384615384615384,False
