source,domain,family,cache_rows,stage1_rows,feature_dim,cache_path
bloodmnist,medical,bloodmnist,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__bloodmnist__train__n5000.npz
breastmnist,medical,breastmnist,546,546,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__breastmnist__train__n5000.npz
dermamnist,medical,dermamnist,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__dermamnist__train__n5000.npz
fashion_mnist,digits_characters,fashion_mnist,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__fashion_mnist__train__n5000.npz
mnist,digits_characters,handwritten_digits,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__mnist__train__n5000.npz
octmnist,medical,octmnist,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__octmnist__train__n5000.npz
organamnist,medical,organmnist_views,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__organamnist__train__n5000.npz
organcmnist,medical,organmnist_views,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__organcmnist__train__n5000.npz
organsmnist,medical,organmnist_views,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__organsmnist__train__n5000.npz
pathmnist,medical,pathmnist,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__pathmnist__train__n5000.npz
pneumoniamnist,medical,pneumoniamnist,4708,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__pneumoniamnist__train__n5000.npz
rendered_sst2,rendered_text,rendered_sst2,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__rendered_sst2__train__n5000.npz
retinamnist,medical,retinamnist,1080,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__retinamnist__train__n5000.npz
svhn,digits_characters,svhn,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__svhn__train__n5000.npz
tissuemnist,medical,tissuemnist,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__tissuemnist__train__n5000.npz
usps,digits_characters,handwritten_digits,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__usps__train__n5000.npz
