method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
dpp_subspace,3,beans,4,0.5,0.41666666666666663,0.004561572391743984,0.19010797091049303,-0.0042968750000000056,0.8125,0.5,0.5416666666666666,3.0,0.7692307692307692
dpp_subspace,3,dtd,4,0.75,0.3333333333333333,0.0007579777638117569,0.040103145611714935,-0.00021276473999023993,0.8125,0.75,0.4583333333333333,3.0,0.7692307692307692
dpp_subspace,3,eurosat,4,0.25,0.16666666666666666,0.002066667162179958,0.15662897929122277,0.004481488466262812,0.8125,0.25,0.16666666666666666,3.0,0.7692307692307692
dpp_subspace,3,flowers102,4,0.0,0.16666666666666666,0.005441174308458946,0.19400133060235225,0.0024400055408477783,0.8125,0.0,0.29166666666666663,3.0,0.7692307692307692
dpp_subspace,3,food101,4,0.75,0.3333333333333333,0.00034333374698956864,0.006189910768658631,-0.0004800021648407038,0.8125,0.75,0.5833333333333333,3.0,0.7692307692307692
dpp_subspace,3,gtsrb,4,0.5,0.41666666666666663,0.0024866654137770394,0.08221422668703271,0.002300000190734869,0.8125,0.5,0.625,3.0,0.7692307692307692
dpp_subspace,3,oxford_pets,4,0.25,0.3333333333333333,0.0011639491668430646,0.08434677921129924,0.0011719822883606013,0.8125,0.75,0.625,3.0,0.7692307692307692
dpp_subspace,5,beans,4,0.5,0.5,0.004561572391743984,0.19010797091049303,-0.0042968750000000056,0.6875,0.5,0.625,4.75,0.6346153846153846
dpp_subspace,5,dtd,4,0.75,0.41666666666666663,0.0007579777638117569,0.040103145611714935,-0.00021276473999023993,0.6875,0.75,0.6666666666666666,4.75,0.6346153846153846
dpp_subspace,5,eurosat,4,0.25,0.41666666666666663,0.0010433363095919412,0.07528739129612905,0.0037963002920150535,0.6875,0.25,0.4583333333333333,4.75,0.6346153846153846
dpp_subspace,5,flowers102,4,0.0,0.3333333333333333,0.003071893254915886,0.12236013702680555,0.002510008215904247,0.6875,0.0,0.375,4.75,0.6346153846153846
dpp_subspace,5,food101,4,0.75,0.41666666666666663,0.00034333374698956864,0.006189910768658631,-0.0004800021648407038,0.6875,0.75,0.6666666666666666,4.75,0.6346153846153846
dpp_subspace,5,gtsrb,4,0.5,0.41666666666666663,0.0024866654137770394,0.08221422668703271,0.002300000190734869,0.6875,0.5,0.625,4.75,0.6346153846153846
dpp_subspace,5,oxford_pets,4,0.25,0.3333333333333333,0.0011639491668430646,0.08434677921129924,0.0011719822883606013,0.6875,0.75,0.7083333333333333,4.75,0.6346153846153846
dpp_subspace,8,beans,4,0.5,0.5833333333333334,0.004561572391743984,0.19010797091049303,-0.0042968750000000056,0.5,0.5,0.7083333333333334,7.25,0.4423076923076923
dpp_subspace,8,dtd,4,0.75,0.75,0.00016400714715322784,0.00867730270947803,0.00015957653522491455,0.5,0.75,0.9166666666666666,7.25,0.4423076923076923
dpp_subspace,8,eurosat,4,0.5,0.5833333333333333,0.0002966685944795211,0.022004765151408093,0.0017037063837051225,0.5,0.5,0.625,7.25,0.4423076923076923
dpp_subspace,8,flowers102,4,0.25,0.5,0.0020751619338989225,0.09093374199467202,0.003819999098777782,0.5,0.5,0.5833333333333334,7.25,0.4423076923076923
dpp_subspace,8,food101,4,1.0,0.6666666666666666,0.0,0.0,0.0,0.5,1.0,0.8333333333333333,7.25,0.4423076923076923
dpp_subspace,8,gtsrb,4,0.5,0.5833333333333333,0.0024866654137770394,0.08221422668703271,0.002300000190734869,0.5,0.5,0.75,7.25,0.4423076923076923
dpp_subspace,8,oxford_pets,4,0.25,0.5833333333333333,0.0006793483784017507,0.05071801604037405,1.362264156343218e-05,0.5,0.75,0.7916666666666666,7.25,0.4423076923076923
facility_subspace,3,beans,4,0.5,0.3333333333333333,0.001724695625188316,0.08438496115940243,-0.0015625000000000222,0.8125,0.75,0.5,3.0,0.7692307692307692
facility_subspace,3,dtd,4,0.5,0.25,0.000851066311200438,0.044722596301545375,0.0016755282878875566,0.8125,0.5,0.5416666666666666,3.0,0.7692307692307692
facility_subspace,3,eurosat,4,0.5,0.25,0.001473334397673609,0.11609810244956847,0.0022222191095352117,0.8125,0.5,0.375,3.0,0.7692307692307692
facility_subspace,3,flowers102,4,0.25,0.25,0.00807189683119458,0.2590919338011208,0.0017700046300888062,0.8125,0.5,0.5,3.0,0.7692307692307692
facility_subspace,3,food101,4,0.5,0.3333333333333333,0.001290000334382077,0.03290903673086509,0.0009700104594230624,0.8125,0.5,0.6666666666666666,3.0,0.7692307692307692
facility_subspace,3,gtsrb,4,0.25,0.25,0.003923335283001234,0.12148075418810232,0.007599997520446766,0.8125,0.25,0.41666666666666663,3.0,0.7692307692307692
facility_subspace,3,oxford_pets,4,0.5,0.3333333333333333,0.0008786216002984182,0.0643339681330275,0.001294636726379389,0.8125,0.75,0.7916666666666666,3.0,0.7692307692307692
facility_subspace,5,beans,4,0.5,0.41666666666666663,0.001305611745762436,0.06805332120062138,0.003124999999999961,0.6875,0.75,0.5833333333333333,5.0,0.6153846153846154
facility_subspace,5,dtd,4,0.75,0.3333333333333333,8.867979049670405e-06,0.00016350240631385598,0.002047869563102711,0.6875,0.75,0.625,5.0,0.6153846153846154
facility_subspace,5,eurosat,4,0.5,0.25,0.001473334397673609,0.11609810244956847,0.0022222191095352117,0.6875,0.5,0.375,5.0,0.6153846153846154
facility_subspace,5,flowers102,4,0.25,0.25,0.008006537556648263,0.2568647696068991,0.004140007495880144,0.6875,0.5,0.5,5.0,0.6153846153846154
facility_subspace,5,food101,4,0.75,0.41666666666666663,0.0008266668607791322,0.014903848364738358,0.00020999759435653964,0.6875,0.75,0.75,5.0,0.6153846153846154
facility_subspace,5,gtsrb,4,0.25,0.3333333333333333,0.003923335283001234,0.12148075418810232,0.007599997520446766,0.6875,0.25,0.5,5.0,0.6153846153846154
facility_subspace,5,oxford_pets,4,0.5,0.3333333333333333,0.0008786216002984182,0.0643339681330275,0.001294636726379389,0.6875,0.75,0.7916666666666666,5.0,0.6153846153846154
