encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
clip_b32,beans,rank_only,-1,3,10,0.7,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,rendered_sst2|tiny_imagenet|stl10,rendered_sst2|stl10|tiny_imagenet,8,3,0.625,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.272413565984949,0.9015625,0.8890625,0.012500000000000067,5,3,10
clip_b32,beans,facility_subspace,-1,3,10,0.7,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,cifar100|usps|rendered_sst2,cifar100_shared_images|handwritten_digits|rendered_sst2,8,3,0.625,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.272413565984949,0.9015625,0.8890625,0.012500000000000067,5,3,10
clip_b32,beans,kcenter_subspace,-1,3,10,0.7,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,rendered_sst2|stl10|mnist,handwritten_digits|rendered_sst2|stl10,8,3,0.625,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.272413565984949,0.9015625,0.8890625,0.012500000000000067,5,3,10
clip_b32,beans,dpp_subspace,-1,3,10,0.7,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,rendered_sst2|tiny_imagenet|stl10,rendered_sst2|stl10|tiny_imagenet,8,3,0.625,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.272413565984949,0.9015625,0.8890625,0.012500000000000067,5,3,10
clip_b32,beans,pool_vendi_subspace,-1,3,10,0.7,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,rendered_sst2|stl10|mnist,handwritten_digits|rendered_sst2|stl10,8,3,0.625,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.272413565984949,0.9015625,0.8890625,0.012500000000000067,5,3,10
clip_b32,beans,full_merged_rank,-1,3,10,0.7,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,rendered_sst2|tiny_imagenet|stl10,rendered_sst2|stl10|tiny_imagenet,8,3,0.625,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.272413565984949,0.9015625,0.8890625,0.012500000000000067,5,3,10
clip_b32,beans,random,0,3,10,0.7,0,0.0,0,0.0,cifar10,cifar10,1,cifar10,cifar10,mnist,handwritten_digits,cifar100_coarse|mnist|stl10,cifar100_shared_images|handwritten_digits|stl10,8,3,0.625,0.8891682932985588,0.8823339888274784,0.006834304471080466,0.36551743953887444,0.9015625,0.89375,0.0078125,5,3,10
clip_b32,beans,random,1,3,10,0.7,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,cifar100_coarse|rendered_sst2|svhn,cifar100_shared_images|rendered_sst2|svhn,8,3,0.625,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.272413565984949,0.9015625,0.8890625,0.012500000000000067,5,3,10
clip_b32,beans,random,2,3,10,0.7,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,fashion_mnist,fashion_mnist,cifar100_coarse|fashion_mnist|stl10,cifar100_shared_images|fashion_mnist|stl10,8,3,0.625,0.8891682932985588,0.88310769142296,0.00606060187559887,0.324137692285632,0.9015625,0.8984375,0.0031250000000000444,5,3,10
clip_b32,beans,random,3,3,10,0.7,0,0.0,0,0.0,cifar10,cifar10,1,cifar10,cifar10,cifar100,cifar100_shared_images,cifar100|svhn|tiny_imagenet,cifar100_shared_images|svhn|tiny_imagenet,8,3,0.625,0.8891682932985588,0.8827208391433373,0.006447454155221521,0.34482761842600096,0.9015625,0.8921875,0.009375000000000022,5,3,10
