encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
clip_b32,dpp_subspace,3,7,7,0.7142857142857143,0.5238095238095237,0.7142857142857143,0.5476190476190476,0.0013065389417707962,0.06192179579763637,0.00167713846479145,0.7,3.0,0.625,False
clip_b32,dpp_subspace,5,7,7,0.8571428571428571,0.619047619047619,1.0,0.8571428571428571,0.0005788983617510045,0.023005572085500803,-0.00010857582092284521,0.5,5.0,0.375,False
clip_b32,facility_subspace,3,7,7,0.14285714285714285,0.47619047619047616,0.14285714285714285,0.5952380952380951,0.0024802625124369848,0.1402860069283884,0.005621211869376046,0.7,3.0,0.625,False
clip_b32,facility_subspace,5,7,7,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.6904761904761905,0.001752621932417193,0.10136978321625281,0.003835497583661751,0.5,5.0,0.375,False
clip_b32,full_merged_rank,3,7,7,0.7142857142857143,0.5238095238095237,0.7142857142857143,0.5476190476190476,0.0013065389417707962,0.06192179579763637,0.00167713846479145,0.7,3.0,0.625,False
clip_b32,full_merged_rank,5,7,7,0.8571428571428571,0.8095238095238094,0.8571428571428571,0.8095238095238094,0.0007276405800197917,0.038916223712135566,0.0017857142857142952,0.5,4.0,0.5,False
clip_b32,kcenter_subspace,3,7,7,0.0,0.33333333333333337,0.0,0.33333333333333337,0.005995857566680878,0.2956254320992557,0.008891505854470405,0.7,3.0,0.625,False
clip_b32,kcenter_subspace,5,7,7,0.0,0.38095238095238093,0.0,0.38095238095238093,0.005995857566680878,0.2956254320992557,0.008891505854470405,0.5,5.0,0.375,False
clip_b32,pool_vendi_subspace,3,7,7,0.0,0.33333333333333337,0.0,0.33333333333333337,0.005995857566680878,0.2956254320992557,0.008891505854470405,0.7,3.0,0.625,False
clip_b32,pool_vendi_subspace,5,7,7,0.0,0.38095238095238093,0.0,0.38095238095238093,0.005995857566680878,0.2956254320992557,0.008891505854470405,0.5,5.0,0.375,False
clip_b32,random,3,700,7,0.3142857142857143,0.30666666666666664,0.3514285714285714,0.3926190476190477,0.004356974281751202,0.23178881495351708,0.005726323093686787,0.7,2.882857142857143,0.6396428571428572,False
clip_b32,random,5,700,7,0.5028571428571429,0.5004761904761904,0.54,0.6,0.002325313717066598,0.12479579372773823,0.0033323699065617193,0.5,4.572857142857143,0.42839285714285713,False
clip_b32,rank_only,3,7,7,0.7142857142857143,0.5238095238095237,0.7142857142857143,0.5476190476190476,0.0013065389417707962,0.06192179579763637,0.00167713846479145,0.7,3.0,0.625,False
clip_b32,rank_only,5,7,7,0.8571428571428571,0.8095238095238094,0.8571428571428571,0.8095238095238094,0.0007276405800197917,0.038916223712135566,0.0017857142857142952,0.5,4.0,0.5,False
