shortlist_size,cluster_level,cluster_estimand,clusters,observations,metric,estimate,ci_2_5,ci_97_5,favorable_rule,bootstrap_probability_favorable,bootstrap_replicates,bootstrap_seed
3,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.7142857142857143,0.5357142857142857,0.8928571428571429,>=0.9,0.0095,10000,20260907
3,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.75,0.42857142857142855,1.0,>=0.9,0.0927,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,-0.03571428571428571,-0.17857142857142858,0.10714285714285714,>0,0.2473,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,-0.0004637109623606258,-0.0012559669705141424,5.8095260063831654e-05,<0,0.9025,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.8214285714285714,0.6071428571428571,1.0,>=0.9,0.2257,10000,20260907
3,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.75,0.42857142857142855,1.0,>=0.9,0.0955,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.07142857142857142,0.0,0.14285714285714285,>0,0.9046,10000,20260907
3,source_family,equal_cluster_mean,6,28,dpp_best_candidate_recall,0.27777777777777773,0.0,0.611111111111111,>=0.9,0.0003,10000,20260907
3,source_family,equal_cluster_mean,6,28,rank_best_candidate_recall,0.2916666666666667,0.0,0.625,>=0.9,0.0003,10000,20260907
3,source_family,equal_cluster_mean,6,28,dpp_minus_rank_best_recall,-0.013888888888888895,-0.375,0.3333333333333333,>0,0.3602,10000,20260907
3,source_family,equal_cluster_mean,6,28,dpp_minus_rank_validation_regret,-0.0011567684465289075,-0.00231727208228825,-0.0001597622255252266,<0,0.9837,10000,20260907
3,source_family,equal_cluster_mean,6,28,dpp_best_candidate_family_recall,0.40277777777777773,0.1111111111111111,0.736111111111111,>=0.9,0.0012,10000,20260907
3,source_family,equal_cluster_mean,6,28,rank_best_candidate_family_recall,0.2916666666666667,0.0,0.625,>=0.9,0.0003,10000,20260907
3,source_family,equal_cluster_mean,6,28,dpp_minus_rank_best_family_recall,0.1111111111111111,0.0,0.3333333333333333,>0,0.6565,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.8214285714285714,0.6785714285714286,0.9285714285714286,>=0.9,0.0823,10000,20260907
5,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.8928571428571429,0.6785714285714286,1.0,>=0.9,0.348,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,-0.07142857142857142,-0.17857142857142858,0.07142857142857142,>0,0.0933,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,-6.467711565472498e-05,-0.0006653283976219084,0.0004379734822681939,<0,0.5498,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.9285714285714286,0.7857142857142857,1.0,>=0.9,0.7364,10000,20260907
5,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.8928571428571429,0.6785714285714286,1.0,>=0.9,0.3357,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.03571428571428571,0.0,0.10714285714285714,>0,0.6582,10000,20260907
5,source_family,equal_cluster_mean,6,28,dpp_best_candidate_recall,0.5416666666666666,0.16666666666666666,0.875,>=0.9,0.0122,10000,20260907
5,source_family,equal_cluster_mean,6,28,rank_best_candidate_recall,0.5,0.16666666666666666,0.8333333333333334,>=0.9,0.0167,10000,20260907
5,source_family,equal_cluster_mean,6,28,dpp_minus_rank_best_recall,0.041666666666666664,-0.375,0.5,>0,0.5547,10000,20260907
5,source_family,equal_cluster_mean,6,28,dpp_minus_rank_validation_regret,-0.000873328345107019,-0.0027616569669481894,0.0003810012035899794,<0,0.8603,10000,20260907
5,source_family,equal_cluster_mean,6,28,dpp_best_candidate_family_recall,0.6666666666666666,0.3333333333333333,1.0,>=0.9,0.0865,10000,20260907
5,source_family,equal_cluster_mean,6,28,rank_best_candidate_family_recall,0.5,0.16666666666666666,0.8333333333333334,>=0.9,0.0139,10000,20260907
5,source_family,equal_cluster_mean,6,28,dpp_minus_rank_best_family_recall,0.16666666666666666,0.0,0.5,>0,0.675,10000,20260907
