method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
dpp_subspace,3,28,4,28,0.7142857142857143,0.4523809523809524,0.0011543742125328382,0.04879859157439654,-0.001422206844602308,0.7,0.8214285714285714,0.6666666666666666,3.0,0.625,0,False
facility_subspace,3,28,4,28,0.17857142857142858,0.32142857142857145,0.003884447623313535,0.14867527530969343,0.004500835282461983,0.7,0.21428571428571427,0.494047619047619,3.0,0.625,0,False
full_merged_rank,3,28,4,28,0.7857142857142857,0.5238095238095238,0.0011096801562029055,0.04419146292908521,-0.001033839583396905,0.7,0.8571428571428571,0.6607142857142857,3.0,0.625,0,False
kcenter_subspace,3,28,4,28,0.5357142857142857,0.3333333333333333,0.0019345292846965503,0.09371905833259773,0.0020701331751687207,0.7,0.5357142857142857,0.38690476190476186,3.0,0.625,1,False
pool_vendi_subspace,3,28,4,28,0.5357142857142857,0.3333333333333333,0.0019345292846965503,0.09371905833259773,0.0020701331751687207,0.7,0.5357142857142857,0.38690476190476186,3.0,0.625,1,False
random,3,2800,4,28,0.30392857142857144,0.29892857142857143,0.004428316337480194,0.17426175893351836,0.003687825860721724,0.7,0.34785714285714286,0.39226190476190476,2.869642857142857,0.6412946428571429,0,False
rank_only,3,28,4,28,0.75,0.5595238095238095,0.001618085174893464,0.06869313697055036,0.0002550870180129989,0.7,0.75,0.5654761904761905,2.25,0.71875,0,False
dpp_subspace,5,28,4,28,0.8214285714285714,0.6428571428571429,0.0007850047491779834,0.029695658621474618,-0.0012570538691111938,0.5,0.9285714285714286,0.8392857142857143,4.75,0.40625,0,False
facility_subspace,5,28,4,28,0.2857142857142857,0.42857142857142855,0.002859347081785057,0.11210131482776388,0.0023221590689250387,0.5,0.32142857142857145,0.6011904761904762,5.0,0.375,0,False
full_merged_rank,5,28,4,28,0.8928571428571429,0.7976190476190476,0.0008496818648327084,0.034512476280507326,-0.0005580357142857143,0.5,0.8928571428571429,0.8035714285714286,4.0,0.5,1,False
kcenter_subspace,5,28,4,28,0.6428571428571429,0.4642857142857143,0.001531811732657076,0.07551156269597326,0.0018408494336264558,0.5,0.6428571428571429,0.5178571428571429,5.0,0.375,1,False
pool_vendi_subspace,5,28,4,28,0.6428571428571429,0.4642857142857143,0.001531811732657076,0.07551156269597326,0.0018408494336264558,0.5,0.6428571428571429,0.5178571428571429,5.0,0.375,1,False
random,5,2800,4,28,0.5092857142857142,0.5001190476190476,0.002437501982264797,0.09463948160417605,0.0016937708024467755,0.5,0.5535714285714286,0.6023214285714286,4.570357142857143,0.4287053571428571,0,False
rank_only,5,28,4,28,0.8928571428571429,0.7976190476190476,0.0008496818648327084,0.034512476280507326,-0.0005580357142857143,0.5,0.8928571428571429,0.8035714285714286,4.0,0.5,1,False
