encoder,target,shortlist_size,oracle_source_family,dpp_best_candidate_recall,rank_best_candidate_recall,dpp_validation_regret,rank_validation_regret,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,dpp_minus_rank_test_regret,shortlist_jaccard,dpp_best_candidate_family_recall,rank_best_candidate_family_recall,dpp_minus_rank_best_family_recall
clip_b32,beans,3,cifar10,0.0,0.0,0.005093484060138542,0.005093484060138542,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
clip_b32,beans,5,cifar10,1.0,0.0,0.0,0.005093484060138542,1.0,0.3333333333333333,-0.005093484060138542,-0.272413565984949,-0.012500000000000067,0.6666666666666666,1.0,0.0,1.0
clip_b32,dtd,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
clip_b32,dtd,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
clip_b32,eurosat,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
clip_b32,eurosat,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
clip_b32,flowers102,3,cifar100_shared_images,0.0,0.0,0.004052288532257031,0.004052288532257031,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
clip_b32,flowers102,5,cifar100_shared_images,0.0,1.0,0.004052288532257031,0.0,-1.0,-0.3333333333333333,0.004052288532257031,0.16103900459850562,-0.0007600307464599165,0.6666666666666666,1.0,1.0,0.0
clip_b32,food101,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
clip_b32,food101,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
clip_b32,gtsrb,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
clip_b32,gtsrb,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
clip_b32,oxford_pets,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
clip_b32,oxford_pets,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
dinov2_b14,beans,3,handwritten_digits,0.0,0.0,0.0014829168620992261,0.0029013529890665746,0.0,0.3333333333333333,-0.0014184361269673484,-0.15602792601539833,-0.015625,0.5,0.0,0.0,0.0
dinov2_b14,beans,5,handwritten_digits,0.0,0.0,0.0014829168620992261,0.0014829168620992261,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
dinov2_b14,dtd,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0
dinov2_b14,dtd,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
dinov2_b14,eurosat,3,cifar100_shared_images,0.0,1.0,0.0003999996368092562,0.0,-1.0,-0.3333333333333333,0.0003999996368092562,0.028680654447106987,-0.0012592792510985884,0.5,1.0,1.0,0.0
dinov2_b14,eurosat,5,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
dinov2_b14,flowers102,3,stl10,0.0,0.0,0.000980383555094444,0.0007843112945556951,0.0,-0.3333333333333333,0.00019607226053874882,0.022900160383548127,7.997751235955253e-05,0.5,0.0,0.0,0.0
dinov2_b14,flowers102,5,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
dinov2_b14,food101,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5,1.0,1.0,0.0
dinov2_b14,food101,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
dinov2_b14,gtsrb,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5,1.0,1.0,0.0
dinov2_b14,gtsrb,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
dinov2_b14,oxford_pets,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0
dinov2_b14,oxford_pets,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
resnet50,beans,3,rendered_sst2,0.0,0.0,0.01979367939369825,0.022179240118988308,0.0,0.0,-0.002385560725290059,-0.0735587593030449,-0.014062499999999978,0.5,0.0,0.0,0.0
resnet50,beans,5,rendered_sst2,0.0,0.0,0.015925201671804556,0.017214691293078066,0.0,0.3333333333333333,-0.0012894896212735096,-0.039761409411826876,0.0031250000000000444,0.6666666666666666,0.0,0.0,0.0
resnet50,dtd,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.5,1.0,1.0,0.0
resnet50,dtd,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
resnet50,eurosat,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,1.0,1.0,0.0
resnet50,eurosat,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
