source,domain,family,cache_rows,stage1_rows,feature_dim,cache_path
cifar10,general_vision,cifar10,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__cifar10__train__n5000.npz
cifar100,general_vision,cifar100_shared_images,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__cifar100__train__n5000.npz
cifar100_coarse,general_vision,cifar100_shared_images,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__cifar100_coarse__train__n5000.npz
fashion_mnist,digits_characters,fashion_mnist,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__fashion_mnist__train__n5000.npz
mnist,digits_characters,handwritten_digits,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__mnist__train__n5000.npz
rendered_sst2,rendered_text,rendered_sst2,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__rendered_sst2__train__n5000.npz
stl10,general_vision,stl10,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__stl10__train__n5000.npz
svhn,digits_characters,svhn,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__svhn__train__n5000.npz
tiny_imagenet,general_vision,tiny_imagenet,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__tiny_imagenet__train__n5000.npz
usps,digits_characters,handwritten_digits,5000,1000,2048,/data/Paper06/features/two_stage_source_splits_n5000/resnet50__usps__train__n5000.npz
