method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
dpp_subspace,3,beans,4,0.25,0.25,0.006592520078984004,0.261468106954131,-0.007031249999999989,0.7,0.25,0.29166666666666663,3.0,0.625
dpp_subspace,3,dtd,4,0.75,0.5833333333333333,2.6597976684583635e-05,0.0011194965944804109,-0.0027393668889999223,0.7,1.0,0.8333333333333333,3.0,0.625
dpp_subspace,3,eurosat,4,0.75,0.5,9.999990920231405e-05,0.007170163611776747,-0.0003148198127746471,0.7,1.0,0.6666666666666666,3.0,0.625
dpp_subspace,3,flowers102,4,0.5,0.3333333333333333,0.0012581680218378688,0.06888560136852948,-0.0002500087022781483,0.7,0.5,0.5833333333333333,3.0,0.625
dpp_subspace,3,food101,4,0.75,0.5,0.00010333350102109673,0.0029467724918582046,0.00037999749183655063,0.7,1.0,0.7916666666666666,3.0,0.625
dpp_subspace,3,gtsrb,4,1.0,0.41666666666666663,0.0,0.0,0.0,0.7,1.0,0.6666666666666666,3.0,0.625
dpp_subspace,3,oxford_pets,4,1.0,0.5833333333333333,0.0,0.0,0.0,0.7,1.0,0.8333333333333333,3.0,0.625
dpp_subspace,5,beans,4,0.5,0.5833333333333333,0.004352029633475946,0.16354359011435732,-0.0062500000000000056,0.5,0.5,0.625,4.75,0.40625
dpp_subspace,5,dtd,4,0.75,0.75,2.6597976684583635e-05,0.0011194965944804109,-0.0027393668889999223,0.5,1.0,1.0,4.75,0.40625
dpp_subspace,5,eurosat,4,1.0,0.5833333333333333,0.0,0.0,0.0,0.5,1.0,0.75,4.75,0.40625
dpp_subspace,5,flowers102,4,0.75,0.5,0.0010130721330642578,0.040259751149626405,-0.00019000768661497913,0.5,1.0,0.75,4.75,0.40625
dpp_subspace,5,food101,4,0.75,0.75,0.00010333350102109673,0.0029467724918582046,0.00037999749183655063,0.5,1.0,1.0,4.75,0.40625
dpp_subspace,5,gtsrb,4,1.0,0.6666666666666666,0.0,0.0,0.0,0.5,1.0,0.8333333333333333,4.75,0.40625
dpp_subspace,5,oxford_pets,4,1.0,0.6666666666666666,0.0,0.0,0.0,0.5,1.0,0.9166666666666666,4.75,0.40625
facility_subspace,3,beans,4,0.5,0.3333333333333333,0.003465504976029099,0.1636089664615179,0.012500000000000011,0.7,0.5,0.41666666666666663,3.0,0.625
facility_subspace,3,dtd,4,0.25,0.41666666666666663,0.0030230494340260927,0.10375144089382937,0.0043085157871246005,0.7,0.25,0.5416666666666666,3.0,0.625
facility_subspace,3,eurosat,4,0.0,0.3333333333333333,0.0019200029615561165,0.15768228038205684,0.00259258151054384,0.7,0.25,0.5833333333333333,3.0,0.625
facility_subspace,3,flowers102,4,0.25,0.25,0.004150327642758717,0.14329506085672683,0.0007099956274032593,0.7,0.25,0.5833333333333333,3.0,0.625
facility_subspace,3,food101,4,0.25,0.25,0.0035666674484809285,0.10329982065080645,0.004049998521804793,0.7,0.25,0.375,3.0,0.625
facility_subspace,3,gtsrb,4,0.0,0.25,0.008266666273077289,0.2385594432111673,0.004809999465942377,0.7,0.0,0.41666666666666663,3.0,0.625
facility_subspace,3,oxford_pets,4,0.0,0.41666666666666663,0.002798914627266502,0.13052991471174946,0.0025347560644150002,0.7,0.0,0.5416666666666666,3.0,0.625
facility_subspace,5,beans,4,1.0,0.75,0.0,0.0,0.0,0.5,1.0,0.8333333333333333,5.0,0.375
facility_subspace,5,dtd,4,0.25,0.41666666666666663,0.0030230494340260927,0.10375144089382937,0.0043085157871246005,0.5,0.25,0.5416666666666666,5.0,0.375
facility_subspace,5,eurosat,4,0.0,0.41666666666666663,0.0019166700599591302,0.1573861100700357,0.0023518443107605203,0.5,0.25,0.6666666666666666,5.0,0.375
facility_subspace,5,flowers102,4,0.5,0.3333333333333333,0.00199346303939818,0.08447149223977485,-0.0010299980640411377,0.5,0.5,0.6666666666666666,5.0,0.375
facility_subspace,5,food101,4,0.25,0.41666666666666663,0.002053333563605972,0.07101045972517028,0.0013299912214279064,0.5,0.25,0.5416666666666666,5.0,0.375
facility_subspace,5,gtsrb,4,0.0,0.25,0.008229998848239523,0.23755978615378745,0.00676000416278838,0.5,0.0,0.41666666666666663,5.0,0.375
facility_subspace,5,oxford_pets,4,0.0,0.41666666666666663,0.002798914627266502,0.13052991471174946,0.0025347560644150002,0.5,0.0,0.5416666666666666,5.0,0.375
full_merged_rank,3,beans,4,0.25,0.16666666666666666,0.006624757482650401,0.2650142202676315,-0.004687499999999983,0.7,0.25,0.16666666666666666,3.0,0.625
full_merged_rank,3,dtd,4,0.75,0.5833333333333333,2.6597976684583635e-05,0.0011194965944804109,-0.0027393668889999223,0.7,1.0,0.75,3.0,0.625
full_merged_rank,3,eurosat,4,1.0,0.5833333333333333,0.0,0.0,0.0,0.7,1.0,0.6666666666666666,3.0,0.625
full_merged_rank,3,flowers102,4,0.75,0.5,0.0010130721330642578,0.040259751149626405,-0.00019000768661497913,0.7,0.75,0.6666666666666666,3.0,0.625
full_merged_rank,3,food101,4,0.75,0.6666666666666666,0.00010333350102109673,0.0029467724918582046,0.00037999749183655063,0.7,1.0,0.875,3.0,0.625
full_merged_rank,3,gtsrb,4,1.0,0.5833333333333333,0.0,0.0,0.0,0.7,1.0,0.75,3.0,0.625
full_merged_rank,3,oxford_pets,4,1.0,0.5833333333333333,0.0,0.0,0.0,0.7,1.0,0.75,3.0,0.625
full_merged_rank,5,beans,4,0.25,0.3333333333333333,0.005947773053828959,0.24158733396355128,-0.00390625,0.5,0.25,0.375,4.0,0.5
full_merged_rank,5,dtd,4,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,4.0,0.5
full_merged_rank,5,eurosat,4,1.0,0.75,0.0,0.0,0.0,0.5,1.0,0.75,4.0,0.5
full_merged_rank,5,flowers102,4,1.0,0.75,0.0,0.0,0.0,0.5,1.0,0.75,4.0,0.5
full_merged_rank,5,food101,4,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,4.0,0.5
full_merged_rank,5,gtsrb,4,1.0,0.8333333333333333,0.0,0.0,0.0,0.5,1.0,0.8333333333333333,4.0,0.5
