encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
vit_b16,beans,rank_only,-1,3,10,0.7,0,0.0,0,0.0,stl10,stl10,1,stl10,stl10,tiny_imagenet,tiny_imagenet,tiny_imagenet|cifar100_coarse|cifar100,cifar100_shared_images|tiny_imagenet,8,2,0.75,0.8451321891090473,0.8381044648025668,0.007027724306480465,0.306179669003171,0.8578125,0.8453125,0.012499999999999956,5,3,10
vit_b16,beans,facility_subspace,-1,3,10,0.7,0,0.0,0,0.0,stl10,stl10,1,stl10,stl10,cifar100,cifar100_shared_images,cifar100|mnist|rendered_sst2,cifar100_shared_images|handwritten_digits|rendered_sst2,8,3,0.625,0.8451321891090473,0.8363636532650695,0.008768535843977854,0.38202229986112257,0.8578125,0.8203125,0.03749999999999998,5,3,10
vit_b16,beans,kcenter_subspace,-1,3,10,0.7,0,0.0,0,0.0,stl10,stl10,1,stl10,stl10,tiny_imagenet,tiny_imagenet,tiny_imagenet|rendered_sst2|usps,handwritten_digits|rendered_sst2|tiny_imagenet,8,3,0.625,0.8451321891090473,0.8381044648025668,0.007027724306480465,0.306179669003171,0.8578125,0.8453125,0.012499999999999956,5,3,10
vit_b16,beans,dpp_subspace,-1,3,10,0.7,1,0.3333333333333333,1,0.3333333333333333,stl10,stl10,1,stl10,stl10,stl10,stl10,tiny_imagenet|stl10|cifar100_coarse,cifar100_shared_images|stl10|tiny_imagenet,8,3,0.625,0.8451321891090473,0.8451321891090473,0.0,0.0,0.8578125,0.8578125,0.0,5,3,10
vit_b16,beans,pool_vendi_subspace,-1,3,10,0.7,0,0.0,0,0.0,stl10,stl10,1,stl10,stl10,tiny_imagenet,tiny_imagenet,tiny_imagenet|rendered_sst2|usps,handwritten_digits|rendered_sst2|tiny_imagenet,8,3,0.625,0.8451321891090473,0.8381044648025668,0.007027724306480465,0.306179669003171,0.8578125,0.8453125,0.012499999999999956,5,3,10
vit_b16,beans,full_merged_rank,-1,3,10,0.7,1,0.3333333333333333,1,0.3333333333333333,stl10,stl10,1,stl10,stl10,stl10,stl10,tiny_imagenet|stl10|cifar100_coarse,cifar100_shared_images|stl10|tiny_imagenet,8,3,0.625,0.8451321891090473,0.8451321891090473,0.0,0.0,0.8578125,0.8578125,0.0,5,3,10
vit_b16,beans,random,0,3,10,0.7,1,0.6666666666666666,1,0.6666666666666666,stl10,stl10,1,stl10,stl10,stl10,stl10,rendered_sst2|stl10|svhn,rendered_sst2|stl10|svhn,8,3,0.625,0.8451321891090473,0.8451321891090473,0.0,0.0,0.8578125,0.8578125,0.0,5,3,10
vit_b16,beans,random,1,3,10,0.7,0,0.3333333333333333,0,0.3333333333333333,stl10,stl10,1,stl10,stl10,svhn,svhn,rendered_sst2|svhn|usps,handwritten_digits|rendered_sst2|svhn,8,3,0.625,0.8451321891090473,0.8399742282605187,0.005157960848528598,0.22471893837348142,0.8578125,0.8515625,0.006249999999999978,5,3,10
vit_b16,beans,random,2,3,10,0.7,0,0.0,0,0.0,stl10,stl10,1,stl10,stl10,tiny_imagenet,tiny_imagenet,cifar10|rendered_sst2|tiny_imagenet,cifar10|rendered_sst2|tiny_imagenet,8,3,0.625,0.8451321891090473,0.8381044648025668,0.007027724306480465,0.306179669003171,0.8578125,0.8453125,0.012499999999999956,5,3,10
vit_b16,beans,random,3,3,10,0.7,0,0.3333333333333333,0,0.3333333333333333,stl10,stl10,1,stl10,stl10,svhn,svhn,mnist|svhn|tiny_imagenet,handwritten_digits|svhn|tiny_imagenet,8,3,0.625,0.8451321891090473,0.8399742282605187,0.005157960848528598,0.22471893837348142,0.8578125,0.8515625,0.006249999999999978,5,3,10
vit_b16,beans,random,4,3,10,0.7,0,0.0,0,0.0,stl10,stl10,1,stl10,stl10,usps,handwritten_digits,mnist|rendered_sst2|usps,handwritten_digits|rendered_sst2,8,2,0.75,0.8451321891090473,0.8372662924744099,0.007865896634637437,0.3426966572643741,0.8578125,0.8296875,0.028124999999999956,5,3,10
vit_b16,beans,random,5,3,10,0.7,1,0.3333333333333333,1,0.3333333333333333,stl10,stl10,1,stl10,stl10,stl10,stl10,cifar10|cifar100_coarse|stl10,cifar10|cifar100_shared_images|stl10,8,3,0.625,0.8451321891090473,0.8451321891090473,0.0,0.0,0.8578125,0.8578125,0.0,5,3,10
vit_b16,beans,random,6,3,10,0.7,0,0.0,0,0.0,stl10,stl10,1,stl10,stl10,tiny_imagenet,tiny_imagenet,cifar100|rendered_sst2|tiny_imagenet,cifar100_shared_images|rendered_sst2|tiny_imagenet,8,3,0.625,0.8451321891090473,0.8381044648025668,0.007027724306480465,0.306179669003171,0.8578125,0.8453125,0.012499999999999956,5,3,10
vit_b16,beans,random,7,3,10,0.7,0,0.0,0,0.0,stl10,stl10,1,stl10,stl10,tiny_imagenet,tiny_imagenet,cifar10|tiny_imagenet|usps,cifar10|handwritten_digits|tiny_imagenet,8,3,0.625,0.8451321891090473,0.8381044648025668,0.007027724306480465,0.306179669003171,0.8578125,0.8453125,0.012499999999999956,5,3,10
vit_b16,beans,random,8,3,10,0.7,0,0.0,0,0.0,stl10,stl10,1,stl10,stl10,tiny_imagenet,tiny_imagenet,cifar10|rendered_sst2|tiny_imagenet,cifar10|rendered_sst2|tiny_imagenet,8,3,0.625,0.8451321891090473,0.8381044648025668,0.007027724306480465,0.306179669003171,0.8578125,0.8453125,0.012499999999999956,5,3,10
vit_b16,beans,random,9,3,10,0.7,0,0.3333333333333333,0,0.3333333333333333,stl10,stl10,1,stl10,stl10,fashion_mnist,fashion_mnist,cifar100|fashion_mnist|tiny_imagenet,cifar100_shared_images|fashion_mnist|tiny_imagenet,8,3,0.625,0.8451321891090473,0.8441005925106895,0.0010315965983578312,0.04494398061954992,0.8578125,0.81875,0.0390625,5,3,10
