encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
clip_b32,dpp_subspace,3,7,7,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.738095238095238,0.001997337100847723,0.06820041654006852,0.0007842813219343103,0.85,3.0,0.8125,False
clip_b32,dpp_subspace,5,7,7,0.8571428571428571,0.5238095238095238,1.0,0.8333333333333333,0.0005788983617510045,0.011057609354520307,-0.00010857582092284521,0.75,5.0,0.6875,False
clip_b32,dpp_subspace,10,7,7,1.0,0.9523809523809524,1.0,1.0,0.0,0.0,0.0,0.5,9.0,0.4375,True
clip_b32,facility_subspace,3,7,7,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.5,0.003287020658462552,0.15099333182487767,0.005271296841757629,0.85,3.0,0.8125,False
clip_b32,facility_subspace,5,7,7,0.2857142857142857,0.38095238095238093,0.2857142857142857,0.5476190476190476,0.002365955779145192,0.11388758213439114,0.0039320111274719115,0.75,5.0,0.6875,False
clip_b32,facility_subspace,10,7,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.5952380952380951,0.002365955779145192,0.11388758213439114,0.0039320111274719115,0.5,10.0,0.375,False
clip_b32,full_merged_rank,3,7,7,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.738095238095238,0.001997337100847723,0.06820041654006852,0.0007842813219343103,0.85,3.0,0.8125,False
clip_b32,full_merged_rank,5,7,7,1.0,0.7619047619047619,1.0,0.7857142857142857,0.0,0.0,0.0,0.75,4.0,0.75,True
clip_b32,full_merged_rank,10,7,7,1.0,0.9523809523809524,1.0,1.0,0.0,0.0,0.0,0.5,9.0,0.4375,True
clip_b32,kcenter_subspace,3,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.5238095238095238,0.0015552275719053568,0.05038972167471589,0.0010074956076485833,0.85,3.0,0.8125,False
clip_b32,kcenter_subspace,5,7,7,0.7142857142857143,0.4761904761904762,0.7142857142857143,0.5714285714285714,0.0014446986296937,0.04593698511363934,0.00033785275050573257,0.75,5.0,0.6875,False
clip_b32,kcenter_subspace,10,7,7,0.8571428571428571,0.5238095238095238,0.8571428571428571,0.619047619047619,0.0005788983617510045,0.011057609354520307,-0.00010857582092284521,0.5,10.0,0.375,False
clip_b32,pool_vendi_subspace,3,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.5238095238095238,0.0015552275719053568,0.05038972167471589,0.0010074956076485833,0.85,3.0,0.8125,False
clip_b32,pool_vendi_subspace,5,7,7,0.7142857142857143,0.4761904761904762,0.7142857142857143,0.5714285714285714,0.0014446986296937,0.04593698511363934,0.00033785275050573257,0.75,5.0,0.6875,False
clip_b32,pool_vendi_subspace,10,7,7,0.7142857142857143,0.5238095238095238,0.7142857142857143,0.619047619047619,0.0014446986296937,0.04593698511363934,0.00033785275050573257,0.5,10.0,0.375,False
clip_b32,random,3,700,7,0.1442857142857143,0.13857142857142857,0.1657142857142857,0.2057142857142857,0.008529053658819756,0.31762684910714345,0.010464436292648318,0.85,2.9242857142857144,0.8172321428571429,False
clip_b32,random,5,700,7,0.26285714285714284,0.24190476190476193,0.2885714285714286,0.345,0.005827974311930958,0.22660898976192137,0.007308458243097577,0.75,4.758571428571429,0.7025892857142857,False
clip_b32,random,10,700,7,0.48142857142857143,0.4752380952380953,0.52,0.6126190476190476,0.002969557095438459,0.11703987852007572,0.0036202082463673156,0.5,8.941428571428572,0.4411607142857143,False
clip_b32,rank_only,3,7,7,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.738095238095238,0.001997337100847723,0.06820041654006852,0.0007842813219343103,0.85,3.0,0.8125,False
clip_b32,rank_only,5,7,7,1.0,0.7619047619047619,1.0,0.7857142857142857,0.0,0.0,0.0,0.75,4.0,0.75,True
clip_b32,rank_only,10,7,7,1.0,0.8095238095238094,1.0,0.8333333333333333,0.0,0.0,0.0,0.5,8.0,0.5,True
