shortlist_size,cluster_level,cluster_estimand,clusters,observations,metric,estimate,ci_2_5,ci_97_5,favorable_rule,bootstrap_probability_favorable,bootstrap_replicates,bootstrap_seed
3,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.6785714285714286,0.5,0.8571428571428571,>=0.9,0.0062,10000,20260907
3,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.6785714285714286,0.35714285714285715,0.9285714285714286,>=0.9,0.0511,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,0.0,-0.14285714285714285,0.14285714285714285,>0,0.3949,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,-0.0004637109623606258,-0.0012559669705141424,5.8095260063831654e-05,<0,0.9025,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.7857142857142857,0.5714285714285714,0.9642857142857143,>=0.9,0.1181,10000,20260907
3,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.7142857142857143,0.42857142857142855,0.9285714285714286,>=0.9,0.0895,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.07142857142857142,0.0,0.14285714285714285,>0,0.9046,10000,20260907
3,source_family,equal_cluster_mean,8,28,dpp_best_candidate_recall,0.20833333333333331,0.0,0.49999999999999994,>=0.9,0.0,10000,20260907
3,source_family,equal_cluster_mean,8,28,rank_best_candidate_recall,0.20833333333333331,0.0,0.49999999999999994,>=0.9,0.0,10000,20260907
3,source_family,equal_cluster_mean,8,28,dpp_minus_rank_best_recall,0.0,-0.25,0.25,>0,0.3506,10000,20260907
3,source_family,equal_cluster_mean,8,28,dpp_minus_rank_validation_regret,-0.0008246625573747428,-0.0017926355165203598,1.6005840501112645e-05,<0,0.9735,10000,20260907
3,source_family,equal_cluster_mean,8,28,dpp_best_candidate_family_recall,0.3333333333333333,0.08333333333333333,0.6666666666666666,>=0.9,0.0,10000,20260907
3,source_family,equal_cluster_mean,8,28,rank_best_candidate_family_recall,0.25,0.0,0.625,>=0.9,0.0,10000,20260907
3,source_family,equal_cluster_mean,8,28,dpp_minus_rank_best_family_recall,0.08333333333333333,0.0,0.25,>0,0.6615,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.75,0.6071428571428571,0.8928571428571429,>=0.9,0.0104,10000,20260907
5,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.8571428571428571,0.7142857142857143,1.0,>=0.9,0.3736,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,-0.10714285714285714,-0.21428571428571427,-0.03571428571428571,>0,0.0,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,0.00013612426729282218,-9.197187881118276e-05,0.00046322140134516916,<0,0.1901,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.8571428571428571,0.7142857142857143,1.0,>=0.9,0.3584,10000,20260907
5,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.8571428571428571,0.7142857142857143,1.0,>=0.9,0.3539,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
5,source_family,equal_cluster_mean,8,28,dpp_best_candidate_recall,0.375,0.0,0.75,>=0.9,0.0007,10000,20260907
5,source_family,equal_cluster_mean,8,28,rank_best_candidate_recall,0.5,0.125,0.875,>=0.9,0.0048,10000,20260907
5,source_family,equal_cluster_mean,8,28,dpp_minus_rank_best_recall,-0.125,-0.375,0.0,>0,0.0,10000,20260907
5,source_family,equal_cluster_mean,8,28,dpp_minus_rank_validation_regret,9.543373193489821e-05,-0.00038520051878258854,0.0005764348447271916,<0,0.3283,10000,20260907
5,source_family,equal_cluster_mean,8,28,dpp_best_candidate_family_recall,0.5,0.125,0.875,>=0.9,0.0036,10000,20260907
5,source_family,equal_cluster_mean,8,28,rank_best_candidate_family_recall,0.5,0.125,0.875,>=0.9,0.004,10000,20260907
5,source_family,equal_cluster_mean,8,28,dpp_minus_rank_best_family_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
10,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.8571428571428571,0.7142857142857143,1.0,>=0.9,0.3634,10000,20260907
10,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.8571428571428571,0.7142857142857143,1.0,>=0.9,0.3633,10000,20260907
10,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
10,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,4.768632798769966e-06,-2.7142392141473897e-05,4.1448290537783793e-05,<0,0.3435,10000,20260907
10,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.8571428571428571,0.7142857142857143,1.0,>=0.9,0.3603,10000,20260907
10,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.8571428571428571,0.6428571428571429,1.0,>=0.9,0.3698,10000,20260907
10,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
10,source_family,equal_cluster_mean,8,28,dpp_best_candidate_recall,0.5,0.125,0.875,>=0.9,0.0042,10000,20260907
10,source_family,equal_cluster_mean,8,28,rank_best_candidate_recall,0.5,0.125,0.875,>=0.9,0.0037,10000,20260907
10,source_family,equal_cluster_mean,8,28,dpp_minus_rank_best_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
10,source_family,equal_cluster_mean,8,28,dpp_minus_rank_validation_regret,1.669021479569488e-05,-9.499837249515863e-05,0.00014506901688224327,<0,0.3482,10000,20260907
10,source_family,equal_cluster_mean,8,28,dpp_best_candidate_family_recall,0.5,0.125,0.875,>=0.9,0.0035,10000,20260907
10,source_family,equal_cluster_mean,8,28,rank_best_candidate_family_recall,0.5,0.125,0.875,>=0.9,0.0026,10000,20260907
10,source_family,equal_cluster_mean,8,28,dpp_minus_rank_best_family_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
