method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
dpp_subspace,3,28,4,28,0.6785714285714286,0.39285714285714285,0.0008708930278220379,0.05725914670932369,-0.00105059572628566,0.85,0.7857142857142857,0.6488095238095238,3.0,0.8125,0,False
facility_subspace,3,28,4,28,0.10714285714285714,0.3095238095238095,0.00398419923714539,0.17519653675217817,0.0032285417829241,0.85,0.14285714285714285,0.39285714285714285,3.0,0.8125,0,False
full_merged_rank,3,28,4,28,0.7142857142857143,0.4642857142857143,0.0008261989714921052,0.04031797892130629,-0.0006622284650802569,0.85,0.8214285714285714,0.6607142857142857,3.0,0.8125,0,False
kcenter_subspace,3,28,4,28,0.6071428571428571,0.3333333333333333,0.0010705028629521313,0.07003226114373239,0.001140384588922768,0.85,0.6071428571428571,0.375,3.0,0.8125,0,False
pool_vendi_subspace,3,28,4,28,0.6785714285714286,0.369047619047619,0.0007649707766426309,0.060599469903620674,0.000400297130857194,0.85,0.6785714285714286,0.4107142857142857,3.0,0.8125,0,False
random,3,2800,4,28,0.14607142857142857,0.14547619047619048,0.006626250661770274,0.28768132217477566,0.006957495314734318,0.85,0.165,0.20732142857142857,2.9285714285714284,0.8169642857142857,0,False
rank_only,3,28,4,28,0.6785714285714286,0.5,0.0013346039901826637,0.07494888650731212,0.0006266981363296469,0.85,0.7142857142857143,0.5773809523809523,2.25,0.859375,0,False
dpp_subspace,5,28,4,28,0.75,0.47619047619047616,0.0003477152626405506,0.02007428874680277,-0.00014916700976235327,0.75,0.8571428571428571,0.7619047619047619,5.0,0.6875,0,False
facility_subspace,5,28,4,28,0.21428571428571427,0.39285714285714285,0.002962880931432315,0.13993346905389528,0.0018830341952187596,0.75,0.25,0.47619047619047616,5.0,0.6875,0,False
full_merged_rank,5,28,4,28,0.8571428571428571,0.7023809523809524,0.00021159099534772845,0.016970423494070755,-0.00040963888168335516,0.75,0.8571428571428571,0.7083333333333333,4.0,0.75,2,False
kcenter_subspace,5,28,4,28,0.6785714285714286,0.41666666666666663,0.0005481415403940608,0.029125118520543482,0.00040744074753352614,0.75,0.7142857142857143,0.4642857142857143,5.0,0.6875,0,False
pool_vendi_subspace,5,28,4,28,0.7142857142857143,0.42857142857142855,0.0006194291131128333,0.03214698988137354,-0.0007072027240480636,0.75,0.7142857142857143,0.47023809523809523,5.0,0.6875,0,False
random,5,2800,4,28,0.25785714285714284,0.2517857142857143,0.0045963767270837865,0.19961939707976276,0.004785139332924567,0.75,0.2860714285714286,0.34047619047619043,4.744642857142857,0.7034598214285714,0,False
rank_only,5,28,4,28,0.8571428571428571,0.7023809523809524,0.00021159099534772845,0.016970423494070755,-0.00040963888168335516,0.75,0.8571428571428571,0.7083333333333333,4.0,0.75,2,False
dpp_subspace,10,28,4,28,0.8571428571428571,0.8214285714285714,0.00015649033054080226,0.013765775890365083,-0.0002080849238804456,0.5,0.8571428571428571,0.8630952380952381,8.5,0.46875,2,False
facility_subspace,10,28,4,28,0.32142857142857145,0.4880952380952381,0.0026173826497299995,0.1176698326822155,0.0025296109063284683,0.5,0.35714285714285715,0.5833333333333333,10.0,0.375,0,False
full_merged_rank,10,28,4,28,0.8928571428571429,0.8452380952380952,7.343135463858912e-05,0.008389666582290482,0.00031580754688807577,0.5,0.8928571428571429,0.8630952380952381,8.25,0.484375,2,False
kcenter_subspace,10,28,4,28,0.7857142857142857,0.5238095238095238,0.00023735091522527778,0.012325230614866923,0.0006662262337548389,0.5,0.8214285714285714,0.613095238095238,9.75,0.390625,0,False
pool_vendi_subspace,10,28,4,28,0.8214285714285714,0.5714285714285714,0.0004142766099625201,0.017038380325807272,0.000640267559460234,0.5,0.8571428571428571,0.619047619047619,9.75,0.390625,1,False
random,10,2800,4,28,0.4953571428571429,0.496547619047619,0.002233843951640904,0.09815278810667612,0.002396610647439954,0.5,0.535,0.6121428571428571,8.908214285714285,0.4432366071428571,0,False
rank_only,10,28,4,28,0.8571428571428571,0.7857142857142857,0.00015172169774203232,0.012576851132386048,3.6789689745218646e-05,0.5,0.8571428571428571,0.7976190476190476,7.25,0.546875,2,False
