encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
resnet50,dpp_subspace,3,7,7,0.7142857142857143,0.380952380952381,0.7142857142857143,0.619047619047619,0.0009934209442674488,0.05676607814330951,-0.0033587966646467,0.85,3.0,0.8125,False
resnet50,dpp_subspace,5,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.6666666666666666,0.00045920341622313857,0.02819464402835281,0.0011054890496390143,0.75,5.0,0.6875,False
resnet50,dpp_subspace,10,7,7,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.7619047619047619,0.0004045914135225751,0.024242997454144304,-0.0007668665477207824,0.5,8.0,0.5,False
resnet50,facility_subspace,3,7,7,0.0,0.23809523809523808,0.0,0.3095238095238095,0.00579284276775028,0.2397282053963561,0.00028386286326815516,0.85,3.0,0.8125,False
resnet50,facility_subspace,5,7,7,0.0,0.2857142857142857,0.0,0.35714285714285715,0.004863476931800044,0.19838095172081552,-0.003502629484449127,0.75,5.0,0.6875,False
resnet50,facility_subspace,10,7,7,0.2857142857142857,0.47619047619047616,0.2857142857142857,0.5952380952380951,0.0034910084476172387,0.1105454296707056,-0.0005353672163827142,0.5,10.0,0.375,False
resnet50,full_merged_rank,3,7,7,0.7142857142857143,0.380952380952381,0.7142857142857143,0.619047619047619,0.0009934209442674488,0.05676607814330951,-0.0033587966646467,0.85,3.0,0.8125,False
resnet50,full_merged_rank,5,7,7,0.7142857142857143,0.619047619047619,0.7142857142857143,0.619047619047619,0.0006249940727502798,0.037061587868966996,-0.0015730823789324206,0.75,4.0,0.75,False
resnet50,full_merged_rank,10,7,7,0.8571428571428571,0.761904761904762,0.8571428571428571,0.761904761904762,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.5,8.0,0.5,False
resnet50,kcenter_subspace,3,7,7,0.7142857142857143,0.3333333333333333,0.7142857142857143,0.35714285714285715,0.0006618371766459186,0.03903205918502129,-0.0029123680932181223,0.85,3.0,0.8125,False
resnet50,kcenter_subspace,5,7,7,0.7142857142857143,0.38095238095238093,0.7142857142857143,0.40476190476190477,0.00044078126971120693,0.02720937657138896,-0.001126653807503843,0.75,5.0,0.6875,False
resnet50,kcenter_subspace,10,7,7,0.8571428571428571,0.5238095238095238,0.8571428571428571,0.5952380952380951,9.143004110880235e-05,0.007494259253762033,0.00034920488085064615,0.5,9.0,0.4375,False
resnet50,pool_vendi_subspace,3,7,7,0.7142857142857143,0.3333333333333333,0.7142857142857143,0.35714285714285715,0.0006618371766459186,0.03903205918502129,-0.0029123680932181223,0.85,3.0,0.8125,False
resnet50,pool_vendi_subspace,5,7,7,0.7142857142857143,0.380952380952381,0.7142857142857143,0.40476190476190477,0.0006618371766459186,0.03903205918502129,-0.0029123680932181223,0.75,5.0,0.6875,False
resnet50,pool_vendi_subspace,10,7,7,1.0,0.619047619047619,1.0,0.6428571428571427,0.0,0.0,0.0,0.5,9.0,0.4375,True
resnet50,random,3,700,7,0.16,0.1580952380952381,0.16,0.21476190476190476,0.007580548823943608,0.2770814298962178,0.0051404482126235825,0.85,2.93,0.816875,False
resnet50,random,5,700,7,0.24857142857142858,0.2523809523809524,0.24857142857142858,0.3342857142857143,0.0053415840647523674,0.19585419403825377,0.002933223766939972,0.75,4.761428571428572,0.7024107142857143,False
resnet50,random,10,700,7,0.5,0.5014285714285714,0.5,0.6085714285714285,0.0024843412178797075,0.09054683047470267,0.000749280682631895,0.5,8.90857142857143,0.4432142857142857,False
resnet50,rank_only,3,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.0013342153335946,0.07499270667991563,-0.0013498680932181317,0.85,2.0,0.875,False
resnet50,rank_only,5,7,7,0.7142857142857143,0.619047619047619,0.7142857142857143,0.619047619047619,0.0006249940727502798,0.037061587868966996,-0.0015730823789324206,0.75,4.0,0.75,False
resnet50,rank_only,10,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.00044078126971120693,0.02720937657138896,-0.001126653807503843,0.5,7.0,0.5625,False
