method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
dpp_subspace,3,beans,4,0.25,0.08333333333333333,0.004368148841141589,0.23283632684997624,-0.005078124999999989,0.85,0.25,0.16666666666666666,3.0,0.8125
dpp_subspace,3,dtd,4,0.75,0.5833333333333333,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.85,1.0,0.9166666666666666,3.0,0.8125
dpp_subspace,3,eurosat,4,0.5,0.3333333333333333,0.0003400028540691269,0.03323802305705397,0.000333333015441889,0.85,0.5,0.5833333333333333,3.0,0.8125
dpp_subspace,3,flowers102,4,0.5,0.3333333333333333,0.0012581680218378688,0.12964489983217337,-0.0002500087022781483,0.85,0.75,0.5833333333333333,3.0,0.8125
dpp_subspace,3,food101,4,0.75,0.5833333333333333,0.00010333350102109673,0.004015550233520149,0.00037999749183655063,0.85,1.0,0.9166666666666666,3.0,0.8125
dpp_subspace,3,gtsrb,4,1.0,0.3333333333333333,0.0,0.0,0.0,0.85,1.0,0.5416666666666666,3.0,0.8125
dpp_subspace,3,oxford_pets,4,1.0,0.5,0.0,0.0,0.0,0.85,1.0,0.8333333333333333,3.0,0.8125
dpp_subspace,5,beans,4,0.5,0.3333333333333333,0.0009510003736447892,0.08283640457409264,0.001171874999999989,0.75,0.5,0.5416666666666666,5.0,0.6875
dpp_subspace,5,dtd,4,0.75,0.6666666666666666,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.75,1.0,1.0,5.0,0.6875
dpp_subspace,5,eurosat,4,0.5,0.3333333333333333,0.0003400028540691269,0.03323802305705397,0.000333333015441889,0.75,0.5,0.5833333333333333,5.0,0.6875
dpp_subspace,5,flowers102,4,0.75,0.41666666666666663,0.0010130721330642578,0.019350816370410535,-0.00019000768661497913,0.75,1.0,0.6666666666666666,5.0,0.6875
dpp_subspace,5,food101,4,0.75,0.6666666666666666,0.00010333350102109673,0.004015550233520149,0.00037999749183655063,0.75,1.0,1.0,5.0,0.6875
dpp_subspace,5,gtsrb,4,1.0,0.41666666666666663,0.0,0.0,0.0,0.75,1.0,0.625,5.0,0.6875
dpp_subspace,5,oxford_pets,4,1.0,0.5,0.0,0.0,0.0,0.75,1.0,0.9166666666666666,5.0,0.6875
dpp_subspace,10,beans,4,0.5,0.6666666666666666,0.0009187616172489088,0.0811121865244059,-0.002734375000000011,0.5,0.5,0.7916666666666666,8.5,0.46875
dpp_subspace,10,dtd,4,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,8.5,0.46875
dpp_subspace,10,eurosat,4,0.5,0.75,0.00017667069653670708,0.015248244708149693,0.0012777805328368919,0.5,0.5,0.75,8.5,0.46875
dpp_subspace,10,flowers102,4,1.0,0.75,0.0,0.0,0.0,0.5,1.0,0.75,8.5,0.46875
dpp_subspace,10,food101,4,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,8.5,0.46875
dpp_subspace,10,gtsrb,4,1.0,0.75,0.0,0.0,0.0,0.5,1.0,0.8333333333333333,8.5,0.46875
dpp_subspace,10,oxford_pets,4,1.0,0.8333333333333333,0.0,0.0,0.0,0.5,1.0,0.9166666666666666,8.5,0.46875
facility_subspace,3,beans,4,0.0,0.25,0.0057060003271031945,0.27686774837199535,0.008203124999999978,0.85,0.25,0.41666666666666663,3.0,0.8125
facility_subspace,3,dtd,4,0.25,0.3333333333333333,0.003036346634228998,0.13375113769776215,0.001063838601112338,0.85,0.25,0.375,3.0,0.8125
facility_subspace,3,eurosat,4,0.0,0.3333333333333333,0.002363338238000834,0.1753692343230521,0.0032777845859527366,0.85,0.0,0.41666666666666663,3.0,0.8125
facility_subspace,3,flowers102,4,0.25,0.3333333333333333,0.003954249819119793,0.11679922986090722,0.0005599975585937611,0.85,0.25,0.41666666666666663,3.0,0.8125
facility_subspace,3,food101,4,0.25,0.3333333333333333,0.002280001166462889,0.09822778663356012,0.003099992871284485,0.85,0.25,0.375,3.0,0.8125
facility_subspace,3,gtsrb,4,0.0,0.25,0.00790000066975749,0.2519262479335873,0.004310008883476241,0.85,0.0,0.29166666666666663,3.0,0.8125
facility_subspace,3,oxford_pets,4,0.0,0.3333333333333333,0.002649457805344535,0.17343437244438292,0.002085044980049161,0.85,0.0,0.4583333333333333,3.0,0.8125
facility_subspace,5,beans,4,0.5,0.41666666666666663,0.0017569340222655105,0.11481868070724979,0.0003906249999999778,0.75,0.75,0.5833333333333333,5.0,0.6875
facility_subspace,5,dtd,4,0.25,0.41666666666666663,0.0030230494340260927,0.13301298607522027,0.0043085157871246005,0.75,0.25,0.4583333333333333,5.0,0.6875
facility_subspace,5,eurosat,4,0.0,0.3333333333333333,0.0023600053364038476,0.17509604590125788,0.003037047386169417,0.75,0.0,0.41666666666666663,5.0,0.6875
facility_subspace,5,flowers102,4,0.5,0.41666666666666663,0.0017973852157592562,0.07320606925334977,-0.0011799961328506359,0.75,0.5,0.5,5.0,0.6875
facility_subspace,5,food101,4,0.25,0.5,0.001253334036469475,0.05803988106221898,0.00022999346256255548,0.75,0.25,0.5416666666666666,5.0,0.6875
facility_subspace,5,gtsrb,4,0.0,0.25,0.00790000066975749,0.2519262479335873,0.004310008883476241,0.75,0.0,0.29166666666666663,5.0,0.6875
facility_subspace,5,oxford_pets,4,0.0,0.41666666666666663,0.002649457805344535,0.17343437244438292,0.002085044980049161,0.75,0.0,0.5416666666666666,5.0,0.6875
facility_subspace,10,beans,4,0.75,0.8333333333333333,0.00024178219006798507,0.03378416110571986,0.006249999999999978,0.5,1.0,1.0,10.0,0.375
facility_subspace,10,dtd,4,0.25,0.41666666666666663,0.0030230494340260927,0.13301298607522027,0.0043085157871246005,0.5,0.25,0.4583333333333333,10.0,0.375
facility_subspace,10,eurosat,4,0.5,0.5,0.001456669196685162,0.10028511090102935,0.001703709363937378,0.5,0.5,0.5833333333333333,10.0,0.375
facility_subspace,10,flowers102,4,0.5,0.41666666666666663,0.0017973852157592562,0.07320606925334977,-0.0011799961328506359,0.5,0.5,0.5833333333333333,10.0,0.375
facility_subspace,10,food101,4,0.25,0.5,0.001253334036469475,0.05803988106221898,0.00022999346256255548,0.5,0.25,0.5416666666666666,10.0,0.375
facility_subspace,10,gtsrb,4,0.0,0.3333333333333333,0.00790000066975749,0.2519262479335873,0.004310008883476241,0.5,0.0,0.375,10.0,0.375
