shortlist_size,cluster_level,cluster_estimand,clusters,observations,metric,estimate,ci_2_5,ci_97_5,favorable_rule,bootstrap_probability_favorable,bootstrap_replicates,bootstrap_seed,operating_point
0,target,equal_cluster_mean,7,112,dpp_best_candidate_recall,0.7678571428571429,0.6517857142857143,0.8660714285714286,>=0.9,0.0019,10000,20260907,per_domain_closest_at_least_50pct_removal
0,target,equal_cluster_mean,7,112,rank_best_candidate_recall,0.7946428571428571,0.6607142857142857,0.9107142857142857,>=0.9,0.0507,10000,20260907,per_domain_closest_at_least_50pct_removal
0,target,equal_cluster_mean,7,112,dpp_minus_rank_best_recall,-0.026785714285714284,-0.07142857142857142,0.008928571428571428,>0,0.0673,10000,20260907,per_domain_closest_at_least_50pct_removal
0,target,equal_cluster_mean,7,112,dpp_minus_rank_validation_regret,-0.00011081148508960226,-0.00021471289946860015,3.2161125647967012e-06,<0,0.9713,10000,20260907,per_domain_closest_at_least_50pct_removal
0,target,equal_cluster_mean,7,112,dpp_best_candidate_family_recall,0.8303571428571429,0.7053571428571429,0.9375,>=0.9,0.1205,10000,20260907,per_domain_closest_at_least_50pct_removal
0,target,equal_cluster_mean,7,112,rank_best_candidate_family_recall,0.7946428571428571,0.6607142857142857,0.9107142857142857,>=0.9,0.0531,10000,20260907,per_domain_closest_at_least_50pct_removal
0,target,equal_cluster_mean,7,112,dpp_minus_rank_best_family_recall,0.03571428571428571,0.008928571428571428,0.05357142857142857,>0,0.9973,10000,20260907,per_domain_closest_at_least_50pct_removal
0,source_family,equal_cluster_mean,14,112,dpp_best_candidate_recall,0.525,0.31071428571428567,0.7392857142857142,>=0.9,0.0001,10000,20260907,per_domain_closest_at_least_50pct_removal
0,source_family,equal_cluster_mean,14,112,rank_best_candidate_recall,0.5327380952380952,0.29464285714285715,0.761904761904762,>=0.9,0.0014,10000,20260907,per_domain_closest_at_least_50pct_removal
0,source_family,equal_cluster_mean,14,112,dpp_minus_rank_best_recall,-0.007738095238095238,-0.1285714285714286,0.09999999999999998,>0,0.4723,10000,20260907,per_domain_closest_at_least_50pct_removal
0,source_family,equal_cluster_mean,14,112,dpp_minus_rank_validation_regret,-0.0002069919937634869,-0.0005573813781127443,9.578768506716769e-05,<0,0.8998,10000,20260907,per_domain_closest_at_least_50pct_removal
0,source_family,equal_cluster_mean,14,112,dpp_best_candidate_family_recall,0.5982142857142857,0.3601190476190476,0.8154761904761905,>=0.9,0.0043,10000,20260907,per_domain_closest_at_least_50pct_removal
0,source_family,equal_cluster_mean,14,112,rank_best_candidate_family_recall,0.5327380952380952,0.29464285714285715,0.7708333333333331,>=0.9,0.0013,10000,20260907,per_domain_closest_at_least_50pct_removal
0,source_family,equal_cluster_mean,14,112,dpp_minus_rank_best_family_recall,0.06547619047619047,0.0,0.1369047619047619,>0,0.965,10000,20260907,per_domain_closest_at_least_50pct_removal
0,excluded_domain,equal_cluster_mean,4,112,dpp_best_candidate_recall,0.7678571428571429,0.6160714285714285,0.8571428571428571,>=0.9,0.0,10000,20260907,per_domain_closest_at_least_50pct_removal
0,excluded_domain,equal_cluster_mean,4,112,rank_best_candidate_recall,0.7946428571428572,0.625,0.8928571428571429,>=0.9,0.0,10000,20260907,per_domain_closest_at_least_50pct_removal
0,excluded_domain,equal_cluster_mean,4,112,dpp_minus_rank_best_recall,-0.026785714285714284,-0.05357142857142857,0.0,>0,0.0,10000,20260907,per_domain_closest_at_least_50pct_removal
0,excluded_domain,equal_cluster_mean,4,112,dpp_minus_rank_validation_regret,-0.00011081148508960226,-0.0002898874095262255,4.768632798769966e-06,<0,0.9395,10000,20260907,per_domain_closest_at_least_50pct_removal
0,excluded_domain,equal_cluster_mean,4,112,dpp_best_candidate_family_recall,0.8303571428571429,0.7053571428571429,0.9107142857142858,>=0.9,0.1183,10000,20260907,per_domain_closest_at_least_50pct_removal
0,excluded_domain,equal_cluster_mean,4,112,rank_best_candidate_family_recall,0.7946428571428572,0.625,0.8928571428571429,>=0.9,0.0,10000,20260907,per_domain_closest_at_least_50pct_removal
0,excluded_domain,equal_cluster_mean,4,112,dpp_minus_rank_best_family_recall,0.03571428571428571,0.0,0.08035714285714285,>0,0.935,10000,20260907,per_domain_closest_at_least_50pct_removal
