encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
clip_b32,beans,rank_only,-1,3,20,0.85,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,rendered_sst2|tiny_imagenet|stl10,rendered_sst2|stl10|tiny_imagenet,16,3,0.8125,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.24610578291098414,0.9015625,0.8890625,0.012500000000000067,5,3,20
clip_b32,beans,facility_subspace,-1,3,20,0.85,0,0.0,0,0.0,cifar10,cifar10,1,cifar10,cifar10,cifar100,cifar100_shared_images,organcmnist|cifar100|usps,cifar100_shared_images|handwritten_digits|organmnist_views,16,3,0.8125,0.8891682932985588,0.8827208391433373,0.006447454155221521,0.31152659631771007,0.9015625,0.8921875,0.009375000000000022,5,3,20
clip_b32,beans,kcenter_subspace,-1,3,20,0.85,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,rendered_sst2|stl10|retinamnist,rendered_sst2|retinamnist|stl10,16,3,0.8125,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.24610578291098414,0.9015625,0.8890625,0.012500000000000067,5,3,20
clip_b32,beans,dpp_subspace,-1,3,20,0.85,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,rendered_sst2|tiny_imagenet|stl10,rendered_sst2|stl10|tiny_imagenet,16,3,0.8125,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.24610578291098414,0.9015625,0.8890625,0.012500000000000067,5,3,20
clip_b32,beans,pool_vendi_subspace,-1,3,20,0.85,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,rendered_sst2|stl10|retinamnist,rendered_sst2|retinamnist|stl10,16,3,0.8125,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.24610578291098414,0.9015625,0.8890625,0.012500000000000067,5,3,20
clip_b32,beans,random,0,3,20,0.85,0,0.0,0,0.0,cifar10,cifar10,1,cifar10,cifar10,mnist,handwritten_digits,mnist|organamnist|retinamnist,handwritten_digits|organmnist_views|retinamnist,16,3,0.8125,0.8891682932985588,0.8823339888274784,0.006834304471080466,0.33021834026541513,0.9015625,0.89375,0.0078125,5,3,20
clip_b32,beans,random,1,3,20,0.85,0,0.0,0,0.0,cifar10,cifar10,1,cifar10,cifar10,mnist,handwritten_digits,mnist|organsmnist|retinamnist,handwritten_digits|organmnist_views|retinamnist,16,3,0.8125,0.8891682932985588,0.8823339888274784,0.006834304471080466,0.33021834026541513,0.9015625,0.89375,0.0078125,5,3,20
clip_b32,beans,random,2,3,20,0.85,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,dermamnist|octmnist|rendered_sst2,dermamnist|octmnist|rendered_sst2,16,3,0.8125,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.24610578291098414,0.9015625,0.8890625,0.012500000000000067,5,3,20
clip_b32,beans,random,3,3,20,0.85,0,0.0,0,0.0,cifar10,cifar10,1,cifar10,cifar10,cifar100,cifar100_shared_images,cifar100|stl10|tissuemnist,cifar100_shared_images|stl10|tissuemnist,16,3,0.8125,0.8891682932985588,0.8827208391433373,0.006447454155221521,0.31152659631771007,0.9015625,0.8921875,0.009375000000000022,5,3,20
clip_b32,beans,random,4,3,20,0.85,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,fashion_mnist,fashion_mnist,fashion_mnist|mnist|pneumoniamnist,fashion_mnist|handwritten_digits|pneumoniamnist,16,3,0.8125,0.8891682932985588,0.88310769142296,0.00606060187559887,0.29283475748532506,0.9015625,0.8984375,0.0031250000000000444,5,3,20
clip_b32,beans,random,5,3,20,0.85,0,0.0,0,0.0,cifar10,cifar10,1,cifar10,cifar10,organcmnist,organmnist_views,organcmnist|pneumoniamnist|stl10,organmnist_views|pneumoniamnist|stl10,16,3,0.8125,0.8891682932985588,0.8807866024286957,0.008381690869863179,0.4049845978293722,0.9015625,0.896875,0.004687500000000067,5,3,20
clip_b32,beans,random,6,3,20,0.85,0,0.3333333333333333,0,0.3333333333333333,cifar10,cifar10,1,cifar10,cifar10,rendered_sst2,rendered_sst2,breastmnist|rendered_sst2|tiny_imagenet,breastmnist|rendered_sst2|tiny_imagenet,16,3,0.8125,0.8891682932985588,0.8840748092384203,0.005093484060138542,0.24610578291098414,0.9015625,0.8890625,0.012500000000000067,5,3,20
clip_b32,beans,random,7,3,20,0.85,1,0.6666666666666666,1,0.6666666666666666,cifar10,cifar10,1,cifar10,cifar10,cifar10,cifar10,cifar10|rendered_sst2|svhn,cifar10|rendered_sst2|svhn,16,3,0.8125,0.8891682932985588,0.8891682932985588,0.0,0.0,0.9015625,0.9015625,0.0,5,3,20
