encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
dinov2_b14,dpp_subspace,3,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.6666666666666666,0.00029693408742275426,0.030086748967244115,0.0010939155306134904,0.85,3.0,0.8125,False
dinov2_b14,dpp_subspace,5,7,7,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.7857142857142857,0.00023979128216428908,0.02600900639471441,0.0012738125664847175,0.75,4.0,0.75,False
dinov2_b14,dpp_subspace,10,7,7,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.7857142857142857,0.00023979128216428908,0.02600900639471441,0.0012738125664847175,0.5,8.0,0.5,False
dinov2_b14,facility_subspace,3,7,7,0.0,0.42857142857142855,0.14285714285714285,0.47619047619047616,0.00336175826429354,0.12731903089857693,0.004609841959817047,0.85,3.0,0.8125,False
dinov2_b14,facility_subspace,5,7,7,0.14285714285714285,0.619047619047619,0.2857142857142857,0.6666666666666667,0.003108984953723058,0.1179198476718971,0.004592697960989807,0.75,5.0,0.6875,False
dinov2_b14,facility_subspace,10,7,7,0.14285714285714285,0.6666666666666666,0.2857142857142857,0.7142857142857143,0.003108984953723058,0.1179198476718971,0.004592697960989807,0.5,10.0,0.375,False
dinov2_b14,kcenter_subspace,3,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0008514675187544864,0.09203701380423211,0.0017292720930916733,0.85,3.0,0.8125,False
dinov2_b14,kcenter_subspace,5,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0007685717993302881,0.08291848746990549,0.00485427209309167,0.75,5.0,0.6875,False
dinov2_b14,kcenter_subspace,10,7,7,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.5952380952380951,0.00020482869935234405,0.019955159393172075,0.0037724869591849097,0.5,10.0,0.375,False
dinov2_b14,pool_vendi_subspace,3,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0008514675187544864,0.09203701380423211,0.0017292720930916733,0.85,3.0,0.8125,False
dinov2_b14,pool_vendi_subspace,5,7,7,0.7142857142857143,0.4761904761904762,0.7142857142857143,0.4761904761904762,0.00029693408742275426,0.030086748967244115,0.0010939155306134904,0.75,5.0,0.6875,False
dinov2_b14,pool_vendi_subspace,10,7,7,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.5952380952380951,0.00020482869935234405,0.019955159393172075,0.0037724869591849097,0.5,10.0,0.375,False
dinov2_b14,random,3,700,7,0.12428571428571429,0.1357142857142857,0.14714285714285713,0.21404761904761901,0.004947375780675749,0.2167565004776919,0.005835122959954385,0.85,2.9442857142857144,0.8159821428571429,False
dinov2_b14,random,5,700,7,0.24428571428571427,0.2519047619047619,0.28,0.3604761904761905,0.003565231622480632,0.14870780709959888,0.004574218903269076,0.75,4.7214285714285715,0.7049107142857143,False
dinov2_b14,random,10,700,7,0.5042857142857143,0.5028571428571429,0.5442857142857143,0.6495238095238095,0.001859304417755291,0.07558317435500803,0.0026971377985817967,0.5,8.902857142857142,0.44357142857142856,False
dinov2_b14,rank_only,3,7,7,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.47619047619047616,0.0005360481117153545,0.05935853685949447,0.0021209580557686814,0.85,2.0,0.875,False
dinov2_b14,rank_only,5,7,7,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.7857142857142857,0.00023979128216428908,0.02600900639471441,0.0012738125664847175,0.75,4.0,0.75,False
dinov2_b14,rank_only,10,7,7,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.7857142857142857,0.00016610552125692228,0.017903575185891564,0.0012738125664847175,0.5,7.0,0.5625,False
