encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
dinov2_b14,dpp_subspace,3,7,7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.00033341437929144756,0.037068833143008996,-0.00011118480137417563,0.85,3.0,0.8235294117647057,False
dinov2_b14,dpp_subspace,5,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.000221369908640634,0.023982655929856978,-6.547314780100002e-05,0.75,5.0,0.7058823529411765,False
dinov2_b14,dpp_subspace,10,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.000221369908640634,0.023982655929856978,-6.547314780100002e-05,0.5,9.0,0.4705882352941177,False
dinov2_b14,facility_subspace,3,7,7,0.0,0.23809523809523808,0.14285714285714285,0.2857142857142857,0.004696706680301548,0.18000332940966904,0.008590761252811949,0.85,3.0,0.8235294117647057,False
dinov2_b14,facility_subspace,5,7,7,0.0,0.23809523809523808,0.14285714285714285,0.2857142857142857,0.004696706680301548,0.18000332940966904,0.008590761252811949,0.75,5.0,0.7058823529411765,False
dinov2_b14,facility_subspace,10,7,7,0.5714285714285714,0.5238095238095237,0.7142857142857143,0.5714285714285714,0.0002328397034823761,0.023226690436469216,0.00376677513122557,0.5,10.0,0.41176470588235287,False
dinov2_b14,kcenter_subspace,3,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0008514675187544864,0.09203701380423211,0.0017292720930916733,0.85,3.0,0.8235294117647057,False
dinov2_b14,kcenter_subspace,5,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0007685717993302881,0.08291848746990549,0.00485427209309167,0.75,5.0,0.7058823529411765,False
dinov2_b14,kcenter_subspace,10,7,7,0.7142857142857143,0.5238095238095238,0.8571428571428571,0.5476190476190476,0.00020482869935234405,0.019955159393172075,0.0037724869591849097,0.5,10.0,0.41176470588235287,False
dinov2_b14,pool_vendi_subspace,3,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0008514675187544864,0.09203701380423211,0.0017292720930916733,0.85,3.0,0.8235294117647057,False
dinov2_b14,pool_vendi_subspace,5,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.00029693408742275426,0.030086748967244115,0.0010939155306134904,0.75,5.0,0.7058823529411765,False
dinov2_b14,pool_vendi_subspace,10,7,7,0.7142857142857143,0.5238095238095238,0.8571428571428571,0.5476190476190476,0.00020482869935234405,0.019955159393172075,0.0037724869591849097,0.5,10.0,0.41176470588235287,False
dinov2_b14,random,3,700,7,0.12428571428571429,0.13809523809523808,0.14714285714285713,0.17404761904761903,0.004921139486111516,0.2134622744062925,0.005880093182836246,0.85,2.9657142857142857,0.8255462184873951,False
dinov2_b14,random,5,700,7,0.24428571428571427,0.24904761904761902,0.28,0.299047619047619,0.003540530977716756,0.14711561172622098,0.004415761726243143,0.75,4.781428571428571,0.7187394957983193,False
dinov2_b14,random,10,700,7,0.5042857142857143,0.4995238095238095,0.5442857142857143,0.5628571428571428,0.001791314648674161,0.073023089018769,0.0026092028277260823,0.5,9.157142857142857,0.461344537815126,False
dinov2_b14,rank_only,3,7,7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.00033341437929144756,0.037068833143008996,-0.00011118480137417563,0.85,3.0,0.8235294117647057,False
dinov2_b14,rank_only,5,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.000221369908640634,0.023982655929856978,-6.547314780100002e-05,0.75,5.0,0.7058823529411765,False
dinov2_b14,rank_only,10,7,7,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.7857142857142857,0.00016610552125692228,0.017903575185891564,0.0012738125664847175,0.5,8.0,0.5294117647058824,False
