encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
resnet50,dpp_subspace,3,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.00295528838211147,0.09765178938978905,-0.005367725236075268,0.85,3.0,0.8235294117647057,False
resnet50,dpp_subspace,5,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.0024210708540671594,0.08117919318031673,-0.000903439521789554,0.75,5.0,0.7058823529411765,False
resnet50,dpp_subspace,10,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0023664588513665962,0.07764476721909504,-0.0027757951191493507,0.5,9.0,0.4705882352941177,False
resnet50,facility_subspace,3,7,7,0.0,0.23809523809523808,0.0,0.23809523809523808,0.007754710205594302,0.2301401733150971,-0.0017250657081604131,0.85,3.0,0.8235294117647057,False
resnet50,facility_subspace,5,7,7,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.004586247331453115,0.13244062811016544,0.0016231485775538726,0.75,5.0,0.7058823529411765,False
resnet50,facility_subspace,10,7,7,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.619047619047619,0.0034910084476172387,0.08114115081810282,-0.0005353672163827142,0.5,10.0,0.41176470588235287,False
resnet50,kcenter_subspace,3,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.38095238095238093,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.85,3.0,0.8235294117647057,False
resnet50,kcenter_subspace,5,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.38095238095238093,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.75,5.0,0.7058823529411765,False
resnet50,kcenter_subspace,10,7,7,0.8571428571428571,0.619047619047619,0.8571428571428571,0.619047619047619,9.143004110880235e-05,0.007494259253762033,0.00034920488085064615,0.5,9.0,0.4705882352941177,False
resnet50,pool_vendi_subspace,3,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.38095238095238093,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.85,3.0,0.8235294117647057,False
resnet50,pool_vendi_subspace,5,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.38095238095238093,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.75,5.0,0.7058823529411765,False
resnet50,pool_vendi_subspace,10,7,7,0.8571428571428571,0.619047619047619,0.8571428571428571,0.619047619047619,9.143004110880235e-05,0.007494259253762033,0.00034920488085064615,0.5,9.0,0.4705882352941177,False
resnet50,random,3,700,7,0.15142857142857144,0.15523809523809523,0.15142857142857144,0.16047619047619044,0.009110288514536491,0.23496149238789324,0.003298188660825993,0.85,2.934285714285714,0.8273949579831934,False
resnet50,random,5,700,7,0.25,0.26571428571428574,0.25,0.2785714285714286,0.006844805239709247,0.1766308656825299,0.0016713180797440612,0.75,4.8185714285714285,0.7165546218487395,False
resnet50,random,10,700,7,0.4857142857142857,0.5119047619047619,0.4857142857142857,0.5242857142857142,0.003518340948614974,0.09294978654158711,-0.00024318549462727562,0.5,9.132857142857143,0.4627731092436976,False
resnet50,rank_only,3,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.00295528838211147,0.09765178938978905,-0.005367725236075268,0.85,3.0,0.8235294117647057,False
resnet50,rank_only,5,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.002586861510594301,0.08629134768088638,-0.0035820109503609887,0.75,5.0,0.7058823529411765,False
resnet50,rank_only,10,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0023664588513665962,0.07764476721909504,-0.0027757951191493507,0.5,8.0,0.5294117647058824,False
