encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
resnet50,dpp_subspace,3,7,7,0.7142857142857143,0.380952380952381,0.7142857142857143,0.619047619047619,0.0028638583410026675,0.09032176137547605,-0.0057169301169259145,0.85,3.0,0.8125,False
resnet50,dpp_subspace,5,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.6666666666666667,0.0023296408129583573,0.07384916516600372,-0.0012526444026402,0.75,5.0,0.6875,False
resnet50,dpp_subspace,10,7,7,0.8571428571428571,0.7619047619047619,0.8571428571428571,0.7619047619047619,0.0022750288102577937,0.070150507965333,-0.0031249999999999967,0.5,8.0,0.5,False
resnet50,facility_subspace,3,7,7,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.3095238095238095,0.004494817290344312,0.12683937812292895,0.0012739436967032264,0.85,3.0,0.8125,False
resnet50,facility_subspace,5,7,7,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.3095238095238095,0.004494817290344312,0.12683937812292895,0.0012739436967032264,0.75,5.0,0.6875,False
resnet50,facility_subspace,10,7,7,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.5,0.003780530960257505,0.10618635055151071,-0.0004083854811532157,0.5,10.0,0.375,False
resnet50,kcenter_subspace,3,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,3.618985618863186e-05,0.003130610356693677,-0.00035978725978306044,0.85,3.0,0.8125,False
resnet50,kcenter_subspace,5,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,3.618985618863186e-05,0.003130610356693677,-0.00035978725978306044,0.75,5.0,0.6875,False
resnet50,kcenter_subspace,10,7,7,1.0,0.5714285714285714,1.0,0.5952380952380951,0.0,0.0,0.0,0.5,9.0,0.4375,True
resnet50,pool_vendi_subspace,3,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,3.618985618863186e-05,0.003130610356693677,-0.00035978725978306044,0.85,3.0,0.8125,False
resnet50,pool_vendi_subspace,5,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,3.618985618863186e-05,0.003130610356693677,-0.00035978725978306044,0.75,5.0,0.6875,False
resnet50,pool_vendi_subspace,10,7,7,1.0,0.5714285714285714,1.0,0.5952380952380951,0.0,0.0,0.0,0.5,9.0,0.4375,True
resnet50,random,3,700,7,0.16714285714285715,0.15285714285714283,0.16714285714285715,0.19761904761904758,0.009223852176922228,0.23994245814186246,0.002989822464329856,0.85,2.9185714285714286,0.8175892857142857,False
resnet50,random,5,700,7,0.24571428571428572,0.25666666666666665,0.24571428571428572,0.3238095238095238,0.006848634736590191,0.17611248734957244,0.001693975627422336,0.75,4.76,0.7025,False
resnet50,random,10,700,7,0.48857142857142855,0.5166666666666667,0.48857142857142855,0.6009523809523809,0.0035079953422493177,0.0920402206396426,-0.0002996113130024484,0.5,8.894285714285715,0.44410714285714287,False
resnet50,rank_only,3,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.003204652730329819,0.10083015556162532,-0.0037080015454973463,0.85,2.0,0.875,False
resnet50,rank_only,5,7,7,0.7142857142857143,0.6666666666666667,0.7142857142857143,0.6666666666666667,0.0024954314694854984,0.07896131966657337,-0.003931215831211635,0.75,4.0,0.75,False
resnet50,rank_only,10,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0023112186664464257,0.07328111832202668,-0.003484787259783057,0.5,7.0,0.5625,False
