encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
clip_b32,dpp_subspace,3,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5952380952380951,0.0013065389417707962,0.04037112443161823,0.00167713846479145,0.85,3.0,0.8235294117647057,False
clip_b32,dpp_subspace,5,7,7,0.8571428571428571,0.6666666666666666,1.0,0.9047619047619048,0.0005788983617510045,0.011057609354520307,-0.00010857582092284521,0.75,5.0,0.7058823529411765,False
clip_b32,dpp_subspace,10,7,7,1.0,0.9523809523809524,1.0,0.9523809523809524,0.0,0.0,0.0,0.5,9.0,0.4705882352941177,True
clip_b32,facility_subspace,3,7,7,0.14285714285714285,0.23809523809523808,0.14285714285714285,0.2619047619047619,0.0037213060941391368,0.1694998190243257,0.005002725124359112,0.85,3.0,0.8235294117647057,False
clip_b32,facility_subspace,5,7,7,0.14285714285714285,0.5238095238095237,0.14285714285714285,0.5476190476190476,0.0024802625124369848,0.10352066577341777,0.005621211869376046,0.75,5.0,0.7058823529411765,False
clip_b32,facility_subspace,10,7,7,0.2857142857142857,0.619047619047619,0.2857142857142857,0.6428571428571429,0.001752621932417193,0.07420715069631985,0.003835497583661751,0.5,10.0,0.41176470588235287,False
clip_b32,kcenter_subspace,3,7,7,0.0,0.2857142857142857,0.0,0.2857142857142857,0.006117239871281178,0.20637714300975904,0.00895436320986068,0.85,3.0,0.8235294117647057,False
clip_b32,kcenter_subspace,5,7,7,0.0,0.38095238095238093,0.0,0.38095238095238093,0.006117239871281178,0.20637714300975904,0.00895436320986068,0.75,5.0,0.7058823529411765,False
clip_b32,kcenter_subspace,10,7,7,0.14285714285714285,0.619047619047619,0.14285714285714285,0.6428571428571429,0.0024802625124369848,0.10352066577341777,0.005621211869376046,0.5,10.0,0.41176470588235287,False
clip_b32,pool_vendi_subspace,3,7,7,0.0,0.2857142857142857,0.0,0.2857142857142857,0.006117239871281178,0.20637714300975904,0.00895436320986068,0.85,3.0,0.8235294117647057,False
clip_b32,pool_vendi_subspace,5,7,7,0.0,0.38095238095238093,0.0,0.38095238095238093,0.006117239871281178,0.20637714300975904,0.00895436320986068,0.75,5.0,0.7058823529411765,False
clip_b32,pool_vendi_subspace,10,7,7,0.7142857142857143,0.6666666666666667,0.7142857142857143,0.6904761904761905,0.0013065389417707962,0.04037112443161823,0.00167713846479145,0.5,10.0,0.41176470588235287,False
clip_b32,random,3,700,7,0.1442857142857143,0.14238095238095236,0.1657142857142857,0.1795238095238095,0.00838457830018478,0.31036345727533,0.010281314458165854,0.85,2.952857142857143,0.8263025210084033,False
clip_b32,random,5,700,7,0.26285714285714284,0.2561904761904762,0.2885714285714286,0.30904761904761907,0.005509770064622859,0.2091804991061707,0.007086100697517398,0.75,4.808571428571429,0.7171428571428572,False
clip_b32,random,10,700,7,0.48142857142857143,0.47476190476190466,0.52,0.5407142857142857,0.002706448639551616,0.10167426216288858,0.0036048019102641543,0.5,9.164285714285715,0.4609243697478992,False
clip_b32,rank_only,3,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5952380952380951,0.0013065389417707962,0.04037112443161823,0.00167713846479145,0.85,3.0,0.8235294117647057,False
clip_b32,rank_only,5,7,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0007276405800197917,0.029313515077097924,0.0017857142857142952,0.75,4.0,0.7647058823529411,False
clip_b32,rank_only,10,7,7,1.0,0.9523809523809524,1.0,0.9523809523809524,0.0,0.0,0.0,0.5,8.0,0.5294117647058824,True
