encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
dinov2_b14,dpp_subspace,3,7,7,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.0004185675074840197,0.044418027198902706,-0.00027965647833689503,0.85,3.0,0.8235294117647057,False
dinov2_b14,dpp_subspace,5,7,7,0.7142857142857143,0.47619047619047616,0.7142857142857143,0.7857142857142857,0.00027851271389909914,0.028060398502386674,-0.00024537018367222697,0.75,5.0,0.7058823529411765,False
dinov2_b14,dpp_subspace,10,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.000221369908640634,0.023982655929856978,-6.547314780100002e-05,0.5,9.0,0.4705882352941177,False
dinov2_b14,facility_subspace,3,7,7,0.0,0.3333333333333333,0.14285714285714285,0.42857142857142855,0.00336175826429354,0.12731903089857693,0.004609841959817047,0.85,3.0,0.8235294117647057,False
dinov2_b14,facility_subspace,5,7,7,0.0,0.42857142857142855,0.14285714285714285,0.5238095238095238,0.003354159864177594,0.12702550362172432,0.006463943208966911,0.75,5.0,0.7058823529411765,False
dinov2_b14,facility_subspace,10,7,7,0.0,0.4761904761904762,0.14285714285714285,0.5714285714285714,0.003300826341358246,0.12557148189215975,0.007846803324563143,0.5,10.0,0.41176470588235287,False
dinov2_b14,kcenter_subspace,3,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0008514675187544864,0.09203701380423211,0.0017292720930916733,0.85,3.0,0.8235294117647057,False
dinov2_b14,kcenter_subspace,5,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0007685717993302881,0.08291848746990549,0.00485427209309167,0.75,5.0,0.7058823529411765,False
dinov2_b14,kcenter_subspace,10,7,7,0.7142857142857143,0.5238095238095238,0.8571428571428571,0.5476190476190476,0.00020482869935234405,0.019955159393172075,0.0037724869591849097,0.5,10.0,0.41176470588235287,False
dinov2_b14,pool_vendi_subspace,3,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0008514675187544864,0.09203701380423211,0.0017292720930916733,0.85,3.0,0.8235294117647057,False
dinov2_b14,pool_vendi_subspace,5,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.00029693408742275426,0.030086748967244115,0.0010939155306134904,0.75,5.0,0.7058823529411765,False
dinov2_b14,pool_vendi_subspace,10,7,7,0.7142857142857143,0.5238095238095238,0.8571428571428571,0.5476190476190476,0.00020482869935234405,0.019955159393172075,0.0037724869591849097,0.5,10.0,0.41176470588235287,False
dinov2_b14,random,3,700,7,0.12428571428571429,0.13904761904761903,0.1442857142857143,0.1992857142857143,0.004906061478449389,0.21340389629567694,0.005512291720935262,0.85,2.9585714285714286,0.825966386554622,False
dinov2_b14,random,5,700,7,0.24428571428571427,0.2523809523809523,0.2742857142857143,0.3383333333333333,0.003517559062278579,0.1456539377242425,0.004378154090472617,0.75,4.811428571428571,0.7169747899159664,False
dinov2_b14,random,10,700,7,0.5042857142857143,0.4966666666666667,0.5457142857142857,0.6104761904761904,0.0018027237110603046,0.0737126366167523,0.002593666928155072,0.5,9.285714285714286,0.453781512605042,False
dinov2_b14,rank_only,3,7,7,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.47619047619047616,0.0005360481117153545,0.05935853685949447,0.0021209580557686814,0.85,2.0,0.8823529411764708,False
dinov2_b14,rank_only,5,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.000221369908640634,0.023982655929856978,-6.547314780100002e-05,0.75,4.0,0.7647058823529411,False
dinov2_b14,rank_only,10,7,7,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.7857142857142857,0.00016610552125692228,0.017903575185891564,0.0012738125664847175,0.5,8.0,0.5294117647058824,False
