encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
vit_b16,dpp_subspace,3,7,7,0.7142857142857143,0.42857142857142855,1.0,0.6666666666666666,7.424655868896021e-05,0.00230057113394302,-0.0013482110840933553,0.85,3.0,0.8235294117647057,False
vit_b16,dpp_subspace,5,7,7,0.7142857142857143,0.4761904761904762,1.0,0.7619047619047619,7.424655868896021e-05,0.00230057113394302,-0.0013482110840933553,0.75,5.0,0.7058823529411765,False
vit_b16,dpp_subspace,10,7,7,1.0,0.8571428571428571,1.0,0.9047619047619048,0.0,0.0,0.0,0.5,9.0,0.4705882352941177,True
vit_b16,facility_subspace,3,7,7,0.0,0.047619047619047616,0.2857142857142857,0.3333333333333333,0.006754903693037225,0.23170944050215297,0.006357915912355698,0.85,3.0,0.8235294117647057,False
vit_b16,facility_subspace,5,7,7,0.0,0.09523809523809523,0.2857142857142857,0.38095238095238093,0.006501610746448798,0.2214319450287025,0.005354878732136327,0.75,5.0,0.7058823529411765,False
vit_b16,facility_subspace,10,7,7,0.0,0.19047619047619047,0.2857142857142857,0.4761904761904762,0.005498041270628307,0.18603889181304897,0.009270588840757108,0.5,10.0,0.41176470588235287,False
vit_b16,kcenter_subspace,3,7,7,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.0015450619732619378,0.049348491759165745,-0.0003967898232596277,0.85,3.0,0.8235294117647057,False
vit_b16,kcenter_subspace,5,7,7,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.001296374903926962,0.040031736094389855,0.0016121387481689406,0.75,5.0,0.7058823529411765,False
vit_b16,kcenter_subspace,10,7,7,0.7142857142857143,0.5238095238095238,0.7142857142857143,0.5714285714285714,7.424655868896021e-05,0.00230057113394302,-0.0013482110840933553,0.5,10.0,0.41176470588235287,False
vit_b16,pool_vendi_subspace,3,7,7,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.0015450619732619378,0.049348491759165745,-0.0003967898232596277,0.85,3.0,0.8235294117647057,False
vit_b16,pool_vendi_subspace,5,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.4761904761904762,7.424655868896021e-05,0.00230057113394302,-0.0013482110840933553,0.75,5.0,0.7058823529411765,False
vit_b16,pool_vendi_subspace,10,7,7,0.7142857142857143,0.5238095238095238,0.7142857142857143,0.5714285714285714,7.424655868896021e-05,0.00230057113394302,-0.0013482110840933553,0.5,10.0,0.41176470588235287,False
vit_b16,random,3,700,7,0.1457142857142857,0.14809523809523809,0.18,0.1938095238095238,0.005925545428547202,0.20454359480496695,0.006731123634747105,0.85,2.9571428571428573,0.8260504201680673,False
vit_b16,random,5,700,7,0.26857142857142857,0.2580952380952381,0.32571428571428573,0.32571428571428573,0.003913927144017439,0.13574391886090575,0.004345280723912381,0.75,4.8342857142857145,0.7156302521008403,False
vit_b16,random,10,700,7,0.5128571428571429,0.5157142857142857,0.5914285714285714,0.6014285714285714,0.0017262065636510526,0.05978920930101743,0.002404608343328757,0.5,9.274285714285714,0.45445378151260507,False
vit_b16,rank_only,3,7,7,0.7142857142857143,0.5238095238095237,0.7142857142857143,0.5238095238095237,0.0014708154145729774,0.04704792062522273,0.0009514212608337276,0.85,2.0,0.8823529411764708,False
vit_b16,rank_only,5,7,7,1.0,0.7142857142857143,1.0,0.7142857142857143,0.0,0.0,0.0,0.75,4.0,0.7647058823529411,True
vit_b16,rank_only,10,7,7,1.0,0.8571428571428571,1.0,0.8571428571428571,0.0,0.0,0.0,0.5,8.0,0.5294117647058824,True
