encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
vit_b16,dpp_subspace,3,7,7,0.7142857142857143,0.42857142857142855,1.0,0.6666666666666666,7.424655868896021e-05,0.00230057113394302,-0.0013482110840933553,0.85,3.0,0.8235294117647057,False
vit_b16,dpp_subspace,5,7,7,0.7142857142857143,0.5238095238095238,1.0,0.7619047619047619,7.424655868896021e-05,0.00230057113394302,-0.0013482110840933553,0.75,5.0,0.7058823529411765,False
vit_b16,dpp_subspace,10,7,7,1.0,0.9047619047619048,1.0,0.9047619047619048,0.0,0.0,0.0,0.5,9.0,0.4705882352941177,True
vit_b16,facility_subspace,3,7,7,0.0,0.09523809523809523,0.2857142857142857,0.3333333333333333,0.007416710157757586,0.24299303001039826,0.005608333008629951,0.85,3.0,0.8235294117647057,False
vit_b16,facility_subspace,5,7,7,0.0,0.14285714285714285,0.2857142857142857,0.38095238095238093,0.006897459242593543,0.22192414908788743,0.005152408565793735,0.75,5.0,0.7058823529411765,False
vit_b16,facility_subspace,10,7,7,0.0,0.23809523809523808,0.2857142857142857,0.4761904761904762,0.005120194821570041,0.15754556484802465,0.009068118674414514,0.5,10.0,0.41176470588235287,False
vit_b16,kcenter_subspace,3,7,7,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.0015450619732619378,0.049348491759165745,-0.0003967898232596277,0.85,3.0,0.8235294117647057,False
vit_b16,kcenter_subspace,5,7,7,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.001296374903926962,0.040031736094389855,0.0016121387481689406,0.75,5.0,0.7058823529411765,False
vit_b16,kcenter_subspace,10,7,7,0.7142857142857143,0.5238095238095238,0.7142857142857143,0.5714285714285714,7.424655868896021e-05,0.00230057113394302,-0.0013482110840933553,0.5,10.0,0.41176470588235287,False
vit_b16,pool_vendi_subspace,3,7,7,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.0015450619732619378,0.049348491759165745,-0.0003967898232596277,0.85,3.0,0.8235294117647057,False
vit_b16,pool_vendi_subspace,5,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.4761904761904762,7.424655868896021e-05,0.00230057113394302,-0.0013482110840933553,0.75,5.0,0.7058823529411765,False
vit_b16,pool_vendi_subspace,10,7,7,0.7142857142857143,0.5238095238095238,0.7142857142857143,0.5714285714285714,7.424655868896021e-05,0.00230057113394302,-0.0013482110840933553,0.5,10.0,0.41176470588235287,False
vit_b16,random,3,700,7,0.1457142857142857,0.14476190476190476,0.18,0.1938095238095238,0.005893192709558859,0.204377080362016,0.007092921214444305,0.85,2.9571428571428573,0.8260504201680673,False
vit_b16,random,5,700,7,0.26857142857142857,0.25857142857142856,0.32571428571428573,0.32571428571428573,0.0038630631198640552,0.13403520473396602,0.004551772568907064,0.75,4.8342857142857145,0.7156302521008403,False
vit_b16,random,10,700,7,0.5128571428571429,0.5123809523809524,0.5914285714285714,0.6014285714285714,0.0016978091059750167,0.05835030426965801,0.002459176880972734,0.5,9.274285714285714,0.45445378151260507,False
vit_b16,rank_only,3,7,7,0.7142857142857143,0.5238095238095237,0.7142857142857143,0.5238095238095237,0.0014708154145729774,0.04704792062522273,0.0009514212608337276,0.85,2.0,0.8823529411764708,False
vit_b16,rank_only,5,7,7,1.0,0.7142857142857143,1.0,0.7142857142857143,0.0,0.0,0.0,0.75,4.0,0.7647058823529411,True
vit_b16,rank_only,10,7,7,1.0,0.8571428571428571,1.0,0.8571428571428571,0.0,0.0,0.0,0.5,8.0,0.5294117647058824,True
