encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
resnet50,dpp_subspace,3,7,7,0.7142857142857143,0.380952380952381,0.7142857142857143,0.619047619047619,0.00295528838211147,0.09769772839990984,-0.005367725236075268,0.85,3.0,0.8125,False
resnet50,dpp_subspace,5,7,7,0.7142857142857143,0.380952380952381,0.7142857142857143,0.619047619047619,0.0024210708540671594,0.08122513219043749,-0.000903439521789554,0.75,5.0,0.6875,False
resnet50,dpp_subspace,10,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0023664588513665962,0.07767767905864972,-0.0027757951191493507,0.5,8.0,0.5,False
resnet50,facility_subspace,3,7,7,0.0,0.23809523809523808,0.0,0.26190476190476186,0.007754710205594302,0.2303232426684167,-0.0017250657081604131,0.85,3.0,0.8125,False
resnet50,facility_subspace,5,7,7,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.35714285714285715,0.003997675884830029,0.12285361688573335,-0.0001544151987348411,0.75,5.0,0.6875,False
resnet50,facility_subspace,10,7,7,0.2857142857142857,0.5238095238095238,0.2857142857142857,0.5952380952380951,0.0034910084476172387,0.08114115081810282,-0.0005353672163827142,0.5,10.0,0.375,False
resnet50,kcenter_subspace,3,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,0.00012761989729743423,0.010506577381127463,-1.0582378932414268e-05,0.85,3.0,0.8125,False
resnet50,kcenter_subspace,5,7,7,0.8571428571428571,0.42857142857142866,0.8571428571428571,0.45238095238095244,0.00012761989729743423,0.010506577381127463,-1.0582378932414268e-05,0.75,5.0,0.6875,False
resnet50,kcenter_subspace,10,7,7,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.5952380952380951,9.143004110880235e-05,0.007527171093316731,0.00034920488085064615,0.5,9.0,0.4375,False
resnet50,pool_vendi_subspace,3,7,7,0.8571428571428571,0.38095238095238093,0.8571428571428571,0.40476190476190477,0.00012761989729743423,0.010506577381127463,-1.0582378932414268e-05,0.85,3.0,0.8125,False
resnet50,pool_vendi_subspace,5,7,7,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.4523809523809524,0.00012761989729743423,0.010506577381127463,-1.0582378932414268e-05,0.75,5.0,0.6875,False
resnet50,pool_vendi_subspace,10,7,7,1.0,0.6666666666666666,1.0,0.6904761904761905,0.0,0.0,0.0,0.5,9.0,0.4375,True
resnet50,random,3,700,7,0.1442857142857143,0.1533333333333333,0.1442857142857143,0.19809523809523813,0.00928617609344779,0.24177559475555982,0.0033033946411950145,0.85,2.93,0.816875,False
resnet50,random,5,700,7,0.25142857142857145,0.2557142857142857,0.25142857142857145,0.319047619047619,0.006600218785348066,0.17132242750714055,0.0017613487669399745,0.75,4.761428571428572,0.7024107142857143,False
resnet50,random,10,700,7,0.4857142857142857,0.5071428571428571,0.4857142857142857,0.5904761904761905,0.0034136953762603714,0.09034301700054055,-0.00012125503165381793,0.5,8.90857142857143,0.4432142857142857,False
resnet50,rank_only,3,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.003296082771438621,0.1082061225860591,-0.0033587966646467,0.85,2.0,0.875,False
resnet50,rank_only,5,7,7,0.7142857142857143,0.619047619047619,0.7142857142857143,0.619047619047619,0.002586861510594301,0.08633728669100715,-0.0035820109503609887,0.75,4.0,0.75,False
resnet50,rank_only,10,7,7,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.002402648707555228,0.08065708534646045,-0.003135582378932411,0.5,7.0,0.5625,False
