encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
vit_b16,beans,rank_only,-1,3,20,0.85,0,0.0,0,0.0,fashion_mnist,fashion_mnist,1,fashion_mnist,fashion_mnist,tiny_imagenet,tiny_imagenet,tiny_imagenet|cifar100_coarse|cifar100,cifar100_shared_images|tiny_imagenet,16,2,0.875,0.8441005925106895,0.8381044648025668,0.005996127708122634,0.2336682551714552,0.81875,0.8453125,-0.026562500000000044,5,3,20
vit_b16,beans,facility_subspace,-1,3,20,0.85,0,0.0,0,0.0,fashion_mnist,fashion_mnist,1,fashion_mnist,fashion_mnist,organsmnist,organmnist_views,organsmnist|cifar100|mnist,cifar100_shared_images|handwritten_digits|organmnist_views,16,3,0.8125,0.8441005925106895,0.8381689387702081,0.005931653740481324,0.23115571370201363,0.81875,0.85,-0.03125,5,3,20
vit_b16,beans,kcenter_subspace,-1,3,20,0.85,0,0.0,0,0.0,fashion_mnist,fashion_mnist,1,fashion_mnist,fashion_mnist,tiny_imagenet,tiny_imagenet,tiny_imagenet|rendered_sst2|usps,handwritten_digits|rendered_sst2|tiny_imagenet,16,3,0.8125,0.8441005925106895,0.8381044648025668,0.005996127708122634,0.2336682551714552,0.81875,0.8453125,-0.026562500000000044,5,3,20
vit_b16,beans,dpp_subspace,-1,3,20,0.85,0,0.0,0,0.0,fashion_mnist,fashion_mnist,1,fashion_mnist,fashion_mnist,tiny_imagenet,tiny_imagenet,tiny_imagenet|cifar10|cifar100_coarse,cifar10|cifar100_shared_images|tiny_imagenet,16,3,0.8125,0.8441005925106895,0.8381044648025668,0.005996127708122634,0.2336682551714552,0.81875,0.8453125,-0.026562500000000044,5,3,20
vit_b16,beans,pool_vendi_subspace,-1,3,20,0.85,0,0.0,0,0.0,fashion_mnist,fashion_mnist,1,fashion_mnist,fashion_mnist,tiny_imagenet,tiny_imagenet,tiny_imagenet|rendered_sst2|usps,handwritten_digits|rendered_sst2|tiny_imagenet,16,3,0.8125,0.8441005925106895,0.8381044648025668,0.005996127708122634,0.2336682551714552,0.81875,0.8453125,-0.026562500000000044,5,3,20
vit_b16,beans,random,0,3,20,0.85,0,0.0,0,0.0,fashion_mnist,fashion_mnist,1,fashion_mnist,fashion_mnist,usps,handwritten_digits,pathmnist|rendered_sst2|usps,handwritten_digits|pathmnist|rendered_sst2,16,3,0.8125,0.8441005925106895,0.8372662924744099,0.006834300036279606,0.26633171315420007,0.81875,0.8296875,-0.010937500000000044,5,3,20
vit_b16,beans,random,1,3,20,0.85,0,0.0,0,0.0,fashion_mnist,fashion_mnist,1,fashion_mnist,fashion_mnist,retinamnist,retinamnist,pathmnist|rendered_sst2|retinamnist,pathmnist|rendered_sst2|retinamnist,16,3,0.8125,0.8441005925106895,0.8398452742879117,0.004255318222777804,0.1658291538668894,0.81875,0.83125,-0.012500000000000067,5,3,20
vit_b16,beans,random,2,3,20,0.85,0,0.0,0,0.0,fashion_mnist,fashion_mnist,1,fashion_mnist,fashion_mnist,organsmnist,organmnist_views,cifar10|organsmnist|tiny_imagenet,cifar10|organmnist_views|tiny_imagenet,16,3,0.8125,0.8441005925106895,0.8381689387702081,0.005931653740481324,0.23115571370201363,0.81875,0.85,-0.03125,5,3,20
vit_b16,beans,random,3,3,20,0.85,0,0.0,0,0.0,fashion_mnist,fashion_mnist,1,fashion_mnist,fashion_mnist,tiny_imagenet,tiny_imagenet,organamnist|tiny_imagenet|usps,handwritten_digits|organmnist_views|tiny_imagenet,16,3,0.8125,0.8441005925106895,0.8381044648025668,0.005996127708122634,0.2336682551714552,0.81875,0.8453125,-0.026562500000000044,5,3,20
vit_b16,beans,random,4,3,20,0.85,0,0.0,0,0.0,fashion_mnist,fashion_mnist,1,fashion_mnist,fashion_mnist,organsmnist,organmnist_views,organcmnist|organsmnist|tissuemnist,organmnist_views|tissuemnist,16,2,0.875,0.8441005925106895,0.8381689387702081,0.005931653740481324,0.23115571370201363,0.81875,0.85,-0.03125,5,3,20
vit_b16,beans,random,5,3,20,0.85,0,0.0,0,0.0,fashion_mnist,fashion_mnist,1,fashion_mnist,fashion_mnist,pneumoniamnist,pneumoniamnist,breastmnist|cifar100_coarse|pneumoniamnist,breastmnist|cifar100_shared_images|pneumoniamnist,16,3,0.8125,0.8441005925106895,0.8386202593990328,0.005480333111656632,0.2135678121438981,0.81875,0.834375,-0.015625,5,3,20
