encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
clip_b32,dpp_subspace,3,7,7,0.2857142857142857,0.4285714285714285,0.8571428571428571,0.6666666666666666,0.004023666274756794,0.12524206667950438,0.0053988678114755195,0.85,3.0,0.8125,False
clip_b32,dpp_subspace,5,7,7,0.42857142857142855,0.5714285714285714,1.0,0.8333333333333333,0.003296025694737002,0.09592855160240647,0.003613153525761224,0.75,5.0,0.6875,False
clip_b32,dpp_subspace,10,7,7,1.0,0.9523809523809524,1.0,1.0,0.0,0.0,0.0,0.5,9.0,0.4375,True
clip_b32,facility_subspace,3,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.4523809523809524,0.001534398726045359,0.08206797725308472,0.0014357992580958775,0.85,3.0,0.8125,False
clip_b32,facility_subspace,5,7,7,0.8571428571428571,0.5238095238095237,0.8571428571428571,0.738095238095238,0.0007276405800197917,0.029313515077097924,0.0017857142857142952,0.75,5.0,0.6875,False
clip_b32,facility_subspace,10,7,7,1.0,0.6666666666666666,1.0,0.9047619047619048,0.0,0.0,0.0,0.5,10.0,0.375,True
clip_b32,kcenter_subspace,3,7,7,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.38095238095238093,0.004364617938863986,0.1382290559053249,0.005118865626198931,0.85,3.0,0.8125,False
clip_b32,kcenter_subspace,5,7,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.5952380952380951,0.004364617938863986,0.1382290559053249,0.005118865626198931,0.75,5.0,0.6875,False
clip_b32,kcenter_subspace,10,7,7,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8809523809523808,0.0007276405800197917,0.029313515077097924,0.0017857142857142952,0.5,10.0,0.375,False
clip_b32,pool_vendi_subspace,3,7,7,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.38095238095238093,0.004364617938863986,0.1382290559053249,0.005118865626198931,0.85,3.0,0.8125,False
clip_b32,pool_vendi_subspace,5,7,7,0.2857142857142857,0.5238095238095238,0.2857142857142857,0.5952380952380951,0.0042432356342636856,0.13591051746144028,0.005056008270808654,0.75,5.0,0.6875,False
clip_b32,pool_vendi_subspace,10,7,7,0.2857142857142857,0.5238095238095238,0.2857142857142857,0.5952380952380951,0.0042432356342636856,0.13591051746144028,0.005056008270808654,0.5,10.0,0.375,False
clip_b32,random,3,700,7,0.17142857142857143,0.16238095238095238,0.24714285714285714,0.22547619047619044,0.007188080894635365,0.2759219438519278,0.007327353579657428,0.85,2.9242857142857144,0.8172321428571429,False
clip_b32,random,5,700,7,0.2642857142857143,0.25190476190476185,0.3757142857142857,0.34595238095238096,0.0051559446697495405,0.20064020884330117,0.005355154395103465,0.75,4.758571428571429,0.7025892857142857,False
clip_b32,random,10,700,7,0.4828571428571429,0.4938095238095238,0.62,0.6185714285714285,0.0028665975452691994,0.10785234438501937,0.003069729379245222,0.5,8.941428571428572,0.4411607142857143,False
clip_b32,rank_only,3,7,7,0.2857142857142857,0.4285714285714285,0.8571428571428571,0.6666666666666666,0.004023666274756794,0.12524206667950438,0.0053988678114755195,0.85,3.0,0.8125,False
clip_b32,rank_only,5,7,7,1.0,0.7619047619047619,1.0,0.7857142857142857,0.0,0.0,0.0,0.75,4.0,0.75,True
clip_b32,rank_only,10,7,7,1.0,0.8095238095238094,1.0,0.8333333333333333,0.0,0.0,0.0,0.5,8.0,0.5,True
