encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
dinov2_b14,dpp_subspace,3,7,7,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.0008191540563820464,0.05768420589133062,0.0011189120156424196,0.85,3.0,0.8125,False
dinov2_b14,dpp_subspace,5,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.6904761904761905,0.000221369908640634,0.023982655929856978,-6.547314780100002e-05,0.75,4.0,0.75,False
dinov2_b14,dpp_subspace,10,7,7,0.7142857142857143,0.619047619047619,0.7142857142857143,0.7380952380952381,0.000221369908640634,0.023982655929856978,-6.547314780100002e-05,0.5,8.0,0.5,False
dinov2_b14,facility_subspace,3,7,7,0.2857142857142857,0.5238095238095238,0.42857142857142855,0.5714285714285714,0.00040805760478030654,0.027993267085634873,0.0021154267447335124,0.85,3.0,0.8125,False
dinov2_b14,facility_subspace,5,7,7,0.42857142857142855,0.6190476190476192,0.5714285714285714,0.6666666666666666,0.0004004592046643607,0.02762414576540695,0.003969527993883377,0.75,5.0,0.6875,False
dinov2_b14,facility_subspace,10,7,7,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.7619047619047619,0.0003471256818450127,0.02561307830558729,0.00535238810947961,0.5,10.0,0.375,False
dinov2_b14,kcenter_subspace,3,7,7,0.0,0.047619047619047616,0.2857142857142857,0.33333333333333337,0.0030963222002723073,0.20502229353289286,0.004412962709154399,0.85,3.0,0.8125,False
dinov2_b14,kcenter_subspace,5,7,7,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.0009248504001649101,0.06488580259672773,0.001966844286237438,0.75,5.0,0.6875,False
dinov2_b14,kcenter_subspace,10,7,7,0.2857142857142857,0.4285714285714285,0.7142857142857143,0.738095238095238,0.0007927454002626558,0.051899818330032335,0.004222132478441498,0.5,10.0,0.375,False
dinov2_b14,pool_vendi_subspace,3,7,7,0.0,0.047619047619047616,0.2857142857142857,0.33333333333333337,0.0030963222002723073,0.20502229353289286,0.004412962709154399,0.85,3.0,0.8125,False
dinov2_b14,pool_vendi_subspace,5,7,7,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.0009248504001649101,0.06488580259672773,0.001966844286237438,0.75,5.0,0.6875,False
dinov2_b14,pool_vendi_subspace,10,7,7,0.2857142857142857,0.4285714285714285,0.7142857142857143,0.738095238095238,0.0007927454002626558,0.051899818330032335,0.004222132478441498,0.5,10.0,0.375,False
dinov2_b14,random,3,700,7,0.1442857142857143,0.15428571428571428,0.20857142857142857,0.245,0.0024021966758409246,0.13924475851718449,0.003442347254071901,0.85,2.932857142857143,0.8166964285714285,False
dinov2_b14,random,5,700,7,0.24571428571428572,0.2542857142857143,0.3385714285714286,0.3826190476190476,0.001507783571072404,0.08845802127716518,0.0024906416790825827,0.75,4.712857142857143,0.7054464285714286,False
dinov2_b14,random,10,700,7,0.5128571428571429,0.508095238095238,0.6142857142857143,0.675,0.0005497224688539769,0.03358367213833874,0.0016522216456276917,0.5,8.891428571428571,0.4442857142857143,False
dinov2_b14,rank_only,3,7,7,0.42857142857142855,0.38095238095238093,0.42857142857142855,0.38095238095238093,0.0005581766857318973,0.04554403104447642,-8.832897458759576e-05,0.85,2.0,0.875,False
dinov2_b14,rank_only,5,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.6904761904761905,0.000221369908640634,0.023982655929856978,-6.547314780100002e-05,0.75,4.0,0.75,False
dinov2_b14,rank_only,10,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7380952380952381,0.00016610552125692228,0.017903575185891564,0.0012738125664847175,0.5,7.0,0.5625,False
