encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
resnet50,dpp_subspace,3,7,7,0.14285714285714285,0.23809523809523808,0.5714285714285714,0.4523809523809524,0.0059887777487650186,0.1950316996598062,-0.0008926970618111651,0.85,3.0,0.8125,False
resnet50,dpp_subspace,5,7,7,0.14285714285714285,0.33333333333333337,0.5714285714285714,0.619047619047619,0.005804564945725946,0.1891888756015443,-0.0004462684903825874,0.75,5.0,0.6875,False
resnet50,dpp_subspace,10,7,7,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.002674581940384914,0.09015267377014789,-0.003507219042096816,0.5,8.0,0.5,False
resnet50,facility_subspace,3,7,7,0.42857142857142855,0.23809523809523808,0.42857142857142855,0.3095238095238095,0.0045718248469953805,0.16236759760671257,-0.0019211224147251643,0.85,3.0,0.8125,False
resnet50,facility_subspace,5,7,7,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.3571428571428571,0.0014033619728541938,0.061870939375986075,0.0014270918709891214,0.75,5.0,0.6875,False
resnet50,facility_subspace,10,7,7,0.8571428571428571,0.619047619047619,1.0,0.761904761904762,0.00030812308901831794,0.010499515425133362,-0.0007314239229474653,0.5,10.0,0.375,False
resnet50,kcenter_subspace,3,7,7,0.14285714285714285,0.09523809523809523,0.7142857142857143,0.35714285714285715,0.005715474117740086,0.18425815634547377,0.009275172437940333,0.85,3.0,0.8125,False
resnet50,kcenter_subspace,5,7,7,0.2857142857142857,0.19047619047619047,0.8571428571428571,0.45238095238095244,0.003671440158828191,0.12059453033125551,0.002706289291381852,0.75,5.0,0.6875,False
resnet50,kcenter_subspace,10,7,7,0.2857142857142857,0.42857142857142866,0.8571428571428571,0.7142857142857143,0.0029508199437224664,0.07917170664881222,0.002401988846915115,0.5,10.0,0.375,False
resnet50,pool_vendi_subspace,3,7,7,0.14285714285714285,0.09523809523809523,0.5714285714285714,0.3095238095238095,0.00884066463231665,0.3007837461266916,0.00875027435166493,0.85,3.0,0.8125,False
resnet50,pool_vendi_subspace,5,7,7,0.2857142857142857,0.19047619047619047,0.8571428571428571,0.45238095238095244,0.003671440158828191,0.12059453033125551,0.002706289291381852,0.75,5.0,0.6875,False
resnet50,pool_vendi_subspace,10,7,7,0.42857142857142855,0.4761904761904762,0.8571428571428571,0.7142857142857143,0.0021198201606152456,0.05085479255835912,0.004310553414481023,0.5,9.0,0.4375,False
resnet50,random,3,700,7,0.14,0.1495238095238095,0.21857142857142858,0.20357142857142857,0.007347181975765554,0.213410989891593,0.004044300436973575,0.85,2.93,0.816875,False
resnet50,random,5,700,7,0.24857142857142858,0.24333333333333332,0.37142857142857144,0.32190476190476186,0.005235084863648966,0.14978045482377175,0.003094065257481173,0.75,4.761428571428572,0.7024107142857143,False
resnet50,random,10,700,7,0.5014285714285714,0.509047619047619,0.6514285714285715,0.6090476190476191,0.0027732641835687554,0.07700111121517492,0.0011781292217118461,0.5,8.90857142857143,0.4432142857142857,False
resnet50,rank_only,3,7,7,0.5714285714285714,0.380952380952381,0.5714285714285714,0.35714285714285715,0.0036424590110451438,0.14171700910591517,-0.005707614762442447,0.85,2.0,0.875,False
resnet50,rank_only,5,7,7,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.49999999999999994,0.0032740321395279747,0.1300313208524549,-0.003921900476728167,0.75,4.0,0.75,False
resnet50,rank_only,10,7,7,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.002674581940384914,0.09015267377014789,-0.003507219042096816,0.5,7.0,0.5625,False
