encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
dinov2_b14,beans,rank_only,-1,3,20,0.85,0,0.0,0,0.0,mnist,mnist,1,handwritten_digits,handwritten_digits,cifar100,cifar100_shared_images,tiny_imagenet|cifar100_coarse|cifar100,cifar100_shared_images|tiny_imagenet,17,2,0.8823529411764706,0.9166989095513858,0.9147646853225911,0.0019342242287946343,0.23809402579506606,0.909375,0.921875,-0.012499999999999956,5,3,20
dinov2_b14,beans,facility_subspace,-1,3,20,0.85,0,0.6666666666666666,0,0.6666666666666666,mnist,mnist,1,handwritten_digits,handwritten_digits,organcmnist,organmnist_views,organcmnist|cifar100|cifar10,cifar10|cifar100_shared_images|organmnist_views,17,3,0.8235294117647058,0.9166989095513858,0.9165699721612445,0.0001289373901413038,0.015871594325639875,0.909375,0.928125,-0.018749999999999933,5,3,20
dinov2_b14,beans,kcenter_subspace,-1,3,20,0.85,0,0.0,0,0.0,mnist,mnist,1,handwritten_digits,handwritten_digits,tiny_imagenet,tiny_imagenet,tiny_imagenet|rendered_sst2|bloodmnist,bloodmnist|rendered_sst2|tiny_imagenet,17,3,0.8235294117647058,0.9166989095513858,0.9131528213706652,0.0035460881807205524,0.4365069975874558,0.909375,0.9234375,-0.014062499999999978,5,3,20
dinov2_b14,beans,dpp_subspace,-1,3,20,0.85,0,0.3333333333333333,0,0.3333333333333333,mnist,mnist,1,handwritten_digits,handwritten_digits,cifar10,cifar10,tiny_imagenet|cifar100_coarse|cifar10,cifar10|cifar100_shared_images|tiny_imagenet,17,3,0.8235294117647058,0.9166989095513858,0.9161831214495585,0.0005157881018272858,0.0634911215530497,0.909375,0.9375,-0.028124999999999956,5,3,20
dinov2_b14,beans,pool_vendi_subspace,-1,3,20,0.85,0,0.0,0,0.0,mnist,mnist,1,handwritten_digits,handwritten_digits,tiny_imagenet,tiny_imagenet,tiny_imagenet|rendered_sst2|bloodmnist,bloodmnist|rendered_sst2|tiny_imagenet,17,3,0.8235294117647058,0.9166989095513858,0.9131528213706652,0.0035460881807205524,0.4365069975874558,0.909375,0.9234375,-0.014062499999999978,5,3,20
dinov2_b14,beans,random,0,3,20,0.85,1,0.3333333333333333,1,0.3333333333333333,mnist,mnist,1,handwritten_digits,handwritten_digits,mnist,handwritten_digits,dermamnist|mnist|stl10,dermamnist|handwritten_digits|stl10,17,3,0.8235294117647058,0.9166989095513858,0.9166989095513858,0.0,0.0,0.909375,0.909375,0.0,5,3,20
dinov2_b14,beans,random,1,3,20,0.85,0,0.3333333333333333,0,0.3333333333333333,mnist,mnist,1,handwritten_digits,handwritten_digits,cifar10,cifar10,bloodmnist|cifar10|cifar100,bloodmnist|cifar10|cifar100_shared_images,17,3,0.8235294117647058,0.9166989095513858,0.9161831214495585,0.0005157881018272858,0.0634911215530497,0.909375,0.9375,-0.028124999999999956,5,3,20
dinov2_b14,beans,random,2,3,20,0.85,0,0.0,0,0.0,mnist,mnist,1,handwritten_digits,handwritten_digits,pathmnist,pathmnist,pathmnist|pneumoniamnist|svhn,pathmnist|pneumoniamnist|svhn,17,3,0.8235294117647058,0.9166989095513858,0.9130238697461202,0.003675039805265623,0.4523803441021373,0.909375,0.9171875,-0.0078125,5,3,20
dinov2_b14,beans,random,3,3,20,0.85,0,0.0,0,0.3333333333333333,mnist,mnist,1,handwritten_digits,handwritten_digits,organamnist,organmnist_views,fashion_mnist|organamnist|pneumoniamnist,fashion_mnist|organmnist_views|pneumoniamnist,17,3,0.8235294117647058,0.9166989095513858,0.9145067839680913,0.002192125583294513,0.26984048560916046,0.909375,0.928125,-0.018749999999999933,5,3,20
dinov2_b14,beans,random,4,3,20,0.85,0,0.0,0,0.0,mnist,mnist,1,handwritten_digits,handwritten_digits,octmnist,octmnist,bloodmnist|octmnist|pneumoniamnist,bloodmnist|octmnist|pneumoniamnist,17,3,0.8235294117647058,0.9166989095513858,0.9122501768849112,0.0044487326664746085,0.5476183445944314,0.909375,0.9296875,-0.020312499999999956,5,3,20
dinov2_b14,beans,random,5,3,20,0.85,0,0.0,0,0.0,mnist,mnist,1,handwritten_digits,handwritten_digits,cifar100,cifar100_shared_images,cifar100|dermamnist|rendered_sst2,cifar100_shared_images|dermamnist|rendered_sst2,17,3,0.8235294117647058,0.9166989095513858,0.9147646853225911,0.0019342242287946343,0.23809402579506606,0.909375,0.921875,-0.012499999999999956,5,3,20
dinov2_b14,beans,random,6,3,20,0.85,0,0.3333333333333333,0,0.3333333333333333,mnist,mnist,1,handwritten_digits,handwritten_digits,organcmnist,organmnist_views,organcmnist|pathmnist|retinamnist,organmnist_views|pathmnist|retinamnist,17,3,0.8235294117647058,0.9166989095513858,0.9165699721612445,0.0001289373901413038,0.015871594325639875,0.909375,0.928125,-0.018749999999999933,5,3,20
dinov2_b14,beans,random,7,3,20,0.85,1,0.3333333333333333,1,0.6666666666666666,mnist,mnist,1,handwritten_digits,handwritten_digits,mnist,handwritten_digits,cifar100_coarse|mnist|organamnist,cifar100_shared_images|handwritten_digits|organmnist_views,17,3,0.8235294117647058,0.9166989095513858,0.9166989095513858,0.0,0.0,0.909375,0.909375,0.0,5,3,20
dinov2_b14,beans,random,8,3,20,0.85,0,0.3333333333333333,0,0.6666666666666666,mnist,mnist,1,handwritten_digits,handwritten_digits,cifar10,cifar10,cifar10|cifar100|organsmnist,cifar10|cifar100_shared_images|organmnist_views,17,3,0.8235294117647058,0.9166989095513858,0.9161831214495585,0.0005157881018272858,0.0634911215530497,0.909375,0.9375,-0.028124999999999956,5,3,20
dinov2_b14,beans,random,9,3,20,0.85,0,0.0,0,0.0,mnist,mnist,1,handwritten_digits,handwritten_digits,stl10,stl10,bloodmnist|octmnist|stl10,bloodmnist|octmnist|stl10,17,3,0.8235294117647058,0.9166989095513858,0.9160541718348929,0.0006447377164928714,0.07936422066089442,0.909375,0.928125,-0.018749999999999933,5,3,20
dinov2_b14,beans,random,10,3,20,0.85,0,0.3333333333333333,0,0.3333333333333333,mnist,mnist,1,handwritten_digits,handwritten_digits,cifar10,cifar10,cifar10|fashion_mnist|svhn,cifar10|fashion_mnist|svhn,17,3,0.8235294117647058,0.9166989095513858,0.9161831214495585,0.0005157881018272858,0.0634911215530497,0.909375,0.9375,-0.028124999999999956,5,3,20
dinov2_b14,beans,random,11,3,20,0.85,0,0.3333333333333333,0,0.6666666666666666,mnist,mnist,1,handwritten_digits,handwritten_digits,cifar10,cifar10,cifar10|organamnist|retinamnist,cifar10|organmnist_views|retinamnist,17,3,0.8235294117647058,0.9166989095513858,0.9161831214495585,0.0005157881018272858,0.0634911215530497,0.909375,0.9375,-0.028124999999999956,5,3,20
dinov2_b14,beans,random,12,3,20,0.85,0,0.0,0,0.0,mnist,mnist,1,handwritten_digits,handwritten_digits,pathmnist,pathmnist,bloodmnist|pathmnist|retinamnist,bloodmnist|pathmnist|retinamnist,17,3,0.8235294117647058,0.9166989095513858,0.9130238697461202,0.003675039805265623,0.4523803441021373,0.909375,0.9171875,-0.0078125,5,3,20
