encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
resnet50,dpp_subspace,3,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.6666666666666666,0.00295528838211147,0.09765178938978905,-0.005367725236075268,0.85,3.0,0.8235294117647057,False
resnet50,dpp_subspace,5,7,7,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.6666666666666666,0.0024210708540671594,0.08117919318031673,-0.000903439521789554,0.75,5.0,0.7058823529411765,False
resnet50,dpp_subspace,10,7,7,0.7142857142857143,0.761904761904762,0.7142857142857143,0.761904761904762,0.0023664588513665962,0.07764476721909504,-0.0027757951191493507,0.5,8.0,0.5294117647058824,False
resnet50,facility_subspace,3,7,7,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.3095238095238095,0.004586247331453115,0.13244062811016544,0.0016231485775538726,0.85,3.0,0.8235294117647057,False
resnet50,facility_subspace,5,7,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.4523809523809524,0.004077675379042046,0.09075443816276167,0.0011046324457441026,0.75,5.0,0.7058823529411765,False
resnet50,facility_subspace,10,7,7,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.5952380952380951,0.0034910084476172387,0.08114115081810282,-0.0005353672163827142,0.5,10.0,0.41176470588235287,False
resnet50,kcenter_subspace,3,7,7,0.8571428571428571,0.3333333333333333,0.8571428571428571,0.35714285714285715,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.85,3.0,0.8235294117647057,False
resnet50,kcenter_subspace,5,7,7,0.8571428571428571,0.3333333333333333,0.8571428571428571,0.35714285714285715,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.75,5.0,0.7058823529411765,False
resnet50,kcenter_subspace,10,7,7,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.5952380952380951,9.143004110880235e-05,0.007494259253762033,0.00034920488085064615,0.5,10.0,0.41176470588235287,False
resnet50,pool_vendi_subspace,3,7,7,0.8571428571428571,0.3333333333333333,0.8571428571428571,0.35714285714285715,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.85,3.0,0.8235294117647057,False
resnet50,pool_vendi_subspace,5,7,7,0.8571428571428571,0.3333333333333333,0.8571428571428571,0.35714285714285715,0.00012761989729743423,0.010460638371006687,-1.0582378932414268e-05,0.75,5.0,0.7058823529411765,False
resnet50,pool_vendi_subspace,10,7,7,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.5952380952380951,9.143004110880235e-05,0.007494259253762033,0.00034920488085064615,0.5,10.0,0.41176470588235287,False
resnet50,random,3,700,7,0.15428571428571428,0.1580952380952381,0.15428571428571428,0.1983333333333333,0.009346501784533053,0.24478536148161145,0.003250883127961829,0.85,2.9457142857142857,0.8267226890756303,False
resnet50,random,5,700,7,0.2542857142857143,0.24904761904761907,0.2542857142857143,0.30404761904761907,0.006765579218404496,0.17636128224818298,0.0023581782409122947,0.75,4.8185714285714285,0.7165546218487395,False
resnet50,random,10,700,7,0.5014285714285714,0.5042857142857143,0.5014285714285714,0.5716666666666667,0.003539596949491746,0.09140768127870617,-0.00010297754832676816,0.5,9.151428571428571,0.4616806722689076,False
resnet50,rank_only,3,7,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.003296082771438621,0.10816018357593833,-0.0033587966646467,0.85,2.0,0.8823529411764708,False
resnet50,rank_only,5,7,7,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.002586861510594301,0.08629134768088638,-0.0035820109503609887,0.75,4.0,0.7647058823529411,False
resnet50,rank_only,10,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.002402648707555228,0.08061114633633969,-0.003135582378932411,0.5,7.0,0.5882352941176471,False
