excluded_encoder,scope,method,shortlist_size,rows,encoder_target_exclusion_units,encoders,targets,excluded_sources,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
clip_b32,all_source_lodo,dpp_subspace,10,441,441,3,7,21,0.8095238095238095,0.761148904006047,0.0008350871259800508,0.033196027693492065,-0.0009263442487132838,0.5,0.8095238095238095,0.8061224489795918,8.492063492063492,0.48004201680672265,False
clip_b32,all_source_lodo,facility_subspace,10,441,441,3,7,21,0.2925170068027211,0.5049130763416477,0.002818614698635632,0.09061382200976617,0.0029513679394105644,0.5,0.35147392290249435,0.5786092214663643,10.0,0.3872549019607843,False
clip_b32,all_source_lodo,kcenter_subspace,10,441,441,3,7,21,0.7573696145124716,0.5389266817838246,0.00020341248536532308,0.012425489410225758,0.0008715718511551124,0.5,0.8253968253968254,0.5963718820861678,9.73015873015873,0.403828197945845,False
clip_b32,all_source_lodo,pool_vendi_subspace,10,441,441,3,7,21,0.7755102040816326,0.5555555555555556,0.00018124229026695478,0.011213199990997237,0.0008701205794232755,0.5,0.8412698412698413,0.5978835978835978,9.698412698412698,0.405812324929972,False
clip_b32,all_source_lodo,rank_only,10,441,441,3,7,21,0.8072562358276644,0.7739984882842025,0.0008238721073780213,0.031766590530271685,-0.0006008002763432471,0.5,0.8072562358276644,0.7819349962207105,7.238095238095238,0.5570728291316527,False
dinov2_b14,all_source_lodo,dpp_subspace,10,441,441,3,7,21,0.9047619047619048,0.8382464096749811,0.0007619852935153108,0.025170148046573207,-0.0008808101926531129,0.5,0.9047619047619048,0.8609221466364324,8.793650793650794,0.461484593837535,True
dinov2_b14,all_source_lodo,facility_subspace,10,441,441,3,7,21,0.3492063492063492,0.5049130763416477,0.002602050117346992,0.08222918470668641,0.0022178538532213847,0.5,0.3673469387755102,0.6043083900226758,10.0,0.3872549019607843,False
dinov2_b14,all_source_lodo,kcenter_subspace,10,441,441,3,7,21,0.5850340136054422,0.5351473922902494,0.0010798906936922731,0.042635586372445085,0.0016299855952360215,0.5,0.6099773242630385,0.6152683295540438,9.73015873015873,0.403828197945845,False
dinov2_b14,all_source_lodo,pool_vendi_subspace,10,441,441,3,7,21,0.7687074829931972,0.5933484504913076,0.000564435817022564,0.018909667345276465,0.00027413349302988816,0.5,0.7868480725623582,0.6345427059712774,9.698412698412698,0.405812324929972,False
dinov2_b14,all_source_lodo,rank_only,10,441,441,3,7,21,0.9024943310657596,0.8170823885109599,0.0007677297151325538,0.025643815500263074,-0.0009379192815075669,0.5,0.9024943310657596,0.81859410430839,7.555555555555555,0.5375816993464052,True
resnet50,all_source_lodo,dpp_subspace,10,441,441,3,7,21,0.9047619047619048,0.8367346938775511,7.310183246474008e-05,0.008025879646918862,-4.553405606017088e-05,0.5,0.9047619047619048,0.881708238851096,8.793650793650794,0.461484593837535,True
resnet50,all_source_lodo,facility_subspace,10,441,441,3,7,21,0.2925170068027211,0.5207860922146637,0.0023847306637495088,0.09162229160969289,0.004503874821998093,0.5,0.35147392290249435,0.608843537414966,10.0,0.3872549019607843,False
resnet50,all_source_lodo,kcenter_subspace,10,441,441,3,7,21,0.5396825396825397,0.5230536659108087,0.0010803934579984827,0.04607154654927639,0.002639644783910982,0.5,0.6031746031746031,0.6073318216175358,10.0,0.3872549019607843,False
resnet50,all_source_lodo,pool_vendi_subspace,10,441,441,3,7,21,0.7188208616780045,0.5759637188208617,0.0005807594956761968,0.022984984545579443,0.001266095535555129,0.5,0.7777777777777778,0.6182917611489039,10.0,0.3872549019607843,False
resnet50,all_source_lodo,rank_only,10,441,441,3,7,21,0.9047619047619048,0.8397581254724111,5.6142392245467415e-05,0.006122775030008608,0.0003371190051643198,0.5,0.9047619047619048,0.8484504913076342,7.555555555555555,0.5375816993464052,True
vit_b16,all_source_lodo,dpp_subspace,10,441,441,3,7,21,0.8095238095238095,0.7951625094482238,0.0008350871259800508,0.033196027693492065,-0.0009263442487132838,0.5,0.8095238095238095,0.8219954648526077,8.492063492063492,0.48004201680672265,False
vit_b16,all_source_lodo,facility_subspace,10,441,441,3,7,21,0.23582766439909297,0.5351473922902494,0.002855734055440916,0.09521583476171204,0.003482922080422736,0.5,0.2834467120181406,0.6175359032501889,10.0,0.3872549019607843,False
vit_b16,all_source_lodo,kcenter_subspace,10,441,441,3,7,21,0.5873015873015873,0.5411942554799698,0.0010920137675380411,0.04692044711599249,0.003174802208163026,0.5,0.6485260770975056,0.6130007558578987,9.73015873015873,0.403828197945845,False
vit_b16,all_source_lodo,pool_vendi_subspace,10,441,441,3,7,21,0.7777777777777778,0.5971277399848828,0.0005733842504928594,0.02290806189094545,0.0018093758970161144,0.5,0.8321995464852607,0.6300075585789872,9.698412698412698,0.405812324929972,False
vit_b16,all_source_lodo,rank_only,10,441,441,3,7,21,0.8072562358276644,0.7868480725623582,0.0008238721073780213,0.031766590530271685,-0.0006008002763432471,0.5,0.8072562358276644,0.7947845804988662,7.555555555555555,0.5375816993464052,False
