scope,method,shortlist_size,rows,encoder_target_exclusion_units,encoders,targets,excluded_sources,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
exclude_bloodmnist,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.8214285714285714,0.0006560046540489654,0.026148450566549162,-0.0008002638816833528,0.5,0.8571428571428571,0.8511904761904762,8.5,0.46875,False
exclude_bloodmnist,facility_subspace,10,28,28,4,7,1,0.25,0.5,0.0025616684871418815,0.09072897984243443,0.0027197680303028588,0.5,0.2857142857142857,0.5714285714285714,10.0,0.375,False
exclude_bloodmnist,kcenter_subspace,10,28,28,4,7,1,0.6785714285714286,0.5357142857142857,0.0006731675806483413,0.03171585595208644,0.0019611073391778123,0.5,0.7142857142857143,0.6011904761904762,9.75,0.390625,False
exclude_bloodmnist,pool_vendi_subspace,10,28,28,4,7,1,0.8214285714285714,0.5714285714285714,0.00037973668798179413,0.015928470616636554,0.0009750889880316634,0.5,0.8571428571428571,0.6011904761904762,9.75,0.390625,False
exclude_bloodmnist,random,10,2800,28,4,7,1,0.49785714285714283,0.4982142857142857,0.0024407081200879042,0.08254527510793994,0.0021012645385095046,0.5,0.5367857142857143,0.6039880952380952,8.915,0.4428125,False
exclude_bloodmnist,rank_only,10,28,28,4,7,1,0.8571428571428571,0.8214285714285714,0.0006421885572030375,0.02462868038055781,-0.0004654424531119234,0.5,0.8571428571428571,0.8273809523809524,7.25,0.546875,False
exclude_breastmnist,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.8214285714285714,0.0006469571900018076,0.025406855787238,-0.0007103170667375877,0.5,0.8571428571428571,0.8511904761904762,8.5,0.46875,False
exclude_breastmnist,facility_subspace,10,28,28,4,7,1,0.2857142857142857,0.5476190476190476,0.0024530969679997772,0.08353205566231693,0.002946436405181881,0.5,0.32142857142857145,0.6309523809523808,10.0,0.375,False
exclude_breastmnist,kcenter_subspace,10,28,28,4,7,1,0.5714285714285714,0.4880952380952381,0.0015366983765810233,0.05758052063572931,0.0030019615377698677,0.5,0.6428571428571429,0.6011904761904762,10.0,0.375,False
exclude_breastmnist,pool_vendi_subspace,10,28,28,4,7,1,0.75,0.5714285714285714,0.0004192610602302257,0.017530278553123838,0.0011126548051834126,0.5,0.7857142857142857,0.6011904761904762,9.75,0.390625,False
exclude_breastmnist,random,10,2800,28,4,7,1,0.49785714285714283,0.49714285714285716,0.002445375382554184,0.08229462514016317,0.002112075267093521,0.5,0.5367857142857143,0.6080357142857142,8.915,0.4428125,False
exclude_breastmnist,rank_only,10,28,28,4,7,1,0.8571428571428571,0.8214285714285714,0.0006421885572030375,0.02462868038055781,-0.0004654424531119234,0.5,0.8571428571428571,0.8273809523809524,7.25,0.546875,False
exclude_cifar10,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.0006515625333827213,0.02591344340345236,-0.0003754956381661583,0.5,0.8571428571428571,0.8511904761904762,8.5,0.46875,False
exclude_cifar10,facility_subspace,10,28,28,4,7,1,0.32142857142857145,0.5833333333333333,0.0024051366210909803,0.08064616774294785,0.0021329100642885463,0.5,0.35714285714285715,0.6547619047619048,10.0,0.375,False
exclude_cifar10,kcenter_subspace,10,28,28,4,7,1,0.6428571428571429,0.5714285714285714,0.0005307818078918249,0.02598928511929924,0.0016522445849009879,0.5,0.6785714285714286,0.625,9.75,0.390625,False
exclude_cifar10,pool_vendi_subspace,10,28,28,4,7,1,0.7857142857142857,0.5952380952380951,0.00023735091522527778,0.010201899783849357,0.0006662262337548389,0.5,0.8214285714285714,0.625,9.75,0.390625,False
exclude_cifar10,random,10,2800,28,4,7,1,0.49214285714285716,0.4992857142857143,0.0023684909789762907,0.0790039076175061,0.0019380478901522477,0.5,0.5310714285714285,0.6092261904761904,8.915,0.4428125,False
exclude_cifar10,rank_only,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.0006331410931558796,0.023887085601246645,-0.0003754956381661583,0.5,0.8571428571428571,0.8154761904761905,7.25,0.546875,False
exclude_cifar100,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.7619047619047619,0.0006612428913164238,0.026426291430370424,-0.0007552913257053944,0.5,0.8571428571428571,0.8333333333333333,9.5,0.4411764705882352,False
exclude_cifar100,facility_subspace,10,28,28,4,7,1,0.25,0.4404761904761904,0.004020270189600407,0.12456139576051928,0.005776526885373249,0.5,0.2857142857142857,0.5476190476190476,10.0,0.4117647058823529,False
exclude_cifar100,kcenter_subspace,10,28,28,4,7,1,0.6428571428571429,0.619047619047619,0.0013734121464710322,0.053078425838434376,0.003366158264023918,0.5,0.6785714285714286,0.6785714285714286,9.75,0.4264705882352941,False
exclude_cifar100,pool_vendi_subspace,10,28,28,4,7,1,0.8571428571428571,0.7023809523809524,0.00025597483012023455,0.014190733431008006,0.0014768515314374628,0.5,0.8928571428571429,0.7261904761904762,9.75,0.4264705882352941,False
