encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_partition_accuracies,validation_accuracy_std_across_partitions,validation_examples,unique_validation_examples,target_validation_protocol,target_cv_folds,target_cv_partitions,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
clip_b32,bloodmnist,medical,0,beans,0.870406201814237,0.02569489018201655,0.8750001192|0.8792270422|0.8937197924|0.9077669382|0.8932038546|0.8894231319|0.8212560415|0.8599033952|0.8446601629|0.8980582952|0.8990385532|0.8502415419|0.8599033952|0.8495145440|0.8349514604,0.8897485521|0.8626692623|0.8588007910,0.013767985887984578,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8828125,500,600,256,128,0.01,2.0294972117990255,0.22941096872091293,npu:5
clip_b32,bloodmnist,medical,0,dtd,0.6581560611724854,0.014514112065774375,0.6742021441|0.6595745087|0.6635638475|0.6329787970|0.6688829660|0.6702128053|0.6768617630|0.6515958309|0.6316489577|0.6382979155|0.6702127457|0.6436170340|0.6688830256|0.6609042883|0.6609042883,0.6598404527|0.6537234545|0.6609042764,0.0031642726193561294,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6797872185707092,500,600,256,128,0.01,2.0294972117990255,0.1469455622136593,npu:5
clip_b32,bloodmnist,medical,0,eurosat,0.9015999886751175,0.008925900293219354,0.8866798878|0.9071856737|0.9199199677|0.9037110806|0.8875501752|0.9105367064|0.8992016315|0.9039039016|0.8956871033|0.9036144018|0.8956261873|0.8962075710|0.8998999000|0.8986960649|0.9156626463,0.9009999963|0.9025999891|0.9011999806,0.0007118047579504369,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9103703498840332,500,600,256,128,0.01,2.0294972117990255,0.11244271695613861,npu:5
clip_b32,bloodmnist,medical,0,flowers102,0.8277778466542562,0.026721556830105183,0.8186275363|0.8480392694|0.8039216399|0.8186275363|0.8284314275|0.8186274767|0.8529412746|0.8039216399|0.8676471114|0.7843137980|0.8774510622|0.8578432202|0.8333333731|0.7990196943|0.8039216399,0.8235294819|0.8254902601|0.8343137980,0.004690426941166182,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8359999656677246,500,600,256,128,0.01,2.0294972117990255,0.10310674645006657,npu:5
clip_b32,bloodmnist,medical,0,food101,0.6869333595434824,0.011568103245869887,0.6871287227|0.6811881661|0.6970297098|0.7019802332|0.6812500954|0.6841584444|0.6930693388|0.6900990605|0.6762375832|0.6854166985|0.6693069339|0.6782178283|0.6742574573|0.7168316841|0.6875000596,0.6898000383|0.6858000203|0.6852000200,0.0020417942430430783,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7389999628067017,500,600,256,128,0.01,2.0294972117990255,0.10284739546477795,npu:5
clip_b32,bloodmnist,medical,0,gtsrb,0.8025333510041236,0.012196088530620661,0.8131760359|0.7910447717|0.7992007732|0.8128772974|0.7853510380|0.8210422993|0.7890547514|0.7972028255|0.8229376078|0.7985758185|0.8210422993|0.7910447717|0.7932068110|0.8038229346|0.7975585461,0.8004000204|0.8058000167|0.8014000159,0.0023456806327405272,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7447999715805054,500,600,256,128,0.01,2.0294972117990255,0.10736525803804398,npu:5
clip_b32,bloodmnist,medical,0,oxford_pets,0.8280797201978124,0.012973393369189564,0.8200269938|0.8288043737|0.8152174354|0.8408163786|0.8106266856|0.8051420450|0.8423913121|0.8247283101|0.8462585211|0.8256130815|0.8362651467|0.8260869980|0.8491848111|0.8353741765|0.8147139549,0.8230978330|0.8288043554|0.8323369722,0.0038065071807974206,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7819569110870361,500,600,256,128,0.01,2.0294972117990255,0.0981945302337408,npu:5
clip_b32,bloodmnist,medical,1,beans,0.8655706073375459,0.016553223839390306,0.8990384936|0.8309178352|0.8647342920|0.8640776873|0.8689320087|0.8750000000|0.8502415419|0.8647342920|0.8980582952|0.8689320683|0.8605769873|0.8502415419|0.8550724983|0.8640776873|0.8689320087,0.8655705942|0.8713733196|0.8597679082,0.004737889396741044,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.875,500,600,256,128,0.01,1.2179244719445705,0.14274975657463074,npu:5
clip_b32,bloodmnist,medical,1,dtd,0.6592198848724365,0.014530367970248492,0.6742022038|0.6515957713|0.6529254913|0.6702128053|0.6648936272|0.6609042883|0.6569148898|0.6529255509|0.6422872543|0.6502659917|0.6569149494|0.6236702204|0.6821808815|0.6702128053|0.6781915426,0.6627659798|0.6526595950|0.6622340798,0.0046439050856506275,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6638298034667969,500,600,256,128,0.01,1.2179244719445705,0.12022659927606583,npu:5
clip_b32,bloodmnist,medical,1,eurosat,0.9032666641632715,0.008210976368853934,0.8827037811|0.9061876535|0.9219219685|0.9107321501|0.9016064405|0.8976142406|0.9071856737|0.8998999000|0.8976930380|0.9066264629|0.8966202736|0.9041916132|0.9079079628|0.9027081132|0.9056224823,0.9046000095|0.9017999774|0.9034000055,0.0011469902219497135,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9129629731178284,500,600,256,128,0.01,1.2179244719445705,0.1274107862263918,npu:5
