shortlist_size,cluster_level,cluster_estimand,clusters,observations,metric,estimate,ci_2_5,ci_97_5,favorable_rule,bootstrap_probability_favorable,bootstrap_replicates,bootstrap_seed
3,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.6785714285714286,0.5,0.8571428571428571,>=0.9,0.0062,10000,20260907
3,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.6785714285714286,0.35714285714285715,0.9285714285714286,>=0.9,0.0511,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,0.0,-0.14285714285714285,0.14285714285714285,>0,0.3949,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,-0.0004637109623606258,-0.0012559669705141424,5.8095260063831654e-05,<0,0.9025,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.75,0.5357142857142857,0.9285714285714286,>=0.9,0.0916,10000,20260907
3,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.6785714285714286,0.35714285714285715,0.9285714285714286,>=0.9,0.0545,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.07142857142857142,0.0,0.14285714285714285,>0,0.9046,10000,20260907
3,source_family,equal_cluster_mean,8,28,dpp_best_candidate_recall,0.20833333333333331,0.0,0.49999999999999994,>=0.9,0.0,10000,20260907
3,source_family,equal_cluster_mean,8,28,rank_best_candidate_recall,0.20833333333333331,0.0,0.49999999999999994,>=0.9,0.0,10000,20260907
3,source_family,equal_cluster_mean,8,28,dpp_minus_rank_best_recall,0.0,-0.25,0.25,>0,0.3544,10000,20260907
3,source_family,equal_cluster_mean,8,28,dpp_minus_rank_validation_regret,-0.0008246625573747428,-0.0017709802702360797,1.6147075645689775e-05,<0,0.9737,10000,20260907
3,source_family,equal_cluster_mean,8,28,dpp_best_candidate_family_recall,0.29166666666666663,0.08333333333333333,0.5833333333333333,>=0.9,0.0,10000,20260907
3,source_family,equal_cluster_mean,8,28,rank_best_candidate_family_recall,0.20833333333333331,0.0,0.49999999999999994,>=0.9,0.0,10000,20260907
3,source_family,equal_cluster_mean,8,28,dpp_minus_rank_best_family_recall,0.08333333333333333,0.0,0.25,>0,0.6615,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.75,0.6071428571428571,0.8928571428571429,>=0.9,0.0104,10000,20260907
5,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.8214285714285714,0.6071428571428571,1.0,>=0.9,0.2359,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,-0.07142857142857142,-0.17857142857142858,0.07142857142857142,>0,0.0891,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,-4.578587771212577e-05,-0.0006415020247809671,0.0004527354109854934,<0,0.5534,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.8571428571428571,0.7142857142857143,1.0,>=0.9,0.3584,10000,20260907
5,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.8214285714285714,0.5714285714285714,1.0,>=0.9,0.2266,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.03571428571428571,0.0,0.10714285714285714,>0,0.6633,10000,20260907
5,source_family,equal_cluster_mean,8,28,dpp_best_candidate_recall,0.375,0.0,0.75,>=0.9,0.0002,10000,20260907
5,source_family,equal_cluster_mean,8,28,rank_best_candidate_recall,0.375,0.125,0.75,>=0.9,0.0004,10000,20260907
5,source_family,equal_cluster_mean,8,28,dpp_minus_rank_best_recall,0.0,-0.375,0.375,>0,0.3541,10000,20260907
5,source_family,equal_cluster_mean,8,28,dpp_minus_rank_validation_regret,-0.0005412517755824195,-0.002005123392412045,0.00048100111279229346,<0,0.7641,10000,20260907
5,source_family,equal_cluster_mean,8,28,dpp_best_candidate_family_recall,0.5,0.125,0.875,>=0.9,0.0034,10000,20260907
5,source_family,equal_cluster_mean,8,28,rank_best_candidate_family_recall,0.375,0.0,0.75,>=0.9,0.0004,10000,20260907
5,source_family,equal_cluster_mean,8,28,dpp_minus_rank_best_family_recall,0.125,0.0,0.375,>0,0.6597,10000,20260907
10,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.8571428571428571,0.7142857142857143,1.0,>=0.9,0.3634,10000,20260907
10,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.8571428571428571,0.7142857142857143,1.0,>=0.9,0.3633,10000,20260907
10,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
10,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,4.768632798769966e-06,-2.7142392141473897e-05,4.1448290537783793e-05,<0,0.3435,10000,20260907
10,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.8571428571428571,0.7142857142857143,1.0,>=0.9,0.3603,10000,20260907
10,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.8571428571428571,0.6428571428571429,1.0,>=0.9,0.3698,10000,20260907
10,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
10,source_family,equal_cluster_mean,8,28,dpp_best_candidate_recall,0.5,0.125,0.875,>=0.9,0.0049,10000,20260907
10,source_family,equal_cluster_mean,8,28,rank_best_candidate_recall,0.5,0.125,0.875,>=0.9,0.0036,10000,20260907
10,source_family,equal_cluster_mean,8,28,dpp_minus_rank_best_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
10,source_family,equal_cluster_mean,8,28,dpp_minus_rank_validation_regret,1.669021479569488e-05,-9.499837249515863e-05,0.00014506901688224327,<0,0.3534,10000,20260907
10,source_family,equal_cluster_mean,8,28,dpp_best_candidate_family_recall,0.5,0.125,0.875,>=0.9,0.0039,10000,20260907
10,source_family,equal_cluster_mean,8,28,rank_best_candidate_family_recall,0.5,0.125,0.875,>=0.9,0.0036,10000,20260907
10,source_family,equal_cluster_mean,8,28,dpp_minus_rank_best_family_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
