encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_partition_accuracies,validation_accuracy_std_across_partitions,validation_examples,unique_validation_examples,target_validation_protocol,target_cv_folds,target_cv_partitions,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
dinov2_b14,bloodmnist,medical,0,beans,0.898774994084483,0.014157704863745539,0.9038462639|0.9033815861|0.8888888359|0.8786407709|0.9126213789|0.8990385532|0.8743960857|0.9033816457|0.9174757004|0.9126213789|0.9134616256|0.9033816457|0.8695651889|0.8980582952|0.9029126167,0.8974854962|0.9013539727|0.8974855133,0.0018236132924785754,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.890625,500,600,256,128,0.01,1.9263755585998297,0.2546691410243511,npu:4
dinov2_b14,bloodmnist,medical,0,dtd,0.7429078380266825,0.013339189636994264,0.7553191781|0.7406915426|0.7340425849|0.7340425849|0.7553191781|0.7420213223|0.7593085766|0.7566489577|0.7300532460|0.7353723645|0.7353723645|0.7180851102|0.7632979155|0.7273936272|0.7566490173,0.7438830137|0.7446808934|0.7401596069,0.0019704032764968496,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7473404407501221,500,600,256,128,0.01,1.9263755585998297,0.17741512320935726,npu:4
dinov2_b14,bloodmnist,medical,0,eurosat,0.9040666499376298,0.008965447990045155,0.9045724869|0.8932136297|0.9139139652|0.9027080536|0.9016064405|0.9214711189|0.9191616774|0.8968968987|0.8886660337|0.9006023407|0.8986083269|0.9071856141|0.9039039016|0.8966900110|0.9116465449,0.9031999949|0.9053999830|0.9035999719,0.0009568449124721205,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9085185527801514,500,600,256,128,0.01,1.9263755585998297,0.10773104056715965,npu:4
dinov2_b14,bloodmnist,medical,0,flowers102,0.9973856449127197,0.003519683252377342,1.0000000000|0.9950980544|1.0000000000|0.9901961684|1.0000000000|1.0000000000|1.0000000000|0.9950981140|1.0000000000|0.9950980544|1.0000000000|1.0000000000|1.0000000000|0.9950981140|0.9901961684,0.9970588446|0.9980392337|0.9970588565,0.0004621570526869973,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.995199978351593,500,600,256,128,0.01,1.9263755585998297,0.1140224989503622,npu:4
dinov2_b14,bloodmnist,medical,0,food101,0.753600042740504,0.011089004240307825,0.7603960633|0.7613861561|0.7663366795|0.7495049834|0.7500001192|0.7336634398|0.7415841818|0.7762376070|0.7376238108|0.7614583969|0.7495049834|0.7643564343|0.7504950762|0.7534654140|0.7479167581,0.7576000471|0.7500000381|0.7532000430,0.003115556015839654,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7931999564170837,500,600,256,128,0.01,1.9263755585998297,0.12682155147194862,npu:4
dinov2_b14,bloodmnist,medical,0,gtsrb,0.6340000105222067,0.009139444265333743,0.6234021783|0.6378109455|0.6373626590|0.6498994231|0.6419125795|0.6401180029|0.6248756051|0.6423576474|0.6327967644|0.6205493808|0.6243854761|0.6248756051|0.6243756413|0.6428570747|0.6429298520,0.6380000259|0.6322000044|0.6318000012,0.0028331481740537586,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.5237999558448792,500,600,256,128,0.01,1.9263755585998297,0.11517003551125526,npu:4
dinov2_b14,bloodmnist,medical,0,oxford_pets,0.9449275212497383,0.008435143792456109,0.9594045281|0.9415761232|0.9402173758|0.9442178011|0.9373296499|0.9553449750|0.9402173758|0.9334238768|0.9442177415|0.9550408125|0.9323409200|0.9551630020|0.9538043737|0.9442177415|0.9373296499,0.9445652197|0.9456521453|0.9445651988,0.0005123865863929952,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9373126029968262,500,600,256,128,0.01,1.9263755585998297,0.11528463661670685,npu:4
dinov2_b14,bloodmnist,medical,1,beans,0.9200515859285376,0.016311088822731107,0.9230769873|0.9130434990|0.9082125425|0.8980582356|0.9514563084|0.9326923490|0.8888888955|0.9082125425|0.9368932247|0.9320387840|0.9182693362|0.9082125425|0.9178743958|0.9223300815|0.9417475462,0.9187620987|0.9197292070|0.9216634521,0.0012062086815795992,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9375,500,600,256,128,0.01,1.2192618157714605,0.09584308229386806,npu:4
dinov2_b14,bloodmnist,medical,1,dtd,0.7455674131711323,0.01432772942968722,0.7460106611|0.7486702204|0.7406915426|0.7220745087|0.7819149494|0.7420213223|0.7460106611|0.7486702204|0.7380319834|0.7367022038|0.7579787970|0.7194149494|0.7579787374|0.7500000000|0.7473404408,0.7478723764|0.7422872782|0.7465425849,0.0023820929987111595,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7441489100456238,500,600,256,128,0.01,1.2192618157714605,0.10678848810493946,npu:4
dinov2_b14,bloodmnist,medical,1,eurosat,0.9085333237330119,0.008507725815359786,0.8976142406|0.9071856737|0.9249249697|0.9117351770|0.9016063809|0.9145128727|0.9081836939|0.8898898363|0.9167502522|0.9116465449|0.9105367661|0.9011976123|0.9129129648|0.9027081132|0.9166666269,0.9085999886|0.9081999836|0.9087999991,0.0002494497825594376,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9048147797584534,500,600,256,128,0.01,1.2192618157714605,0.09774905815720558,npu:4
