encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_partition_accuracies,validation_accuracy_std_across_partitions,validation_examples,unique_validation_examples,target_validation_protocol,target_cv_folds,target_cv_partitions,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
resnet50,bloodmnist,medical,0,beans,0.8555770709313246,0.023428115588741926,0.8798077703|0.8550724983|0.8454105854|0.8495146036|0.8932038546|0.8125001192|0.8115941882|0.8792270422|0.8834952116|0.8592233658|0.8461539149|0.8309178352|0.8550724387|0.8689320683|0.8640776873,0.8646034980|0.8491296387|0.8529980761,0.006575129457718509,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8671875,500,600,256,128,0.01,2.0075769126415253,0.23361191898584366,npu:6
resnet50,bloodmnist,medical,0,dtd,0.6162234266599019,0.01373225224901319,0.6050531864|0.6449468136|0.6210106611|0.5904256105|0.6236702204|0.6156915426|0.6090425849|0.6077128053|0.6276596189|0.6063829660|0.6289893389|0.5944149494|0.6250000000|0.6236702204|0.6196808815,0.6170212984|0.6132979035|0.6183510780,0.0021387056235659166,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6154254674911499,500,600,256,128,0.01,2.0075769126415253,0.1612964104861021,npu:6
resnet50,bloodmnist,medical,0,eurosat,0.9059333203951517,0.00682613925698363,0.8956261873|0.9081836343|0.9089089632|0.9167502522|0.8955823183|0.9115307331|0.9111776352|0.9159159660|0.8956870437|0.9006023407|0.9055665731|0.9071856141|0.9059059620|0.8996990919|0.9106425047,0.9049999982|0.9069999744|0.9057999887,0.000821912097997828,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9129629731178284,500,600,256,128,0.01,2.0075769126415253,0.12964655458927155,npu:6
resnet50,bloodmnist,medical,0,flowers102,0.6542484402656554,0.030474629436065413,0.6764706373|0.6176471114|0.6813726425|0.6078431606|0.6421569586|0.6568628550|0.6960785389|0.6470589042|0.6715687513|0.6470589042|0.6470588446|0.7009804249|0.6666667461|0.6666667461|0.5882353783,0.6450981021|0.6637255907|0.6539216280,0.007608150791600839,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6649999618530273,500,600,256,128,0.01,2.0075769126415253,0.14966720901429653,npu:6
resnet50,bloodmnist,medical,0,food101,0.3970666905244191,0.010925499167484488,0.3960396349|0.4128713012|0.3871287405|0.3980198503|0.3947916925|0.3891089261|0.4009901285|0.3930693269|0.3950495124|0.3854166865|0.3732673228|0.4178218246|0.4049504995|0.4089109302|0.3979167044,0.3978000294|0.3928000184|0.4006000238,0.0032262837885848375,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.42739999294281006,500,600,256,128,0.01,2.0075769126415253,0.1561217438429594,npu:6
resnet50,bloodmnist,medical,0,gtsrb,0.6760666868368785,0.013016253475903839,0.6597837210|0.6865671873|0.6553446651|0.6991952062|0.6642930508|0.6941986680|0.6865671277|0.6763236523|0.6851106882|0.6612411141|0.6725664139|0.6756218672|0.6613386869|0.6770623922|0.6856561899,0.6730000362|0.6808000048|0.6744000195,0.0033954098810980524,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.5784000158309937,500,600,256,128,0.01,2.0075769126415253,0.13453081995248795,npu:6
resnet50,bloodmnist,medical,0,oxford_pets,0.9040760845431816,0.00901631888219525,0.9133964181|0.9008152485|0.9130434990|0.8884354234|0.9005449414|0.9161027670|0.8885869980|0.9035326242|0.9183673859|0.9032697678|0.9133963585|0.9008152485|0.8967391253|0.9061225057|0.8978201151,0.9032608735|0.9059782676|0.9029891125,0.0013496144878643714,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8778958320617676,500,600,256,128,0.01,2.0075769126415253,0.11797396466135979,npu:6
resnet50,bloodmnist,medical,1,beans,0.8401031768337363,0.022604988960792813,0.8413462043|0.8260869384|0.8067632914|0.8155339956|0.8786407709|0.8509616256|0.8405797482|0.8454105854|0.8398058414|0.8543689251|0.8701924086|0.8647342920|0.8357487917|0.8398058414|0.7912621498,0.8336557156|0.8462282583|0.8404255566,0.005137778626243827,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8671875,500,600,256,128,0.01,1.2065527308732271,0.1032252348959446,npu:6
resnet50,bloodmnist,medical,1,dtd,0.6159574786822001,0.012570528846778218,0.6183511019|0.6236702204|0.6156915426|0.6023936272|0.6130319834|0.6316489577|0.6010638475|0.6050532460|0.6289893389|0.6117022038|0.6236702204|0.5997340679|0.6250000596|0.5984042883|0.6409574747,0.6146276951|0.6156915188|0.6175532222,0.001209056987302387,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6186169385910034,500,600,256,128,0.01,1.2065527308732271,0.10360110364854336,npu:6
resnet50,bloodmnist,medical,1,eurosat,0.8983999760866165,0.009130541444706318,0.8856858015|0.8892215490|0.8978978992|0.9057171345|0.9126505852|0.9065605402|0.9121756554|0.8888888955|0.8926780224|0.8985943794|0.9075546265|0.9011976123|0.9019018412|0.8836508989|0.8915662766,0.8981999751|0.8997999814|0.8971999717,0.0010708292197929286,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9044444561004639,500,600,256,128,0.01,1.2065527308732271,0.09706072509288788,npu:6
