method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
dpp_subspace,3,beans,4,0.25,0.16666666666666666,0.006592520078984004,0.2446633668428151,-0.007031249999999989,0.8571428571428572,0.25,0.16666666666666666,3.0,0.8235294117647058
dpp_subspace,3,dtd,4,0.75,0.5833333333333333,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.8571428571428572,1.0,0.8333333333333333,3.0,0.8235294117647058
dpp_subspace,3,eurosat,4,0.5,0.41666666666666663,0.0003400028540691269,0.026631613353413804,0.000333333015441889,0.8571428571428572,0.5,0.5833333333333333,3.0,0.8235294117647058
dpp_subspace,3,flowers102,4,0.5,0.3333333333333333,0.0012581680218378688,0.0479766665893136,-0.0002500087022781483,0.8571428571428572,0.5,0.5,3.0,0.8235294117647058
dpp_subspace,3,food101,4,0.75,0.5,0.00010333350102109673,0.0029467724918582046,0.00037999749183655063,0.8571428571428572,1.0,0.7916666666666666,3.0,0.8235294117647058
dpp_subspace,3,gtsrb,4,1.0,0.41666666666666663,0.0,0.0,0.0,0.8571428571428572,1.0,0.5833333333333333,3.0,0.8235294117647058
dpp_subspace,3,oxford_pets,4,1.0,0.5,0.0,0.0,0.0,0.8571428571428572,1.0,0.75,3.0,0.8235294117647058
dpp_subspace,5,beans,4,0.5,0.25,0.004384268389871826,0.16453767209131714,-0.0023437500000000056,0.7619047619047619,0.5,0.375,5.0,0.7058823529411764
dpp_subspace,5,dtd,4,0.75,0.6666666666666666,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.7619047619047619,1.0,1.0,5.0,0.7058823529411764
dpp_subspace,5,eurosat,4,0.5,0.41666666666666663,0.0003400028540691269,0.026631613353413804,0.000333333015441889,0.7619047619047619,0.5,0.6666666666666666,5.0,0.7058823529411764
dpp_subspace,5,flowers102,4,0.75,0.41666666666666663,0.0010130721330642578,0.019350816370410535,-0.00019000768661497913,0.7619047619047619,1.0,0.6666666666666666,5.0,0.7058823529411764
dpp_subspace,5,food101,4,0.75,0.6666666666666666,0.00010333350102109673,0.0029467724918582046,0.00037999749183655063,0.7619047619047619,1.0,1.0,5.0,0.7058823529411764
dpp_subspace,5,gtsrb,4,1.0,0.5,0.0,0.0,0.0,0.7619047619047619,1.0,0.6666666666666666,5.0,0.7058823529411764
dpp_subspace,5,oxford_pets,4,1.0,0.5,0.0,0.0,0.0,0.7619047619047619,1.0,0.9166666666666666,5.0,0.7058823529411764
dpp_subspace,10,beans,4,0.5,0.5833333333333334,0.004352029633475946,0.16354359011435732,-0.0062500000000000056,0.5238095238095238,0.5,0.7083333333333334,8.5,0.5
dpp_subspace,10,dtd,4,1.0,1.0,0.0,0.0,0.0,0.5238095238095238,1.0,1.0,8.5,0.5
