encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_partition_accuracies,validation_accuracy_std_across_partitions,validation_examples,unique_validation_examples,target_validation_protocol,target_cv_folds,target_cv_partitions,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
vit_b16,bloodmnist,medical,0,beans,0.8546099494266017,0.01610248834081579,0.8461539149|0.8260869980|0.8454105854|0.8349514604|0.8834951520|0.8701924086|0.8357487917|0.8792270422|0.8495146036|0.8495146036|0.8509615660|0.8695652485|0.8550724387|0.8543689251|0.8689320683,0.8471953735|0.8568665718|0.8597679029,0.005375027596392278,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.796875,500,600,256,128,0.01,2.0537602957338095,0.27753960713744164,npu:7
vit_b16,bloodmnist,medical,0,dtd,0.5877659877141316,0.015060496874767288,0.5944148898|0.5930851698|0.5837766528|0.5531914830|0.5957447290|0.5904256105|0.5784574747|0.5890957713|0.5877659321|0.6050532460|0.5837765932|0.5558511019|0.6023936272|0.6050532460|0.5984042883,0.5840425849|0.5901596069|0.5890957713,0.0026684243748108455,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6021276116371155,500,600,256,128,0.01,2.0537602957338095,0.2402107920497656,npu:7
vit_b16,bloodmnist,medical,0,eurosat,0.8917333176294964,0.008391188636465308,0.8856858015|0.8962075710|0.8988988996|0.8906719685|0.8805220127|0.8976142406|0.9081836343|0.8988989592|0.8856569529|0.8734939694|0.8986083269|0.8942116499|0.8868868947|0.8926780224|0.8875501752,0.8903999561|0.8927999927|0.8920000041,0.0009977926308042276,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8929629325866699,500,600,256,128,0.01,2.0537602957338095,0.2057200986891985,npu:7
vit_b16,bloodmnist,medical,0,flowers102,0.6986928701400755,0.029130829873469835,0.7401961684|0.7156863213|0.6862745881|0.7107843757|0.7009804249|0.7009804249|0.7254902720|0.6813726425|0.6764706373|0.6421568990|0.7107843757|0.7401961088|0.7205883265|0.6862745285|0.6421569586,0.7107843757|0.6852941751|0.7000000596,0.01044730073125994,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7095999717712402,500,600,256,128,0.01,2.0537602957338095,0.17674569971859455,npu:7
vit_b16,bloodmnist,medical,0,food101,0.42346669123570124,0.01609597439983991,0.4138613939|0.4267326891|0.4099010229|0.4346534908|0.4083333611|0.4069307148|0.4495049715|0.4069307148|0.4247525036|0.4239583611|0.3910891414|0.4405940771|0.4386138916|0.4415841699|0.4343750477,0.4188000219|0.4224000241|0.4292000277,0.004312258828710196,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.47380000352859497,500,600,256,128,0.01,2.0537602957338095,0.18083406426012516,npu:7
vit_b16,bloodmnist,medical,0,gtsrb,0.6203333294391632,0.015863795716878897,0.6057030559|0.6288557053|0.6263736486|0.6348088384|0.6083418131|0.6607669592|0.6009950042|0.6073926091|0.6177062392|0.6103763580|0.5978367925|0.6248756051|0.6313686371|0.6167001724|0.6327568889,0.6208000003|0.6195999880|0.6206000000,0.0005249395179531936,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.5031999349594116,500,600,256,128,0.01,2.0537602957338095,0.15384332463145256,npu:7
vit_b16,bloodmnist,medical,0,oxford_pets,0.9183876646223709,0.007542094613951956,0.9309877157|0.9157608747|0.9239130616|0.9170068502|0.9182560444|0.9215154648|0.9184782505|0.9021739364|0.9183673859|0.9291552901|0.9228686690|0.9089673758|0.9252717495|0.9142857790|0.9087193012,0.9211956279|0.9179347689|0.9160325971,0.0021319877497565226,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8977922201156616,500,600,256,128,0.01,2.0537602957338095,0.12074489332735538,npu:7
vit_b16,bloodmnist,medical,1,beans,0.8313991116140059,0.016011361368646025,0.8413462043|0.8067632914|0.8454106450|0.8398058414|0.8106796145|0.8221154213|0.8164250851|0.8164250851|0.8495146036|0.8300971389|0.8221154809|0.8405796885|0.8647342920|0.8203883171|0.8446602225,0.8288201347|0.8268858915|0.8384913087,0.00507672916772613,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8828125,500,600,256,128,0.01,1.129752827808261,0.1843621153384447,npu:7
vit_b16,bloodmnist,medical,1,dtd,0.6020390391349792,0.013643260676750119,0.5984042883|0.6289893985|0.5944149494|0.5837766528|0.6236702204|0.6130319238|0.6023936272|0.5917553306|0.5944148898|0.6063830256|0.5837766528|0.5824468732|0.6077128053|0.6063829660|0.6130319834,0.6058511019|0.6015957594|0.5986702561,0.002948277358541751,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6154255270957947,500,600,256,128,0.01,1.129752827808261,0.21354711428284645,npu:7
vit_b16,bloodmnist,medical,1,eurosat,0.8915999825994173,0.008338003356610876,0.8856858015|0.8872255683|0.8968968987|0.9057171345|0.8795180321|0.8956261873|0.8932135701|0.8958959579|0.8966900110|0.8734939694|0.8926440477|0.9011976123|0.8818818927|0.8906720281|0.8975903392,0.8909999761|0.8909999876|0.8927999840,0.0008485291461514543,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.886296272277832,500,600,256,128,0.01,1.129752827808261,0.18852991983294487,npu:7
vit_b16,bloodmnist,medical,1,flowers102,0.6777778466542562,0.023506705283886584,0.7156863809|0.6715686321|0.6911765337|0.6568628550|0.6764706373|0.6421569586|0.7009804249|0.7205883265|0.6813726425|0.6519608498|0.6617647409|0.6960784793|0.6813726425|0.6764706373|0.6421569586,0.6823530078|0.6794118404|0.6715686917,0.004551763028565853,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.7051999568939209,500,600,256,128,0.01,1.129752827808261,0.20199312642216682,npu:7
vit_b16,bloodmnist,medical,1,food101,0.41760002074638997,0.013550618871268334,0.4128713012|0.4128713012|0.4138613939|0.4287129045|0.4083333611|0.4198020101|0.4445545077|0.4108911157|0.3920792043|0.4343750179|0.3960396051|0.4277228117|0.4316831827|0.4148514867|0.4156250358,0.4154000193|0.4202000247|0.4172000183,0.001979901408157531,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.46139997243881226,500,600,256,128,0.01,1.129752827808261,0.20317006669938564,npu:7
vit_b16,bloodmnist,medical,1,gtsrb,0.6213333371003469,0.010231804777047458,0.6214356422|0.6189054251|0.6333666444|0.6197183132|0.6113936901|0.6440511942|0.6139303446|0.6153845787|0.6338028312|0.6022380590|0.6204522848|0.6199004650|0.6113886237|0.6227364540|0.6307222843,0.6210000024|0.6220000101|0.6209999988,0.00047140897150052807,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.4991999566555023,500,600,256,128,0.01,1.129752827808261,0.18661152385175228,npu:7
