shortlist_size,cluster_level,cluster_estimand,clusters,observations,metric,estimate,ci_2_5,ci_97_5,favorable_rule,bootstrap_probability_favorable,bootstrap_replicates,bootstrap_seed
3,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.6428571428571429,0.42857142857142855,0.8571428571428571,>=0.9,0.0055,10000,20260907
3,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.6071428571428571,0.32142857142857145,0.8571428571428571,>=0.9,0.0056,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,0.03571428571428571,0.0,0.10714285714285714,>0,0.6519,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,-0.00011973844835461156,-0.0003592153450638347,0.0,<0,0.6553,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.6428571428571429,0.42857142857142855,0.8571428571428571,>=0.9,0.0042,10000,20260907
3,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.6071428571428571,0.32142857142857145,0.8571428571428571,>=0.9,0.0053,10000,20260907
3,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.03571428571428571,0.0,0.10714285714285714,>0,0.6649,10000,20260907
3,source_family,equal_cluster_mean,6,28,dpp_best_candidate_recall,0.5,0.16666666666666666,0.8333333333333334,>=0.9,0.0091,10000,20260907
3,source_family,equal_cluster_mean,6,28,rank_best_candidate_recall,0.4166666666666667,0.08333333333333333,0.75,>=0.9,0.0051,10000,20260907
3,source_family,equal_cluster_mean,6,28,dpp_minus_rank_best_recall,0.08333333333333333,0.0,0.25,>0,0.6713,10000,20260907
3,source_family,equal_cluster_mean,6,28,dpp_minus_rank_validation_regret,-0.0001826779328826337,-0.0003761014927722202,0.0,<0,0.9057,10000,20260907
3,source_family,equal_cluster_mean,6,28,dpp_best_candidate_family_recall,0.5,0.16666666666666666,0.8333333333333334,>=0.9,0.0105,10000,20260907
3,source_family,equal_cluster_mean,6,28,rank_best_candidate_family_recall,0.4166666666666667,0.08333333333333333,0.75,>=0.9,0.0049,10000,20260907
3,source_family,equal_cluster_mean,6,28,dpp_minus_rank_best_family_recall,0.08333333333333333,0.0,0.25,>0,0.6565,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.7857142857142857,0.5714285714285714,0.9285714285714286,>=0.9,0.076,10000,20260907
5,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.7857142857142857,0.5714285714285714,0.9285714285714286,>=0.9,0.0802,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_validation_regret,0.0,0.0,0.0,<0,0.0,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_best_candidate_family_recall,0.8214285714285714,0.6071428571428571,0.9642857142857143,>=0.9,0.1916,10000,20260907
5,target,equal_cluster_mean,7,28,rank_best_candidate_family_recall,0.7857142857142857,0.5714285714285714,0.9285714285714286,>=0.9,0.077,10000,20260907
5,target,equal_cluster_mean,7,28,dpp_minus_rank_best_family_recall,0.03571428571428571,0.0,0.10714285714285714,>0,0.6586,10000,20260907
5,source_family,equal_cluster_mean,6,28,dpp_best_candidate_recall,0.6666666666666666,0.3333333333333333,1.0,>=0.9,0.0863,10000,20260907
5,source_family,equal_cluster_mean,6,28,rank_best_candidate_recall,0.6666666666666666,0.3333333333333333,1.0,>=0.9,0.0858,10000,20260907
5,source_family,equal_cluster_mean,6,28,dpp_minus_rank_best_recall,0.0,0.0,0.0,>0,0.0,10000,20260907
5,source_family,equal_cluster_mean,6,28,dpp_minus_rank_validation_regret,0.0,0.0,0.0,<0,0.0,10000,20260907
5,source_family,equal_cluster_mean,6,28,dpp_best_candidate_family_recall,0.75,0.4166666666666667,1.0,>=0.9,0.2237,10000,20260907
5,source_family,equal_cluster_mean,6,28,rank_best_candidate_family_recall,0.6666666666666666,0.3333333333333333,1.0,>=0.9,0.0861,10000,20260907
5,source_family,equal_cluster_mean,6,28,dpp_minus_rank_best_family_recall,0.08333333333333333,0.0,0.25,>0,0.6675,10000,20260907
10,target,equal_cluster_mean,7,28,dpp_best_candidate_recall,0.8571428571428571,0.7857142857142857,0.9642857142857143,>=0.9,0.1269,10000,20260907
10,target,equal_cluster_mean,7,28,rank_best_candidate_recall,0.8571428571428571,0.7142857142857143,0.9642857142857143,>=0.9,0.226,10000,20260907
10,target,equal_cluster_mean,7,28,dpp_minus_rank_best_recall,0.0,-0.10714285714285714,0.10714285714285714,>0,0.356,10000,20260907
