method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction_mean,test_regret_vs_exhaustive_validation_selection_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
agglomerative_subspace,3,28,4,28,0.0,0.047619047619047616,0.007641269379860098,0.24365427447620738,0.8571428571428571,0.007596678393227708,0.21428571428571427,0.2857142857142857,3.0,0.8235294117647058,0,False
dpp_subspace,3,28,4,28,0.6428571428571429,0.5,0.00108048370486646,0.03946367772480641,0.8571428571428571,0.0010949679783412356,0.6428571428571429,0.5714285714285714,3.0,0.8235294117647058,0,False
exact_merged_rank_greedy,3,28,4,28,0.6785714285714286,0.5357142857142857,0.0010571411919637025,0.03578179772273735,0.8571428571428571,0.0010878243616649036,0.6785714285714286,0.6071428571428571,3.0,0.8235294117647058,0,False
facility_subspace,3,28,4,28,0.03571428571428571,0.07142857142857142,0.008313030149218244,0.2323374402745137,0.8571428571428571,0.00902970965419496,0.35714285714285715,0.35714285714285715,3.0,0.8235294117647058,0,False
kcenter_subspace,3,28,4,28,0.5357142857142857,0.32142857142857145,0.0024225558969875804,0.08380746568399458,0.8571428571428571,0.0025931243385587427,0.5357142857142857,0.35714285714285715,3.0,0.8235294117647058,0,False
leverage_centroid,3,28,4,28,0.14285714285714285,0.20238095238095236,0.005215333979612101,0.1633741040653483,0.8571428571428571,0.0016777145011084452,0.14285714285714285,0.20833333333333331,3.0,0.8235294117647058,0,False
pool_vendi_subspace,3,28,4,28,0.5357142857142857,0.32142857142857145,0.0024225558969875804,0.08380746568399458,0.8571428571428571,0.0025931243385587427,0.5357142857142857,0.35714285714285715,3.0,0.8235294117647058,0,False
random,3,2800,4,28,0.13392857142857142,0.13464285714285715,0.006505537843883493,0.21002329539841155,0.8571428571428571,0.006149484589695928,0.19785714285714287,0.19398809523809524,2.9392857142857145,0.8271008403361345,0,False
rank_l_gram,3,28,4,28,0.6785714285714286,0.5952380952380951,0.0010571411919637025,0.03578179772273735,0.8571428571428571,0.0010878243616649036,0.6785714285714286,0.6071428571428571,3.0,0.8235294117647058,0,False
rank_only,3,28,4,28,0.6071428571428571,0.5,0.0012002221532210716,0.042274355142296396,0.8571428571428571,0.0032713072640555207,0.6071428571428571,0.5119047619047619,2.25,0.8676470588235293,0,False
