encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,best_candidate_confidence_set_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_confidence_sources,oracle_confidence_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,adapter_seeds,primary_tie_tolerance,oracle_validation_margin_to_second,stage2_evaluations,exhaustive_stage2_evaluations,best_candidate_recall_tol_0,best_candidate_recall_tol_0p001,best_candidate_recall_tol_0p002,best_candidate_recall_tol_0p005
dinov2_b14,beans,agglomerative_subspace,-1,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,cifar10,cifar10,bloodmnist|cifar10|cifar100_coarse,bloodmnist|cifar10|cifar100_shared_images,17,3,0.8235294117647058,0.9176660351411978,0.9160541674577367,0.00161186768346111,0.1412433547927343,5,1e-12,1.049134112918182e-09,3,21,0,0,1,1
dinov2_b14,beans,dpp_subspace,-1,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,tiny_imagenet,tiny_imagenet,tiny_imagenet|cifar100_coarse|cifar10,cifar10|cifar100_shared_images|tiny_imagenet,17,3,0.8235294117647058,0.9176660351411978,0.9164410220316193,0.0012250131095785655,0.10734439497566281,5,1e-12,1.049134112918182e-09,3,21,0,0,1,1
dinov2_b14,beans,exact_merged_rank_greedy,-1,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,tiny_imagenet,tiny_imagenet,tiny_imagenet|cifar100_coarse|stl10,cifar100_shared_images|stl10|tiny_imagenet,17,3,0.8235294117647058,0.9176660351411978,0.9164410220316193,0.0012250131095785655,0.10734439497566281,5,1e-12,1.049134112918182e-09,3,21,0,0,1,1
dinov2_b14,beans,facility_subspace,-1,3,21,0.8571428571428572,0,1,0.3333333333333333,1,0.5,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,organcmnist,organmnist_views,organcmnist|cifar100_coarse|usps,cifar100_shared_images|handwritten_digits|organmnist_views,17,3,0.8235294117647058,0.9176660351411978,0.9176660340920637,1.049134112918182e-09,9.193262155233141e-08,5,1e-12,1.049134112918182e-09,3,21,0,1,1,1
dinov2_b14,beans,kcenter_subspace,-1,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,tiny_imagenet,tiny_imagenet,tiny_imagenet|rendered_sst2|bloodmnist,bloodmnist|rendered_sst2|tiny_imagenet,17,3,0.8235294117647058,0.9176660351411978,0.9164410220316193,0.0012250131095785655,0.10734439497566281,5,1e-12,1.049134112918182e-09,3,21,0,0,1,1
dinov2_b14,beans,leverage_centroid,-1,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,stl10,stl10,rendered_sst2|fashion_mnist|stl10,fashion_mnist|rendered_sst2|stl10,17,3,0.8235294117647058,0.9176660351411978,0.9160541718348929,0.001611863306304917,0.1412429712350568,5,1e-12,1.049134112918182e-09,3,21,0,0,1,1
dinov2_b14,beans,pool_vendi_subspace,-1,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,tiny_imagenet,tiny_imagenet,tiny_imagenet|rendered_sst2|retinamnist,rendered_sst2|retinamnist|tiny_imagenet,17,3,0.8235294117647058,0.9176660351411978,0.9164410220316193,0.0012250131095785655,0.10734439497566281,5,1e-12,1.049134112918182e-09,3,21,0,0,1,1
dinov2_b14,beans,rank_l_gram,-1,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,tiny_imagenet,tiny_imagenet,tiny_imagenet|stl10|cifar100,cifar100_shared_images|stl10|tiny_imagenet,17,3,0.8235294117647058,0.9176660351411978,0.9164410220316193,0.0012250131095785655,0.10734439497566281,5,1e-12,1.049134112918182e-09,3,21,0,0,1,1
dinov2_b14,beans,rank_only,-1,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,tiny_imagenet,tiny_imagenet,tiny_imagenet|cifar100_coarse|cifar100,cifar100_shared_images|tiny_imagenet,17,2,0.8823529411764706,0.9176660351411978,0.9164410220316193,0.0012250131095785655,0.10734439497566281,5,1e-12,1.049134112918182e-09,3,21,0,0,1,1
dinov2_b14,beans,random,0,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,stl10,stl10,dermamnist|octmnist|stl10,dermamnist|octmnist|stl10,17,3,0.8235294117647058,0.9176660351411978,0.9160541718348929,0.001611863306304917,0.1412429712350568,5,1e-12,1.049134112918182e-09,3,21,0,0,1,1
dinov2_b14,beans,random,1,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,cifar100,cifar100_shared_images,bloodmnist|cifar10|cifar100,bloodmnist|cifar10|cifar100_shared_images,17,3,0.8235294117647058,0.9176660351411978,0.9164410194068628,0.0012250157343349777,0.10734462497555981,5,1e-12,1.049134112918182e-09,3,21,0,0,1,1
dinov2_b14,beans,random,2,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,tiny_imagenet,tiny_imagenet,pneumoniamnist|rendered_sst2|tiny_imagenet,pneumoniamnist|rendered_sst2|tiny_imagenet,17,3,0.8235294117647058,0.9176660351411978,0.9164410220316193,0.0012250131095785655,0.10734439497566281,5,1e-12,1.049134112918182e-09,3,21,0,0,1,1
dinov2_b14,beans,random,3,3,21,0.8571428571428572,1,1,0.3333333333333333,1,0.5,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,organamnist,organmnist_views,mnist|organamnist|pneumoniamnist,handwritten_digits|organmnist_views|pneumoniamnist,17,3,0.8235294117647058,0.9176660351411978,0.9176660351411978,0.0,0.0,5,1e-12,1.049134112918182e-09,3,21,1,1,1,1
dinov2_b14,beans,random,4,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,octmnist,octmnist,bloodmnist|octmnist|rendered_sst2,bloodmnist|octmnist|rendered_sst2,17,3,0.8235294117647058,0.9176660351411978,0.9152804758109099,0.002385559330287945,0.2090397408697148,5,1e-12,1.049134112918182e-09,3,21,0,0,0,1
dinov2_b14,beans,random,5,3,21,0.8571428571428572,0,1,0.0,0,0.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,cifar100_coarse,cifar100_shared_images,cifar100_coarse|dermamnist|retinamnist,cifar100_shared_images|dermamnist|retinamnist,17,3,0.8235294117647058,0.9176660351411978,0.9139265105848846,0.003739524556313212,0.32768384097715736,5,1e-12,1.049134112918182e-09,3,21,0,0,0,1
dinov2_b14,beans,random,6,3,21,0.8571428571428572,0,1,0.6666666666666666,1,1.0,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,organcmnist,organmnist_views,organcmnist|pathmnist|stl10,organmnist_views|pathmnist|stl10,17,3,0.8235294117647058,0.9176660351411978,0.9176660340920637,1.049134112918182e-09,9.193262155233141e-08,5,1e-12,1.049134112918182e-09,3,21,0,1,1,1
dinov2_b14,beans,random,7,3,21,0.8571428571428572,0,1,0.3333333333333333,1,0.5,organamnist,organamnist,1,cifar10|cifar100|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|organcmnist|organsmnist|pathmnist|retinamnist|stl10|svhn|tiny_imagenet|tissuemnist,15,organmnist_views,organmnist_views,organcmnist,organmnist_views,dermamnist|mnist|organcmnist,dermamnist|handwritten_digits|organmnist_views,17,3,0.8235294117647058,0.9176660351411978,0.9176660340920637,1.049134112918182e-09,9.193262155233141e-08,5,1e-12,1.049134112918182e-09,3,21,0,1,1,1
