encoder,target,shortlist_size,oracle_source_family,dpp_best_candidate_recall,rank_best_candidate_recall,dpp_validation_regret,rank_validation_regret,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,shortlist_jaccard,dpp_minus_rank_test_regret,dpp_best_candidate_family_recall,rank_best_candidate_family_recall,dpp_minus_rank_best_family_recall
clip_b32,beans,3,handwritten_digits,0.0,0.0,0.004900063771266838,0.004900063771266838,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
clip_b32,beans,5,handwritten_digits,0.0,0.0,0.00303030362980794,0.00303030362980794,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
clip_b32,beans,10,handwritten_digits,1.0,0.0,0.0,0.00303030362980794,1.0,0.3333333333333333,-0.00303030362980794,-0.22169817495664362,0.8181818181818182,-0.0015625000000000222,1.0,0.0,1.0
clip_b32,dtd,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
clip_b32,dtd,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
clip_b32,dtd,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
clip_b32,eurosat,3,rendered_sst2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
clip_b32,eurosat,5,rendered_sst2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
clip_b32,eurosat,10,rendered_sst2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
clip_b32,flowers102,3,cifar100_shared_images,0.0,0.0,0.00751634120941147,0.00751634120941147,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
clip_b32,flowers102,5,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
clip_b32,flowers102,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
