method,shortlist_size,encoder_target_pairs,selected_test_accuracy_mean,selected_minus_frozen_identity_mean,selected_beats_frozen_identity_count,selected_ties_frozen_identity_count,selected_loses_to_frozen_identity_count
agglomerative_subspace,3,28,0.7619132999862943,-0.07462604088442666,0,0,28
dpp_subspace,3,28,0.7684150104011808,-0.06812433046954018,0,0,28
exact_merged_rank_greedy,3,28,0.7684221540178572,-0.06811718685286386,0,0,28
facility_subspace,3,28,0.760480268725327,-0.07605907214539391,0,0,28
kcenter_subspace,3,28,0.7669168540409633,-0.06962248682975769,0,0,28
leverage_centroid,3,28,0.7678322638784136,-0.0687070769923074,0,0,28
pool_vendi_subspace,3,28,0.7669168540409633,-0.06962248682975769,0,0,28
rank_l_gram,3,28,0.7684221540178572,-0.06811718685286386,0,0,28
rank_only,3,28,0.7662386711154665,-0.07030066975525448,0,0,28
agglomerative_subspace,5,28,0.763823088152068,-0.07271625271865301,0,0,28
dpp_subspace,5,28,0.7679433252130236,-0.06859601565769742,0,0,28
exact_merged_rank_greedy,5,28,0.7679433252130236,-0.06859601565769742,0,0,28
facility_subspace,5,28,0.7634116611310413,-0.07312767973967961,0,0,28
kcenter_subspace,5,28,0.768020156451634,-0.068519184419087,0,0,28
leverage_centroid,5,28,0.7672902554273605,-0.06924908544336048,0,0,28
pool_vendi_subspace,5,28,0.768020156451634,-0.068519184419087,0,0,28
rank_l_gram,5,28,0.7684779575892857,-0.06806138328143528,0,0,28
rank_only,5,28,0.7679433252130236,-0.06859601565769742,0,0,28
agglomerative_subspace,10,28,0.7638852447271347,-0.0726540961435863,0,0,28
dpp_subspace,10,28,0.7687803787844522,-0.06775896208626883,0,0,28
exact_merged_rank_greedy,10,28,0.7687453363622938,-0.06779400450842721,0,0,28
facility_subspace,10,28,0.7648317441344261,-0.07170759673629488,0,0,28
kcenter_subspace,10,28,0.7691619438784463,-0.0673773969922747,0,0,28
leverage_centroid,10,28,0.7663866671068328,-0.07015267376388823,0,0,28
pool_vendi_subspace,10,28,0.7694971084594727,-0.06704223241124833,0,0,28
rank_l_gram,10,28,0.7692889392375947,-0.06725040163312639,0,0,28
rank_only,10,28,0.7686895327908652,-0.06784980807985579,0,0,28
