encoder,target,frozen_identity_test_accuracy,random_adapter_test_accuracy_mean,random_adapter_seeds,validation_oracle_source_adapter_test_accuracy,oracle_minus_frozen_identity,oracle_minus_random_adapter
clip_b32,beans,0.9453125,0.8890625,5,0.89375,-0.051562499999999956,0.004687500000000067
clip_b32,dtd,0.7361701726913452,0.6802127599716187,5,0.6806382775306702,-0.05553189516067503,0.00042551755905151367
clip_b32,eurosat,0.9396296143531799,0.913185203075409,5,0.9095555543899536,-0.03007405996322632,-0.0036296486854553445
clip_b32,flowers102,0.9099999666213989,0.8446799516677856,5,0.8517599701881409,-0.05823999643325806,0.007080018520355225
clip_b32,food101,0.7845999598503113,0.7354799747467041,5,0.7380399823188781,-0.04655997753143315,0.0025600075721740057
clip_b32,gtsrb,0.8407999873161316,0.7636799454689026,5,0.7579599618911743,-0.08284002542495728,-0.005719983577728294
clip_b32,oxford_pets,0.8806214332580566,0.8115562438964844,5,0.8144453287124633,-0.0661761045455933,0.0028890848159789373
dinov2_b14,beans,0.9921875,0.940625,5,0.9375,-0.0546875,-0.0031250000000000444
dinov2_b14,dtd,0.8234041929244995,0.7561701893806457,5,0.7561701893806457,-0.06723400354385378,0.0
dinov2_b14,eurosat,0.9540740847587585,0.9130370259284973,5,0.9111851692199707,-0.04288891553878782,-0.0018518567085266113
dinov2_b14,flowers102,0.9962000250816345,0.9951600074768067,5,0.9951600074768067,-0.0010400176048278587,0.0
dinov2_b14,food101,0.8703999519348145,0.8109599828720093,5,0.8100399613380432,-0.06035999059677122,-0.0009200215339660867
dinov2_b14,gtsrb,0.6955999732017517,0.5369999408721924,5,0.5354799866676331,-0.16011998653411863,-0.001519954204559304
dinov2_b14,oxford_pets,0.9493049383163452,0.9398745656013489,5,0.9379121780395507,-0.011392760276794478,-0.001962387561798118
resnet50,beans,0.9140625,0.878125,5,0.8890625,-0.025000000000000022,0.010937499999999933
resnet50,dtd,0.6978722810745239,0.6405318856239319,5,0.637872314453125,-0.05999996662139895,-0.0026595711708069514
resnet50,eurosat,0.9433333873748779,0.910962975025177,5,0.9082222223281861,-0.03511116504669187,-0.0027407526969909224
resnet50,flowers102,0.7835999727249146,0.6933599710464478,5,0.689359974861145,-0.09423999786376958,-0.003999996185302779
resnet50,food101,0.48659998178482056,0.44883997440338136,5,0.44371997117996215,-0.04288001060485841,-0.005120003223419212
resnet50,gtsrb,0.7483999729156494,0.6005999922752381,5,0.5876399636268616,-0.16076000928878786,-0.012960028648376531
resnet50,oxford_pets,0.9119650721549988,0.9001907467842102,5,0.8952847480773926,-0.016680324077606223,-0.004905998706817627
vit_b16,beans,0.8828125,0.8578125,5,0.8578125,-0.025000000000000022,0.0
vit_b16,dtd,0.7047871947288513,0.6229786992073059,5,0.6164893507957458,-0.08829784393310547,-0.006489348411560014
vit_b16,eurosat,0.954444408416748,0.900592589378357,5,0.8960000038146972,-0.0584444046020508,-0.004592585563659712
vit_b16,flowers102,0.8357999324798584,0.7173199653625488,5,0.7072399497032166,-0.12855998277664182,-0.010080015659332253
vit_b16,food101,0.6145999431610107,0.48003997206687926,5,0.47859997749328614,-0.1359999656677246,-0.0014399945735931174
vit_b16,gtsrb,0.7011999487876892,0.5166399955749512,5,0.5084799766540528,-0.19271997213363645,-0.00816001892089846
vit_b16,oxford_pets,0.9253201484680176,0.9016625285148621,5,0.9008993744850159,-0.024420773983001687,-0.0007631540298461692
