run_fingerprint,encoder,baseline,adapter_seed,target,test_accuracy,evaluation_seconds,device
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,frozen_identity,-1,beans,0.8828125,0.471879068762064,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,0,beans,0.859375,0.038848647847771645,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,1,beans,0.859375,0.02448463626205921,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,2,beans,0.8671875,0.020863963291049004,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,3,beans,0.8515625,0.02098831720650196,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,4,beans,0.8515625,0.020113332197070122,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,frozen_identity,-1,dtd,0.7047871947288513,0.1680460050702095,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,0,dtd,0.6218084692955017,0.06263795122504234,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,1,dtd,0.6281914710998535,0.019258039072155952,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,2,dtd,0.6255319118499756,0.019555719569325447,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,3,dtd,0.6255319118499756,0.018357396125793457,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,4,dtd,0.6138297319412231,0.017909402027726173,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,frozen_identity,-1,eurosat,0.954444408416748,0.14675538800656796,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,0,eurosat,0.8948148488998413,0.02183837629854679,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,1,eurosat,0.902592658996582,0.016479071229696274,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,2,eurosat,0.8988888263702393,0.016271978616714478,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,3,eurosat,0.9037036895751953,0.017257822677493095,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,4,eurosat,0.9029629230499268,0.017579210922122,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,frozen_identity,-1,flowers102,0.8357999324798584,0.1607219185680151,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,0,flowers102,0.7237999439239502,0.017569610849022865,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,1,flowers102,0.72079998254776,0.015556974336504936,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,2,flowers102,0.7149999737739563,0.016401588916778564,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,3,flowers102,0.7077999711036682,0.01580442301928997,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,4,flowers102,0.7191999554634094,0.01586085744202137,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,frozen_identity,-1,food101,0.6145999431610107,0.1505916230380535,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,0,food101,0.4861999750137329,0.01837979257106781,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,1,food101,0.48159995675086975,0.023873304948210716,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,2,food101,0.4771999716758728,0.01839146576821804,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,3,food101,0.47679996490478516,0.018347732722759247,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,4,food101,0.47839999198913574,0.017659394070506096,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,frozen_identity,-1,gtsrb,0.7011999487876892,0.16500981710851192,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,0,gtsrb,0.5191999673843384,0.018295414745807648,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,1,gtsrb,0.5088000297546387,0.02337741293013096,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,2,gtsrb,0.5181999802589417,0.020566154271364212,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,3,gtsrb,0.5127999782562256,0.015797646716237068,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,4,gtsrb,0.5242000222206116,0.01670674793422222,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,frozen_identity,-1,oxford_pets,0.9253201484680176,0.12989854998886585,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,0,oxford_pets,0.9029707908630371,0.015953676775097847,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,1,oxford_pets,0.8991550207138062,0.016073768958449364,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,2,oxford_pets,0.9046061038970947,0.015485106036067009,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,3,oxford_pets,0.9026982188224792,0.01566404290497303,npu:4
6bdef6a420d19e90efa9d2c0ca4bb4b899bd44ef81a99b76d171dc8360c49d88,vit_b16,random_adapter,4,oxford_pets,0.8988825082778931,0.015299014747142792,npu:4
