encoder,target,candidate_sources,primary_oracles,distinct_primary_oracles,shared_tie_optimal_sources,has_shared_tie_optimal_source,pairwise_spearman_mean,pairwise_spearman_min,top1_margin_mean,top1_margin_min,utility_range_mean,source_split_std_mean
clip_b32,beans,21,20260905:organsmnist|20260906:organsmnist|20260907:cifar10,2,,False,0.24728345662498688,-0.15714285714285714,0.004166658719380711,0.0038461327552795632,0.031089735031127923,0.009341771421783857
clip_b32,dtd,21,20260905:rendered_sst2|20260906:tiny_imagenet|20260907:tiny_imagenet,2,,False,0.6852115320157882,0.6443650875734648,0.0015071113904317663,0.000797903537750333,0.03838654359181722,0.006354378356289227
clip_b32,eurosat,21,20260905:rendered_sst2|20260906:tiny_imagenet|20260907:tiny_imagenet,2,,False,0.6238548580265192,0.5471085120207927,0.003512263298034668,0.00039763450622554153,0.019218007723490433,0.006568607764667172
clip_b32,flowers102,21,20260905:cifar100|20260906:cifar100|20260907:tiny_imagenet,2,,False,0.49336401889024845,0.3288917950742873,0.009150322278340636,0.0009803652763367143,0.06470587650934856,0.0097332488890934
clip_b32,food101,21,20260905:cifar100|20260906:tiny_imagenet|20260907:cifar100,2,,False,0.7098999344047142,0.6248782401670092,0.005016497770945223,0.0029703021049499734,0.03234323660532631,0.006060873947946112
clip_b32,gtsrb,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.683982683982684,0.6493506493506493,0.002228784561157234,0.0005899786949158381,0.026745339234670002,0.0037535757821436123
clip_b32,oxford_pets,21,20260905:rendered_sst2|20260906:cifar100|20260907:cifar100,2,,False,0.6982131695427425,0.6051948051948052,0.008209288120269775,0.0032476186752319336,0.03743796348571778,0.005567099609777311
dinov2_b14,beans,21,20260905:cifar10|20260906:stl10|20260907:usps,3,,False,0.1782900282956649,-0.05120705645186542,0.0009615341822306241,0.0009615302085875799,0.02403846581776936,0.010674968718012887
dinov2_b14,dtd,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.6229437229437229,0.4831168831168831,0.005053190390268969,0.0007978796958922896,0.03386523723602294,0.007779022116800197
dinov2_b14,eurosat,21,20260905:tiny_imagenet|20260906:pathmnist|20260907:dermamnist,3,,False,0.5338784817430814,0.3743906600055128,0.001060291131337432,0.0001987934112548384,0.018555335203806516,0.005143886279898759
dinov2_b14,flowers102,21,20260905:cifar100|20260906:cifar100|20260907:cifar10,2,,False,0.2154931666385437,0.1770187834104718,0.0,0.0,0.008496681849161783,0.000905957695393417
dinov2_b14,food101,21,20260905:tiny_imagenet|20260906:cifar100|20260907:tiny_imagenet,2,,False,0.7744588744588744,0.712987012987013,0.0023102323214213203,0.00019801855087286935,0.032079219818115234,0.009420780125120978
dinov2_b14,gtsrb,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.8038961038961038,0.7623376623376623,0.005244171619415298,0.003933143615722612,0.040314666430155466,0.009052424094913348
dinov2_b14,oxford_pets,21,20260905:tiny_imagenet|20260906:fashion_mnist|20260907:stl10,3,,False,0.33512315600032666,0.1982450543431969,0.0009021043777466264,0.00027061700820929513,0.01723046700159714,0.0033013413923276215
