encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,oracle_source,oracle_sources,oracle_source_count,selected_source,shortlist,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
clip_b32,beans,rank_only,-1,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,rendered_sst2|tiny_imagenet|stl10,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,facility_subspace,-1,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,cifar100,organcmnist|cifar100|usps,0.9067308306694031,0.901923143863678,0.0048076868057250755,0.17857125462314938,0.884375,0.8921875,-0.0078125,5,3,21
clip_b32,beans,kcenter_subspace,-1,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,rendered_sst2|stl10|retinamnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,dpp_subspace,-1,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,rendered_sst2|tiny_imagenet|stl10,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,pool_vendi_subspace,-1,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,rendered_sst2|stl10|retinamnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,full_merged_rank,-1,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,rendered_sst2|tiny_imagenet|stl10,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,0,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,fashion_mnist|organamnist|rendered_sst2,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,1,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,fashion_mnist|organsmnist|retinamnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,2,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,mnist,dermamnist|mnist|rendered_sst2,0.9067308306694031,0.8990385174751282,0.00769231319427488,0.28571453872996344,0.884375,0.89375,-0.009375000000000022,5,3,21
clip_b32,beans,random,3,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,cifar10,cifar10|retinamnist|stl10,0.9067308306694031,0.9000000715255737,0.006730759143829368,0.2499996679169238,0.884375,0.9015625,-0.017187500000000022,5,3,21
clip_b32,beans,random,4,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,fashion_mnist,dermamnist|fashion_mnist|pneumoniamnist,0.9067308306694031,0.8961539268493652,0.010576903820037842,0.39285649450446847,0.884375,0.8984375,-0.014062499999999978,5,3,21
clip_b32,beans,random,5,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,retinamnist,organamnist|pneumoniamnist|retinamnist,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.903125,-0.018749999999999933,5,3,21
clip_b32,beans,random,6,3,21,0.8571428571428572,0,0.3333333333333333,organsmnist,organsmnist,1,tiny_imagenet,bloodmnist|rendered_sst2|tiny_imagenet,0.9067308306694031,0.9028846859931946,0.003846144676208474,0.1428568265875447,0.884375,0.8953125,-0.010937499999999933,5,3,21
clip_b32,beans,random,7,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,rendered_sst2,breastmnist|rendered_sst2|svhn,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.8890625,-0.004687499999999956,5,3,21
clip_b32,beans,random,8,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,retinamnist,retinamnist|tissuemnist|usps,0.9067308306694031,0.8971154689788818,0.00961536169052124,0.3571420664688638,0.884375,0.903125,-0.018749999999999933,5,3,21
clip_b32,beans,random,9,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,dermamnist|fashion_mnist|organsmnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,10,3,21,0.8571428571428572,1,0.3333333333333333,organsmnist,organsmnist,1,organsmnist,bloodmnist|organamnist|organsmnist,0.9067308306694031,0.9067308306694031,0.0,0.0,0.884375,0.884375,0.0,5,3,21
clip_b32,beans,random,11,3,21,0.8571428571428572,0,0.0,organsmnist,organsmnist,1,svhn,breastmnist|svhn|tissuemnist,0.9067308306694031,0.8942308068275452,0.012500023841857888,0.4642866789079868,0.884375,0.890625,-0.006249999999999978,5,3,21
