method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,passing_encoders,passes_overall
dpp_subspace,3,28,4,28,0.39285714285714285,0.37321428571428567,0.0031138752188001307,0.08338799641362708,-0.0015166623251778746,0.8571428571428571,0,False
facility_subspace,3,28,4,28,0.21428571428571427,0.2255952380952381,0.0060396592531885345,0.16315171786020316,0.002505042936120704,0.8571428571428571,0,False
full_merged_rank,3,28,4,28,0.4642857142857143,0.4160714285714286,0.0029975154570170753,0.08035304993066991,-0.0013842812606266544,0.8571428571428571,0,False
kcenter_subspace,3,28,4,28,0.2857142857142857,0.24523809523809523,0.004358191575322822,0.1299536342525944,-0.0008894439254488343,0.8571428571428571,0,False
pool_vendi_subspace,3,28,4,28,0.2857142857142857,0.24523809523809523,0.004358191575322822,0.1299536342525944,-0.0008894439254488343,0.8571428571428571,0,False
random,3,2800,4,28,0.15785714285714286,0.14151785714285714,0.008442989093916747,0.22635701994310595,0.00444399808134351,0.8571428571428571,0,False
rank_only,3,28,4,28,0.5,0.4160714285714286,0.002759904520852218,0.07370748329904457,-0.002247726491519384,0.8571428571428571,0,False
dpp_subspace,5,28,4,28,0.5,0.48630952380952375,0.00245561855179922,0.06729969610068194,-0.0002098164388111596,0.7619047619047619,0,False
facility_subspace,5,28,4,28,0.25,0.2851190476190476,0.005223047520433143,0.14170110281630316,0.0007810479828289502,0.7619047619047619,0,False
full_merged_rank,5,28,4,28,0.6785714285714286,0.6005952380952381,0.0014518431254795555,0.044317230806694134,-0.0007907339504786856,0.7619047619047619,0,False
kcenter_subspace,5,28,4,28,0.32142857142857145,0.2642857142857143,0.004338861789022162,0.12860601720355572,-0.0009210978235517285,0.7619047619047619,0,False
pool_vendi_subspace,5,28,4,28,0.35714285714285715,0.3476190476190476,0.0036324990647179666,0.10767120107898756,-0.0004283487796783487,0.7619047619047619,0,False
random,5,2800,4,28,0.26285714285714284,0.23986904761904762,0.0061296948833124915,0.16288168101720316,0.003032131031155582,0.7619047619047618,0,False
rank_only,5,28,4,28,0.6785714285714286,0.6005952380952381,0.0014518431254795555,0.044317230806694134,-0.0007907339504786856,0.7619047619047619,0,False
dpp_subspace,10,28,4,28,0.8214285714285714,0.7119047619047619,0.0010361658675329954,0.023427357720077653,-0.000537118741444177,0.5238095238095238,1,False
facility_subspace,10,28,4,28,0.35714285714285715,0.4083333333333333,0.0036856744970594052,0.1106866291126541,0.003360408544540402,0.5238095238095238,0,False
full_merged_rank,10,28,4,28,0.7857142857142857,0.7476190476190476,0.0011564876352037662,0.03230485207054767,-0.0006387310368674075,0.5238095238095238,0,False
kcenter_subspace,10,28,4,28,0.5,0.4827380952380952,0.0022829966885702835,0.06744604308682176,-0.00035046679633004917,0.5238095238095238,0,False
pool_vendi_subspace,10,28,4,28,0.5714285714285714,0.5184523809523809,0.0024048613650458094,0.06074787154007061,-0.0014618550028119748,0.5238095238095238,0,False
random,10,2800,4,28,0.4953571428571429,0.47875595238095237,0.0033280262436185533,0.08517716068411645,0.0019019017453704525,0.5238095238095238,0,False
rank_only,10,28,4,28,0.8214285714285714,0.7595238095238095,0.001019125325339178,0.02720282254956393,-0.00024810603686740984,0.5238095238095238,1,False
