encoder,source,source_domain,adapter_seed,target,validation_accuracy,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
dinov2_b14,bloodmnist,medical,0,beans,0.9086539149284363,0.890625,500,600,256,128,0.01,1.935194356366992,0.12305876240134239,npu:5
dinov2_b14,bloodmnist,medical,0,dtd,0.7353723645210266,0.7473404407501221,500,600,256,128,0.01,1.935194356366992,0.052867017686367035,npu:5
dinov2_b14,bloodmnist,medical,0,eurosat,0.8996022939682007,0.9085185527801514,500,600,256,128,0.01,1.935194356366992,0.01929236203432083,npu:5
dinov2_b14,bloodmnist,medical,0,flowers102,0.9950980544090271,0.995199978351593,500,600,256,128,0.01,1.935194356366992,0.02021162398159504,npu:5
dinov2_b14,bloodmnist,medical,0,food101,0.7623762488365173,0.7931999564170837,500,600,256,128,0.01,1.935194356366992,0.019391372799873352,npu:5
dinov2_b14,bloodmnist,medical,0,gtsrb,0.620452344417572,0.5237999558448792,500,600,256,128,0.01,1.935194356366992,0.022556552663445473,npu:5
dinov2_b14,bloodmnist,medical,0,oxford_pets,0.9539917707443237,0.9373126029968262,500,600,256,128,0.01,1.935194356366992,0.0227971151471138,npu:5
dinov2_b14,bloodmnist,medical,1,beans,0.9230769872665405,0.9375,500,600,256,128,0.01,1.1456128023564816,0.014532241970300674,npu:5
dinov2_b14,bloodmnist,medical,1,dtd,0.7367021441459656,0.7441489100456238,500,600,256,128,0.01,1.1456128023564816,0.014677992090582848,npu:5
dinov2_b14,bloodmnist,medical,1,eurosat,0.9115307331085205,0.9048147797584534,500,600,256,128,0.01,1.1456128023564816,0.015144472941756248,npu:5
dinov2_b14,bloodmnist,medical,1,flowers102,0.9950981140136719,0.9943999648094177,500,600,256,128,0.01,1.1456128023564816,0.01628211885690689,npu:5
dinov2_b14,bloodmnist,medical,1,food101,0.7663366794586182,0.7991999387741089,500,600,256,128,0.01,1.1456128023564816,0.015560625120997429,npu:5
dinov2_b14,bloodmnist,medical,1,gtsrb,0.6253687739372253,0.5183999538421631,500,600,256,128,0.01,1.1456128023564816,0.016464579850435257,npu:5
dinov2_b14,bloodmnist,medical,1,oxford_pets,0.9404600262641907,0.934859573841095,500,600,256,128,0.01,1.1456128023564816,0.015007074922323227,npu:5
dinov2_b14,bloodmnist,medical,2,beans,0.9375000596046448,0.921875,500,600,256,128,0.01,1.1430971920490265,0.013755841180682182,npu:5
dinov2_b14,bloodmnist,medical,2,dtd,0.7380319237709045,0.7409574389457703,500,600,256,128,0.01,1.1430971920490265,0.014875857159495354,npu:5
dinov2_b14,bloodmnist,medical,2,eurosat,0.9005963802337646,0.9088888764381409,500,600,256,128,0.01,1.1430971920490265,0.015392119064927101,npu:5
dinov2_b14,bloodmnist,medical,2,flowers102,1.0,0.9941999912261963,500,600,256,128,0.01,1.1430971920490265,0.015492718666791916,npu:5
dinov2_b14,bloodmnist,medical,2,food101,0.7762376070022583,0.7973999977111816,500,600,256,128,0.01,1.1430971920490265,0.016708262264728546,npu:5
dinov2_b14,bloodmnist,medical,2,gtsrb,0.6184857487678528,0.5289999842643738,500,600,256,128,0.01,1.1430971920490265,0.016039369627833366,npu:5
dinov2_b14,bloodmnist,medical,2,oxford_pets,0.9472259283065796,0.9362223744392395,500,600,256,128,0.01,1.1430971920490265,0.014111712574958801,npu:5
dinov2_b14,bloodmnist,medical,3,beans,0.9326924085617065,0.921875,500,600,256,128,0.01,1.1313946191221476,0.014045020565390587,npu:5
dinov2_b14,bloodmnist,medical,3,dtd,0.7566489577293396,0.7324467301368713,500,600,256,128,0.01,1.1313946191221476,0.014887455850839615,npu:5
dinov2_b14,bloodmnist,medical,3,eurosat,0.8956261873245239,0.9085185527801514,500,600,256,128,0.01,1.1313946191221476,0.016398118808865547,npu:5
dinov2_b14,bloodmnist,medical,3,flowers102,0.9950980544090271,0.9941999912261963,500,600,256,128,0.01,1.1313946191221476,0.01568114571273327,npu:5
dinov2_b14,bloodmnist,medical,3,food101,0.7574257850646973,0.796999990940094,500,600,256,128,0.01,1.1313946191221476,0.016395559534430504,npu:5
dinov2_b14,bloodmnist,medical,3,gtsrb,0.626352071762085,0.5167999863624573,500,600,256,128,0.01,1.1313946191221476,0.016191581264138222,npu:5
dinov2_b14,bloodmnist,medical,3,oxford_pets,0.9418131709098816,0.9364949464797974,500,600,256,128,0.01,1.1313946191221476,0.01450326293706894,npu:5
dinov2_b14,bloodmnist,medical,4,beans,0.9375001192092896,0.9140625,500,600,256,128,0.01,1.1169954035431147,0.01470036432147026,npu:5
dinov2_b14,bloodmnist,medical,4,dtd,0.7513298392295837,0.7361701726913452,500,600,256,128,0.01,1.1169954035431147,0.029370088130235672,npu:5
dinov2_b14,bloodmnist,medical,4,eurosat,0.902584433555603,0.907037079334259,500,600,256,128,0.01,1.1169954035431147,0.016261069104075432,npu:5
dinov2_b14,bloodmnist,medical,4,flowers102,1.0,0.9941999912261963,500,600,256,128,0.01,1.1169954035431147,0.016286808997392654,npu:5
dinov2_b14,bloodmnist,medical,4,food101,0.7673267722129822,0.8009999990463257,500,600,256,128,0.01,1.1169954035431147,0.01760065369307995,npu:5
dinov2_b14,bloodmnist,medical,4,gtsrb,0.6155359148979187,0.5215999484062195,500,600,256,128,0.01,1.1169954035431147,0.019319619983434677,npu:5
dinov2_b14,bloodmnist,medical,4,oxford_pets,0.9485790729522705,0.9302261471748352,500,600,256,128,0.01,1.1169954035431147,0.01860872097313404,npu:5
dinov2_b14,breastmnist,medical,0,beans,0.9134616255760193,0.9375,500,600,256,128,0.01,1.212986497208476,0.018293626606464386,npu:5
dinov2_b14,breastmnist,medical,0,dtd,0.7433511018753052,0.7367020845413208,500,600,256,128,0.01,1.212986497208476,0.016145678237080574,npu:5
dinov2_b14,breastmnist,medical,0,eurosat,0.9005963802337646,0.9096296429634094,500,600,256,128,0.01,1.212986497208476,0.018909908831119537,npu:5
dinov2_b14,breastmnist,medical,0,flowers102,1.0,0.9959999918937683,500,600,256,128,0.01,1.212986497208476,0.015726635232567787,npu:5
dinov2_b14,breastmnist,medical,0,food101,0.7663366794586182,0.7949999570846558,500,600,256,128,0.01,1.212986497208476,0.018973378464579582,npu:5
dinov2_b14,breastmnist,medical,0,gtsrb,0.5978367924690247,0.5313999652862549,500,600,256,128,0.01,1.212986497208476,0.017946776002645493,npu:5
dinov2_b14,breastmnist,medical,0,oxford_pets,0.9485790729522705,0.9362223148345947,500,600,256,128,0.01,1.212986497208476,0.014347963035106659,npu:5
dinov2_b14,breastmnist,medical,1,beans,0.899038553237915,0.9375,500,600,256,128,0.01,1.1452861111611128,0.014754854142665863,npu:5
dinov2_b14,breastmnist,medical,1,dtd,0.7247340679168701,0.7414893507957458,500,600,256,128,0.01,1.1452861111611128,0.016790950670838356,npu:5
dinov2_b14,breastmnist,medical,1,eurosat,0.9005963802337646,0.9081481695175171,500,600,256,128,0.01,1.1452861111611128,0.01652832143008709,npu:5
dinov2_b14,breastmnist,medical,1,flowers102,0.9950981140136719,0.9947999715805054,500,600,256,128,0.01,1.1452861111611128,0.01633381098508835,npu:5
dinov2_b14,breastmnist,medical,1,food101,0.7564356327056885,0.7929999828338623,500,600,256,128,0.01,1.1452861111611128,0.017384983599185944,npu:5
dinov2_b14,breastmnist,medical,1,gtsrb,0.633234977722168,0.527400016784668,500,600,256,128,0.01,1.1452861111611128,0.016556639224290848,npu:5
dinov2_b14,breastmnist,medical,1,oxford_pets,0.9431663751602173,0.9378576874732971,500,600,256,128,0.01,1.1452861111611128,0.020914018154144287,npu:5
dinov2_b14,breastmnist,medical,2,beans,0.9182693362236023,0.953125,500,600,256,128,0.01,1.1439311560243368,0.01415633037686348,npu:5
dinov2_b14,breastmnist,medical,2,dtd,0.7460106611251831,0.7404254674911499,500,600,256,128,0.01,1.1439311560243368,0.015027886256575584,npu:5
dinov2_b14,breastmnist,medical,2,eurosat,0.9115307331085205,0.9133332967758179,500,600,256,128,0.01,1.1439311560243368,0.015983108431100845,npu:5
dinov2_b14,breastmnist,medical,2,flowers102,1.0,0.9950000047683716,500,600,256,128,0.01,1.1439311560243368,0.017910724505782127,npu:5
dinov2_b14,breastmnist,medical,2,food101,0.7673267126083374,0.7965999841690063,500,600,256,128,0.01,1.1439311560243368,0.01756294257938862,npu:5
dinov2_b14,breastmnist,medical,2,gtsrb,0.5889872312545776,0.5263999700546265,500,600,256,128,0.01,1.1439311560243368,0.017102671787142754,npu:5
dinov2_b14,breastmnist,medical,2,oxford_pets,0.9404599666595459,0.9340418577194214,500,600,256,128,0.01,1.1439311560243368,0.017515815794467926,npu:5
dinov2_b14,breastmnist,medical,3,beans,0.9278846979141235,0.9296875,500,600,256,128,0.01,1.1627436857670546,0.015050774440169334,npu:5
dinov2_b14,breastmnist,medical,3,dtd,0.7380319833755493,0.7372340559959412,500,600,256,128,0.01,1.1627436857670546,0.015851940959692,npu:5
dinov2_b14,breastmnist,medical,3,eurosat,0.89463210105896,0.9133332967758179,500,600,256,128,0.01,1.1627436857670546,0.01564054749906063,npu:5
dinov2_b14,breastmnist,medical,3,flowers102,1.0,0.9958000183105469,500,600,256,128,0.01,1.1627436857670546,0.016036929562687874,npu:5
dinov2_b14,breastmnist,medical,3,food101,0.7623763084411621,0.7989999651908875,500,600,256,128,0.01,1.1627436857670546,0.016551783308386803,npu:5
dinov2_b14,breastmnist,medical,3,gtsrb,0.6234021782875061,0.5221999287605286,500,600,256,128,0.01,1.1627436857670546,0.016685662791132927,npu:5
dinov2_b14,breastmnist,medical,3,oxford_pets,0.9499322175979614,0.9326791763305664,500,600,256,128,0.01,1.1627436857670546,0.014364684000611305,npu:5
