encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,top3_candidate_recall,oracle_source,oracle_sources,oracle_source_count,selected_source,shortlist,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,adapter_seeds,stage2_evaluations,exhaustive_stage2_evaluations
dinov2_b14,beans,rank_only,-1,3,21,0.8571428571428572,0,0.6666666666666666,stl10,stl10,1,cifar100_coarse,tiny_imagenet|cifar100_coarse|cifar100,0.9365385293960571,0.9355769872665405,0.0009615421295166016,0.03571441222206884,0.928125,0.93125,-0.0031250000000000444,5,3,21
dinov2_b14,beans,facility_subspace,-1,3,21,0.8571428571428572,0,0.3333333333333333,stl10,stl10,1,cifar100,organcmnist|cifar100|mnist,0.9365385293960571,0.9317308306694031,0.004807698726653986,0.1785716183331012,0.928125,0.921875,0.006249999999999978,5,3,21
dinov2_b14,beans,kcenter_subspace,-1,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,tiny_imagenet,tiny_imagenet|rendered_sst2|bloodmnist,0.9365385293960571,0.9288462281227112,0.0076923012733458584,0.28571396944482585,0.928125,0.9234375,0.004687499999999956,5,3,21
dinov2_b14,beans,dpp_subspace,-1,3,21,0.8571428571428572,0,0.3333333333333333,stl10,stl10,1,cifar100_coarse,tiny_imagenet|cifar100_coarse|cifar10,0.9365385293960571,0.9355769872665405,0.0009615421295166016,0.03571441222206884,0.928125,0.93125,-0.0031250000000000444,5,3,21
dinov2_b14,beans,pool_vendi_subspace,-1,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,tiny_imagenet,tiny_imagenet|rendered_sst2|bloodmnist,0.9365385293960571,0.9288462281227112,0.0076923012733458584,0.28571396944482585,0.928125,0.9234375,0.004687499999999956,5,3,21
dinov2_b14,beans,full_merged_rank,-1,3,21,0.8571428571428572,1,0.6666666666666666,stl10,stl10,1,stl10,tiny_imagenet|cifar100|stl10,0.9365385293960571,0.9365385293960571,0.0,0.0,0.928125,0.928125,0.0,5,3,21
dinov2_b14,beans,random,0,3,21,0.8571428571428572,1,0.3333333333333333,stl10,stl10,1,stl10,dermamnist|octmnist|stl10,0.9365385293960571,0.9365385293960571,0.0,0.0,0.928125,0.928125,0.0,5,3,21
dinov2_b14,beans,random,1,3,21,0.8571428571428572,0,0.3333333333333333,stl10,stl10,1,cifar100,bloodmnist|cifar10|cifar100,0.9365385293960571,0.9317308306694031,0.004807698726653986,0.1785716183331012,0.928125,0.921875,0.006249999999999978,5,3,21
dinov2_b14,beans,random,2,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,tiny_imagenet,pneumoniamnist|rendered_sst2|tiny_imagenet,0.9365385293960571,0.9288462281227112,0.0076923012733458584,0.28571396944482585,0.928125,0.9234375,0.004687499999999956,5,3,21
dinov2_b14,beans,random,3,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,mnist,mnist|organamnist|pneumoniamnist,0.9365385293960571,0.9269231200218201,0.009615409374236994,0.35714367944344544,0.928125,0.909375,0.018749999999999933,5,3,21
dinov2_b14,beans,random,4,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,bloodmnist,bloodmnist|octmnist|rendered_sst2,0.9365385293960571,0.9278846979141235,0.00865383148193355,0.32142793888965576,0.928125,0.9171875,0.010937499999999933,5,3,21
dinov2_b14,beans,random,5,3,21,0.8571428571428572,0,0.3333333333333333,stl10,stl10,1,cifar100_coarse,cifar100_coarse|dermamnist|retinamnist,0.9365385293960571,0.9355769872665405,0.0009615421295166016,0.03571441222206884,0.928125,0.93125,-0.0031250000000000444,5,3,21
dinov2_b14,beans,random,6,3,21,0.8571428571428572,1,0.3333333333333333,stl10,stl10,1,stl10,organcmnist|pathmnist|stl10,0.9365385293960571,0.9365385293960571,0.0,0.0,0.928125,0.928125,0.0,5,3,21
dinov2_b14,beans,random,7,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,dermamnist,dermamnist|mnist|organcmnist,0.9365385293960571,0.926923143863678,0.009615385532379062,0.35714279388896353,0.928125,0.928125,0.0,5,3,21
dinov2_b14,beans,random,8,3,21,0.8571428571428572,0,0.3333333333333333,stl10,stl10,1,cifar100,cifar10|cifar100|organsmnist,0.9365385293960571,0.9317308306694031,0.004807698726653986,0.1785716183331012,0.928125,0.921875,0.006249999999999978,5,3,21
dinov2_b14,beans,random,9,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,bloodmnist,bloodmnist|organamnist|svhn,0.9365385293960571,0.9278846979141235,0.00865383148193355,0.32142793888965576,0.928125,0.9171875,0.010937499999999933,5,3,21
dinov2_b14,beans,random,10,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,tiny_imagenet,cifar10|fashion_mnist|tiny_imagenet,0.9365385293960571,0.9288462281227112,0.0076923012733458584,0.28571396944482585,0.928125,0.9234375,0.004687499999999956,5,3,21
dinov2_b14,beans,random,11,3,21,0.8571428571428572,1,0.3333333333333333,stl10,stl10,1,stl10,cifar10|organcmnist|stl10,0.9365385293960571,0.9365385293960571,0.0,0.0,0.928125,0.928125,0.0,5,3,21
dinov2_b14,beans,random,12,3,21,0.8571428571428572,1,0.3333333333333333,stl10,stl10,1,stl10,bloodmnist|pneumoniamnist|stl10,0.9365385293960571,0.9365385293960571,0.0,0.0,0.928125,0.928125,0.0,5,3,21
dinov2_b14,beans,random,13,3,21,0.8571428571428572,0,0.0,stl10,stl10,1,pathmnist,cifar10|organamnist|pathmnist,0.9365385293960571,0.9307693004608154,0.005769228935241677,0.21428558777793116,0.928125,0.9171875,0.010937499999999933,5,3,21
