encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,passes_90pct_recall_at_50pct_removal
dinov2_b14,dpp_subspace,3,7,7,0.42857142857142855,0.3619047619047619,0.0011107785361153771,0.044741119057610634,6.947517395017311e-05,0.8571428571428572,False
dinov2_b14,dpp_subspace,5,7,7,0.5714285714285714,0.5047619047619047,0.0006622433662414487,0.02865012782500187,0.001173048360007137,0.7619047619047619,False
dinov2_b14,dpp_subspace,10,7,7,0.8571428571428571,0.7523809523809524,0.00031240837914601826,0.01496584110218213,0.0005820087024143796,0.5238095238095238,False
dinov2_b14,facility_subspace,3,7,7,0.2857142857142857,0.2476190476190476,0.003804702418191086,0.1372704053639004,0.004348334244319352,0.8571428571428572,False
dinov2_b14,facility_subspace,5,7,7,0.2857142857142857,0.2476190476190476,0.0037273730550493323,0.13187922480244882,0.004605312006814117,0.7619047619047619,False
dinov2_b14,facility_subspace,10,7,7,0.42857142857142855,0.37142857142857144,0.0032687732151576326,0.11165260686967564,0.004093863282884858,0.5238095238095238,False
dinov2_b14,full_merged_rank,3,7,7,0.7142857142857143,0.5333333333333333,0.0006453394889831543,0.03260133312578189,0.0005989994321550547,0.8571428571428572,False
dinov2_b14,full_merged_rank,5,7,7,0.7142857142857143,0.6761904761904762,0.0003510679517473462,0.01766107520026006,0.0007844771657671279,0.7619047619047619,False
dinov2_b14,full_merged_rank,10,7,7,0.8571428571428571,0.7999999999999999,0.00031240837914601826,0.01496584110218213,0.0005820087024143796,0.5238095238095238,False
dinov2_b14,kcenter_subspace,3,7,7,0.42857142857142855,0.26666666666666666,0.002394989558628618,0.09675621203409568,0.0008201718330383015,0.8571428571428572,False
dinov2_b14,kcenter_subspace,5,7,7,0.5714285714285714,0.34285714285714286,0.002317670413425978,0.09136574383794092,0.0006935562406267248,0.7619047619047619,False
dinov2_b14,kcenter_subspace,10,7,7,0.7142857142857143,0.5142857142857142,0.0009075982230050128,0.0395605301449383,0.0006810579981122603,0.5238095238095238,False
dinov2_b14,pool_vendi_subspace,3,7,7,0.42857142857142855,0.26666666666666666,0.002394989558628618,0.09675621203409568,0.0008201718330383015,0.8571428571428572,False
dinov2_b14,pool_vendi_subspace,5,7,7,0.7142857142857143,0.48571428571428565,0.0009075982230050128,0.0395605301449383,0.0006810579981122603,0.7619047619047619,False
dinov2_b14,pool_vendi_subspace,10,7,7,0.7142857142857143,0.5142857142857142,0.0009075982230050128,0.0395605301449383,0.0006810579981122603,0.5238095238095238,False
dinov2_b14,random,3,700,7,0.16428571428571428,0.1376190476190476,0.005498621821403496,0.19812259133028579,0.004843086447034542,0.8571428571428572,False
dinov2_b14,random,5,700,7,0.32142857142857145,0.24304761904761904,0.003821282335690085,0.1326130046519519,0.0036670829568590246,0.7619047619047619,False
dinov2_b14,random,10,700,7,0.5842857142857143,0.5022857142857143,0.0017315031800951267,0.058390908767312906,0.0023391841479710007,0.5238095238095238,False
dinov2_b14,rank_only,3,7,7,0.5714285714285714,0.5333333333333333,0.0004884311131068607,0.022763134089127036,0.00033804859433855014,0.8571428571428572,False
dinov2_b14,rank_only,5,7,7,0.7142857142857143,0.6761904761904762,0.0003510679517473462,0.01766107520026006,0.0007844771657671279,0.7619047619047619,False
dinov2_b14,rank_only,10,7,7,0.8571428571428571,0.7999999999999999,0.00031240837914601826,0.01496584110218213,0.0005820087024143796,0.5238095238095238,False
